title,transcript,likes,comments,views,duration_sec,total_claims,false_claims,label
How ADHD & Depression Alter Your Memory,let's talk about how ADHD and Depression affect your memory with ADHD you might forget boring stuff but remember interesting things really well these issues have been around since your childhood and mainly messes with your working memory depression on the other hand brings a general lack of interest in most things it comes in episodes and slows down your overall thinking the key difference ADHD symptoms are persistent while depression related memory issues typically improve as you're move food lifts knowing these differences can help you get the right support remember both conditions are treatable,5523,155,118258,37,8,2,2
ADHD Burnout explained 🧠 #adhd #adhdbrain #burnout,people with ADHD experience burnout more quickly than neurotypical people let me explain why this cup is an ADHD person and this cup is a neurotypical person the level of sugar in each cup represents their energy levels in the morning the neurotypical person will wake up check their emails get ready and leave for work this takes minimal effort for them an ADHD person will wake up become overwhelmed by their inbox get decision paralysis over what to wear probably forget where they left their car keys leave the house in fluster anxiously thinking about how they're going to explain to their boss why they're late again when the neurotypical person arrives at work they'll say hi to their colleagues sit at their desk and casually complete tasks in order of priority and importance the ADHD person will arrive at work sit in their car for 10 minutes preparing their alter ego for the incoming social interactions they'll spend the day forcing eye contact and thinking if that thing they said in the 10: a.m. meeting sounded stupid they'll have a constant nagging worry of whether or not they locked their front door they'll sit at their desk and,180381,5680,3477234,61,6,5,3
ADHD pattern recognition 🧠 #adhd,"People with ADHD have amazing pattern recognition. Here's seven ways it shows up in their life. Number seven is often considered rude. Number one, the bad vibe radar. You instantly dislike people that everyone else loves. Six months later, everyone realizes you were right about them. Number two, the spoiler syndrome. You get bored with movies because you predicted the ending 10 minutes into the intro. You see the formula while others watch the show. Number three, predictive listening. You interrupt people because your brain auto-completed their sentence 10 seconds ago and you are waiting for reality to catch up. Number four, the I told you so curse. You get annoyed by problems that haven't happened yet because you have already calculated the inevitable outcome. Number five, micro expression tracking. You notice tiny shifts in tone or body language that others miss. You know someone is lying before they even finish the sentence. Number six, the novelty cliff. You become obsessed with a new hobby, master the pattern in 2 weeks, and then quit instantly because the puzzle is solved. And number seven, intolerance for repetition. You feel physical rage when someone repeats themselves or explain something you already understood the first time.",30949,1790,741718,74,8,8,4
7 signs you might have ADHD with @TheFitnessMarshall #adhd #adhdtiktok #fitnessmarshall,hey everybody today we're going to talk about the seven signs you might have ADHD and I've invited my good friend the Fitness Marshall along to share some of his tips now the first impulsivity and the second is poor time management skills can't do it can't do it it's hard to manage hard to keep things in line hard to do things even in order sometimes order we don't know her three we can be seen as selfish because we're really just trying to stay interested it's not you it's us your brain's trying to get that dopamine that sweet sweet dopamine I need a hit sign number four is our executive functioning can suffer meaning it's hard for us to juggle a lot of things sign number five is difficulty motivating you have to do it it's just the way your brain's wired motivation sign number six is that we struggle to put things away where they belong usually we'll actually get them in the proximity but not where they belong in sign number seven as we drive fast everywhere we go gotta get there but also we're late for dinner so like I have a recent dry fast that's true we gotta go bye bye,2654,84,48904,60,7,2,2
The ADHD ‘night owl’,"People with ADHD like to stay awake later than neurotypicals, and this has puzzled researchers for 20 years until now. They have recently discovered that the reason people with ADHD are often up late into the night actually has nothing to do with sleep, but more about the fact that the quietness of the night allows their brain to finally feel safe enough to focus. During the day, there's expectations, there's pressure, there's perceived threats. During the day, the ADHD nervous system is trying to survive, making sustained focus very hard. But at night, it's peaceful. The nervous system finally has time to relax, and the ADHD brain can get its best work done. The nighttime peace is quite addictive, so the ADHD person will then delay sleep because it finally feels safe. And this is called revenge bedtime procrastination. So, the ADHD person will often be awake until the sun comes up, but we shouldn't feel shame about this. You're not lacking discipline. You're just chasing the calm.",21242,1396,311936,54,6,5,3
5 Signs of High Functioning ADHD,5 Signs of High Functioning ADHD Number 5: You regularly lose important items Number 4: You're constantly interrupting others in the middle of conversations. Number 3: You have a really hard time sitting still. Number 2: You get easily distracted during tedious tasks. And Number 1: You start many tasks but leave them unfinished.,29021,1295,1532072,23,6,1,1
ADHD and autistic people are allergic to nonsense #adhd #autism #audhd,"People with ADHD and autism, I've noticed something really interesting about them. Like really interesting. I've spoken to thousands of ADHD and autistic people on my podcast, and this is the thing that stands out. They avoid some social situations, not because they're antisocial, but because they have a low tolerance for drama and inauthentic behavior. And that's the thing. People think to be neurodeivergent is to be antisocial, but they're not antisocial. They're not cold or arrogant. They're just allergic to nonsense. Their nervous system learned something really early on, and that's that constant drama equals emotional exhaustion. So now they protect their peace. Small talk feels inauthentic and draining. Fake smiles annoy them. Performative friendships feel unsafe. Silence feels honest. People with ADHD and autism don't avoid people. They avoid emotional labor that goes nowhere. There's a difference. When they do show up, it's for deep conversations. It's intentional. Maybe they have fewer friends, but the value of those friendships is huge. They're not antisocial. They're selective. And that's a sign of high emotional intelligence.",20822,1191,287105,74,6,6,4
Signs of ADHD You Didn’t Realise #subtle,here are signs other than attention difficulties that you could have ADHD you're always late and that's because it's quite characteristic for people with ADHD to only start getting ready when there's that voice in their head screaming at them to actually do so it may not be hugely late either it could just be 5 or 10 minutes but there's a chronic pattern emerging of this is happening time and time again just always feeling like you're one step behind you also put things off so when there's a new task you actually wait until day 29 or 30 to get it done rather than doing it in the first week you're also generally disorganized and one way to tell this is if you look at the inside of your bag or your drawers and you see that it just is a bomb site in there then that could be a sign now quite frequently you don't see any of those things as an issue and they're just part of your personality quirks and you need someone to get angry at you for it for you to take action to try and relieve those things and when you do that is,588271,14808,15647532,60,4,1,2
7 Signs You Have ADHD,[Music] seven signs that you have ADHD you watch Tik tocks especially wouldn't shouldn't be emotional regulation it wrong and you can't sleep very well of [Music] course concentrating in loud and forget about it you tend to lose things all the time honey have you seen my headphones uh then I was earning late,26365,1965,1178610,40,6,1,1
How Caffeine Helps People With ADHD,why does tea or coffee calm me down emotionally when I have ADHD this is super cool so you look at ADHD their minds are moving too fast I get distracted I'm thinking about this I'm thinking about this I'm hyperactive I'm fidgeting you know and what is the medication that we tend to give people who are who have ADHD stimulants wait but if they're moving too fast why am I stimulating them or more importantly what part of the brain am I stimulating what I'm stimulating with people with ADHD is the brakes I'm hyper activating the part of your brain that controls the other parts of your brain this is why tea or coffee helps people with ADHD calm down it hyper activates your frontal lobes which then control or suppress your emotional circuitry so it's kind of weird but we actually want to hyperactivate people with ADHD not slow them down I'm going to strengthen the brakes,73515,1418,1070608,50,4,2,3
The ultimate ADHD test 🧠 #adhd,10 things you didn't know about yourself that are almost certainly ADHD loud chewers send you into a fit of rage you don't like big spoons you don't know why but you just don't if someone asks you for a quick chat without any context you will catastrophize you will think of the worst case scenario and you won't sleep until you get some reassurance that your world isn't about to end you have a minor commitment in the afternoon so you won't be able to do anything else all day you'll get obsessed with someone or something and disappear from friends for months at a time you've got thousands of screenshots on your phone they were well-intentioned but you never remember to look at them you struggle to clean your home but if a friend comes over suddenly cleaning is quite easy the tiniest criticism will immediately create an overwhelming feeling of anger or sadness within you you get excited when you buy a new notebook but you never use it when you achieve something you don't feel any sense of accomplishment only a mild sense of relief that it's done,8682,536,161488,70,10,10,4
"Doctor Explains ADHD Diagnosis, criteria, and why everyone does NOT have “a little ADHD”","Uh, not everybody has a little bit of ADHD. Here's what ADHD actually is. Diagnostic criteria, resources on how to get tested and get diagnosed and how to respond to people who kind of dismiss you when they say, ""Oh, everybody has a little bit of ADHD."" Just because you're distracted does not mean you have ADHD. My name's Dr. Heidi. I'm a physician and I have ADHD. For starters, I'm pulling straight from the DSM5, which is basically the guide book for all diagnosis in medicine. There's two main subtypes of ADHD: inattentive or hyperactive and impulsive. And you can have a combination of both. These symptoms are present with at least six or more in each category for at least 6 months. And you have to have a majority of these symptoms that were present before age 12. With an attentive, they don't appear to be listening. Trouble following through or following directions, difficulty organizing, reluctant to engage in activities that require sustained mental attention, easily distracted by external stimuli, even noises, senses, forgetful in daily activities, not me losing my phone while I was on the phone with somebody. And then the hyperactive type will be moving, climbing, jumping in places that are inappropriate, unable to have leisurely time. This can be one of the reasons why ADHD people gravitate toward things like drinking so much. We have a higher rates of addiction tendencies. I think a big part of this is because it allows us to wind down because otherwise we're feeling like we're on the go and driven by a motor constantly. Trouble waiting in line, interrupting or intruding or thinking you know what somebody else is going to say and cutting them off mid-con conversation. These symptoms are present in two or more settings like home, school, work, with friends. Other people are noticing this all the time. And the reason I advocate so much for comprehensive testing is because they do not occur where they're explained by another mental disorder that needs to be treated first. You can have mild, moderate, or severe. They exist on a spectrum. If this sounds like you, you can take a look at the adult self-report scale that's present online. And your doctor might offer you a test like the Connor screen or for children, they can offer things like Vanderbilt or Wesler scale. There's plenty more that you can choose from. All of this are part of a comprehensive testing evaluation. Can be really helpful in getting people access to a testing accommodations. If you're looking for more resources, whether you're a child or an adult, take a look at the CHAD website, chad. They can help you find providers in your area, get connected with different resources, and follow me if you like learning more about your ADHD brain. So the next time somebody tells you everybody has a little bit of ADHD, you can give them a list of the different ways in which this affects you personally and professionally or academically.",296,17,4351,127,12,4,2
How to Get Diagnosed With ADHD,"How do you go about getting diagnosed with ADHD? The doctor sees that you have six out of the nine symptoms of inattention or six out of the nine symptoms of hyperactivity. If you're over 17 years old, then you only need five of those nine symptoms. That means you meet the diagnostic criteria and we're going to say you have ADHD. Let's look at the other end of the spectrum. There would be a lengthy interview lasting for an hour to an hour and a half. There would be several questionnaires that are not just looking at a flat rate of how many symptoms you have, but they would be standardized, possibly IQ testing. And then they could do a continuous performance test. Every time a letter flashes on the screen, you got to press a button. And then they might also look at emotional factors. If you have ADHD, there is a higher chance of having either anxiety or depression. Now, the third way to get diagnosed would probably be somewhere in between those",212,14,15571,60,6,2,2
Dangers of Untreated ADHD,let's talk about ADHD when it is left untreated it has bad consequences and when we talk about medicine you always want to know what are the side effects but you also want to ask the question well what are the side effects of not treating ADHD so the Hallmark symptoms are short attention span but not for everything the second one is they're easily distracted it's like the world comes at them too fast the third one is they tend to be disorganized they tend to procrastinate they don't do things until someone's mad at them to get it done and they tend to have impulse control issues so the first thing if you have someone who has ADD it's focus on getting their diet healthy magnesium can help zinc can help omega-3 fatty acids can help but if it doesn't work I will use the medicine because left untreated there's serious problems with addiction School failure bankruptcy and so on,8280,349,263202,60,8,4,3
ADHD Explained in 60 seconds,"Ever heard people say ADHD is just about being distracted? Well, that's only scratching the surface. ADHD or attention deficit hyperactivity disorder is a neurodedevelopmental condition that affects focus, impulse control, and emotional regulation. It comes in three types: inattentive, losing track of details, forgetfulness, zoning out, hyperactive impulsive, restlessness, talking a lot, acting before thinking, and combined, a mix of both. It's not about laziness. It's about how the brain manages dopamine, the chemical linked to motivation and reward. Here's something mind-blowing. Rates of ADHD diagnosis have nearly doubled worldwide in the past 20 years, and experts believe it's not because more people suddenly have it, but because awareness and recognition are finally catching up, and treatment, it's no longer just medication. Research is now exploring brain training, digital therapies, lifestyle interventions, and even video games designed to improve attention. One of which is FDA approved for kids. So next time you hear ADHD, remember it's not just about distraction.",25002,1038,618665,60,9,3,2
4 Essential Criteria For ADHD Diagnosis #adhd,here are four essential criteria you need to fulfill in order for an ADHD diagnosis number one your inattentive hyperactive impulsive symptoms must be present before the age of 12 years old number two your ADHD symptoms must be present in more than two or more different settings so whether it's at home whether it's at school whether it's at work or other activities number three there is clear evidence that your ADHD symptoms have a significant impact upon the quality of your life whether it be at work whether it be at home in your personal life or in your school or academic settings four symptoms aren't better explained by another mental disorder such as a disorder anxiety disorder or personality disorder,5,0,219,59,4,0,1
An ADHD Diagnosis Does Not Mean Medication,"Hi I'm Rick Green, I'm a comedian who has a science degree and attention deficit hyperactivity disorder (ADHD). In the videos that I'm making for my YouTube channel Rick has ADHD I often Advocate and recommend getting properly diagnosed, now what I hear from people is two things, one is I couldn't wait to get diagnosed and when I was diagnosed everything started to make sense. Okay there's two or three responses, another response is I really would like to find out but I'm waiting because there's a long waiting line, and I've done a video about that as well. Then there is the I'm pretty sure I have it, I've read all the checklists, took all the online screener tests and so on, but I don't want to have to take drugs, so I'm not going to get diagnosed. So uh, I don't know where you live but nobody can force you to take a medication for anything, if you had a fatal disease and there was medication for it you don't have to take it, they'd recommend you take it, and you might want to learn more and decide if you want to take it. But with ADHD medication despite its wonderful track record most people I know who've tried it, stick with it, it's been a life changer, and some people I know have tried it, didn't like it, and stopped taking it, and that's the thing, you could try it, because I was reluctant, I have to tell you I don't drink, I never smoked any of that. So my friends all did, that that was fun, but I didn't take drugs. So the idea of taking a drug, a medication, that worried me, I was frightened that I was going to turn into a zombie or something, and it actually just made me calmer, but I wasn't zombified. I actually just got more done with less stress and it turned down that noise of the five radio stations that are playing in my head way down so I could sit and actually do taxes, which was shocking to me, shocking, I just did years worth of taxes in one day. So you don't have to take medication, you don't have to do anything, but once you know for sure what's going on believe me you are going to want to try different strategies and tools and techniques, and apps, and all of these things that are going to make life so much easier.",298,10,2877,142,4,1,2
How to get an ADHD diagnosis,[Music] okay sorry about that but if you're watching this video there's a chance you might have adhd so i had to grab your attention right away one of the most common questions that seems to be popping up in the comments section how do i know if i have adhd and what do i do to get properly diagnosed some of the more skeptical folks in the room are thinking hey man doesn't those symptoms don't those just kind of apply to everybody most people do experience these kinds of symptoms to like a minor degree but the difference with adhd is that it's to a major degree it significantly impacts your life somewhere along the line you're going to need to be evaluated now this can come from a psychologist like myself who can give you a psychological evaluation or from a primary medical provider who can do the same thing i wouldn't say i'm just biased because i'm a psychologist but i would say the best kind of evaluation is going to come from a psychologist they're going to take a comprehensive view of what's going on they're going to screen out for anxiety depression post traumatic stress all those kinds of things and you want that you want a comprehensive evaluation check out this website right here psychologytoday.com and you'll be able to find a psychologist in your area by using the filters i'm dr brian i specialize in adhd like and follow this video for more tips and tricks like this see you later,62,5,903,60,3,0,1
ADHD Diagnosis Dilemma,so when diagnosing as as a psychologist I feel that in adult ADHD assessments there's a lot of self-report so because someone is already coming from a lot of information and people like I have talked to ask questions what they have read on Google and they come with a diagnosis that they know that they feel that they have ADHD and they just want to prove that they have ADHD so how do how does one go about dealing with that how does one make sure that the diagnosis is correct and their own biasness is not coming into play so there are criteria we need to look at what what see for somebody to be diagnosed there are rating skills and of there there's a clinical interview,7,0,117,51,2,0,1
12 potential symptoms of ADHD in adults #shorts,here are 12 potential symptoms of ADHD in adults acting quickly without properly thinking things through disorganization and problems prioritizing poor time management skills problems focusing on a task trouble multitasking excessive activity or restlessness poor planning getting easily upset or frustrated at seemingly minor challenges frequent mood swings problems following tasks through and completing them having a quick temper and trouble coping with St,2179,57,103651,31,12,0,1
"10 signs of ADHD in women, FULL VIDEO on channel. #adhd #adhdtiktok",here are 10 symptoms of ADHD in women that often get overlooked or misdiagnosed number one daydreaming frequently zoning out or getting lost in thoughts making it difficult to stay focused on task or conversations two chronic perfectionism a constant drive to be Flawless in everything leading to excessive time spent on details and a fear of making mistakes number three excessive talking talking more than usual sometimes without realizing it which can lead to interrupting others or feeling like we just can't stop number four low self self esteem a lack of confidence in abilities often stemming from comparing ourselves to others or feeling inadequate due to the challenges the ADHD brings number five physical restlessness an ongoing feeling of needing to move fidget or be physically active even in situations where it's not socially acceptable or convenient number six chronic forgetfulness constantly forgetting appointments deadlines or tasks even when they're important often leading to feelings of disorganization number seven difficulty maintaining friendships trouble keeping friendships due to impulsive behaviors misso cues or difficulties with emotion regulation leading to misunderstandings number eight emotional impulsivity reacting quickly and intensely to emotions without thinking leading to outbursts or regrets after the fact number nine rejection sensitivity an intense fear of being rejected or criticized can cause excessive anxiety in social situations or lead us to do overcompensating behaviors and number 10 chronic overwhelm feeling constantly overwhelmed by tasks responsibilities and emotions leading to burnout or difficulty managing everyday demands,7306,238,146338,100,10,4,2
Symptoms of ADHD in women #adhd #doctor #shorts #mentalhealth #therapy,let's talk symptoms of adhd in women women with adhd tend to have lower self-esteem they're more likely to be daydreamers they tend to fidget in their chair a lot they might deal with odd eating habits or binge eating they're more likely to be labeled as moody or too sensitive they tend to have difficulty with time management and organization they tend to be more sensitive to rejection and criticism and they're more likely to be anxious and have a serious case of imposter syndrome,24831,726,473399,30,8,2,2
Natural Ways to Help ADHD | Dr. Daniel Amen,what about natural ways to help add often a higher protein lower simple carbohydrate diet exercise can work magnesium has been shown to be helpful as has thinning ashwagandha rhodiola l-tyrosine so there are a number of supplements that can help but you know the most important thing you can do is be in a job you love uh study something you love because love is a stimulant drug,51589,1014,1168024,40,7,5,3
11 ways to spot ADHD in women 💚 #adhd #neurodivergent,11 ways to spot ADHD in women they'll get obsessed with someone or something and disappear from friends for months at a time when they achieve something they won't feel any sense of accomplishment only a mild sense of relief that it's done if they have a minor commitment later on today they won't be able to relax and they'll be stuck in waiting mode all day they have a really really strong sense of justice and fairness which is why they react so strongly when people do mean things the hyperactivity is in their heads it's internalized it's like 10 squirrels barreling around on speed up there they were never physically hyperactive so the doctor misdiagnosed them with an anxiety disorder waiting for a slow talker to finish their sentence is excruciatingly painful for them because they've already guessed the end of it in the first few seconds they're highly driven and overachieving but they're also chronically overwhelmed and always on the drink of burnout they'll sit on their best friend's couch once a month to give them moral support so they can clean their house they'll excitedly call people but then ignore their attempts to call them back because the dopamine has left their body they'll often try and Google something but then forget what they were about to Google so they'll check their recent apps to see what triggered the thought but then they forget all about Google they'll get home after a long day of masking try to relax on the sofa but it's impossible because they'll start overthinking every social interaction they've had that day and they'll say things to themselves like why did I say that stupid thing that person must hate me now,39412,1548,478389,103,11,8,3
3 Underrated symptoms of #ADHD,i'm a psychiatrist let's talk about three underrated symptoms of adhd the first is time management problems some people with adhd have what we refer to as time blindness which just means that it's very difficult for them to tell how much time has passed or how much time they might need to complete a certain task even if it's a task that they do often this can result in frequently being late or even way too early to things they may also put tasks off thinking that they may be able to complete them faster than they actually can underrated symptom of adhd number two is rejection sensitive dysphoria rejection sensitive dysphoria refers to the fact that the nervous system of someone with adhd is highly attuned to any source of rejection or criticism it can become almost physically painful an underrated symptom number three difficulty with managing overeating and binge eating,30091,850,540794,60,3,2,3
These ADHD-Like Struggles Aren’t Always ADHD #shorts,"These ADHD-like struggles are always ADHD. You lose the threat in meeting. You can't start until the deadline is breathing down your neck and switching task feels much harder than it should. You start wondering, do I have ADHD? Maybe, but stress, short sleep, low mood, pain, medication effects, or just simply carrying too much can also make your executive skills less reliable. ADHD is a developmental condition, so the pattern usually starts in childhood and affects more than one part of your life. But sometimes adult responsibilities expose a pattern that you've been compensating for all along. So, look at the timeline. Has this followed you since childhood? Does it show up at work, at home, and in daily life? Or did it begin when your workload, your health, or your sleep changed? One overload season doesn't diagnose ADHD, but a lifelong pattern may deserve a closer evaluation.",1120,28,15826,54,6,0,1
