condition,class_label,feature,feature_group,weight_type,mean_weight_missing_as_zero,sample_std_weight_missing_as_zero,median_weight_missing_as_zero,mean_absolute_weight_missing_as_zero,minimum_weight,maximum_weight,fold_presence_count,fold_presence_fraction,nonzero_fold_count,positive_fold_fraction,negative_fold_fraction,sign_consistency_nonzero,top_k_fold_count,top_k_fold_fraction
A_COMPLEMENT_NB,1,manage,textual,complement_log_weight,5.043811594088361,2.8836397318152227,5.8045264402649295,5.043811594088361,0.0,7.278905838716705,4,0.8,4,0.8,0.0,1.0,4,0.8
A_COMPLEMENT_NB,1,quickly,textual,complement_log_weight,4.99224484271233,2.8375475552436145,5.803150297904856,4.99224484271233,0.0,7.056564073068382,4,0.8,4,0.8,0.0,1.0,4,0.8
A_COMPLEMENT_NB,1,function,textual,complement_log_weight,4.875298040673917,2.771342923034469,5.801720439709439,4.875298040673917,0.0,6.964741871782952,4,0.8,4,0.8,0.0,1.0,4,0.8
A_COMPLEMENT_NB,1,understanding,textual,complement_log_weight,4.837155834194063,2.7384218288893125,5.793844223172483,4.837155834194063,0.0,6.795505210744612,4,0.8,4,0.8,0.0,1.0,4,0.8
A_COMPLEMENT_NB,1,behaviors,textual,complement_log_weight,4.829602303237198,2.7300787772335218,5.803263887173948,4.829602303237198,0.0,6.738951091973717,4,0.8,4,0.8,0.0,1.0,4,0.8
A_COMPLEMENT_NB,1,harder,textual,complement_log_weight,6.039022417047523,0.36529274041777926,5.817516966627574,6.039022417047523,5.789362786286552,6.623524691595402,5,1.0,5,1.0,0.0,1.0,3,0.6
A_COMPLEMENT_NB,1,management,textual,complement_log_weight,3.8835287855054714,3.5871260729302468,5.799403378688178,3.8835287855054714,0.0,7.317822358093434,3,0.6,3,0.6,0.0,1.0,3,0.6
A_COMPLEMENT_NB,1,answer sep,textual,complement_log_weight,3.7823539747817336,3.4707853705363365,5.801872113983822,3.7823539747817336,0.0,6.799880136836429,3,0.6,3,0.6,0.0,1.0,3,0.6
A_COMPLEMENT_NB,1,experts answer,textual,complement_log_weight,3.7773821424158784,3.4656503037726343,5.801157947868087,3.7773821424158784,0.0,6.781739441434941,3,0.6,3,0.6,0.0,1.0,3,0.6
A_COMPLEMENT_NB,1,girls,textual,complement_log_weight,3.647352485723296,3.343303620801937,5.831476295672963,3.647352485723296,0.0,6.573412113138881,3,0.6,3,0.6,0.0,1.0,3,0.6
A_COMPLEMENT_NB,1,activities,textual,complement_log_weight,3.476668235670691,3.173749366579892,5.794287552338554,3.476668235670691,0.0,5.794699385830824,3,0.6,3,0.6,0.0,1.0,3,0.6
A_COMPLEMENT_NB,1,health,textual,complement_log_weight,6.132323372384876,0.5268547108381546,5.778164057543608,6.132323372384876,5.775961966675192,6.951958541168492,5,1.0,5,1.0,0.0,1.0,2,0.4
A_COMPLEMENT_NB,1,struggling,textual,complement_log_weight,6.084301076699421,0.4904866968757794,5.811429221683509,6.084301076699421,5.77890610187499,6.920995721342451,5,1.0,5,1.0,0.0,1.0,2,0.4
A_COMPLEMENT_NB,1,impact,textual,complement_log_weight,6.062228486030632,0.40788983982370514,5.787040524546112,6.062228486030632,5.778030420143798,6.683342604929683,5,1.0,5,1.0,0.0,1.0,2,0.4
A_COMPLEMENT_NB,1,non,textual,complement_log_weight,6.010508115991205,0.3525911761555412,5.798740756254002,6.010508115991205,5.772323684606361,6.597350012131279,5,1.0,5,1.0,0.0,1.0,2,0.4
A_COMPLEMENT_NB,1,adhd autism,textual,complement_log_weight,5.982228518691073,0.2899993984061857,5.807319966714727,5.982228518691073,5.776707601808818,6.443193614694907,5,1.0,5,1.0,0.0,1.0,2,0.4
A_COMPLEMENT_NB,1,disorders,textual,complement_log_weight,5.965931979528223,0.2581826069696657,5.800552630245481,5.965931979528223,5.764629419120757,6.308813172689706,5,1.0,5,1.0,0.0,1.0,2,0.4
A_COMPLEMENT_NB,1,best,textual,complement_log_weight,4.855835849380477,2.7596047821366336,5.781313956751343,4.855835849380477,0.0,6.93048552827496,4,0.8,4,0.8,0.0,1.0,2,0.4
A_COMPLEMENT_NB,1,experts,textual,complement_log_weight,3.7046939114319706,3.3917520958575476,5.801157947868087,3.7046939114319706,0.0,6.530970597801151,3,0.6,3,0.6,0.0,1.0,2,0.4
A_COMPLEMENT_NB,1,condition,textual,complement_log_weight,3.6381349780052075,3.33711053332964,5.79718233084603,3.6381349780052075,0.0,6.595936430561176,3,0.6,3,0.6,0.0,1.0,2,0.4
A_COMPLEMENT_NB,1,like adhd,textual,complement_log_weight,2.637222386746759,3.6530243416693535,0.0,2.637222386746759,0.0,7.372890239205647,2,0.4,2,0.4,0.0,1.0,2,0.4
A_COMPLEMENT_NB,1,sign,textual,complement_log_weight,2.552505912549173,3.5199777548554905,0.0,2.552505912549173,0.0,6.97131788352618,2,0.4,2,0.4,0.0,1.0,2,0.4
A_COMPLEMENT_NB,1,executive function,textual,complement_log_weight,2.542299082934542,3.5032592725013263,0.0,2.542299082934542,0.0,6.911025754035702,2,0.4,2,0.4,0.0,1.0,2,0.4
A_COMPLEMENT_NB,1,adhd like,textual,complement_log_weight,2.5155214283696736,3.4616615822363808,0.0,2.5155214283696736,0.0,6.775395399525231,2,0.4,2,0.4,0.0,1.0,2,0.4
A_COMPLEMENT_NB,1,psychologist,textual,complement_log_weight,2.463784343561823,3.3820084205929417,0.0,2.463784343561823,0.0,6.495000827457886,2,0.4,2,0.4,0.0,1.0,2,0.4
A_COMPLEMENT_NB,1,trauma,textual,complement_log_weight,2.4447664544542564,3.3542870708285517,0.0,2.4447664544542564,0.0,6.41053327221801,2,0.4,2,0.4,0.0,1.0,2,0.4
A_COMPLEMENT_NB,1,एड,textual,complement_log_weight,2.4171415425139555,3.314300305449007,0.0,2.4171415425139555,0.0,6.286828019565475,2,0.4,2,0.4,0.0,1.0,2,0.4
A_COMPLEMENT_NB,1,behavioral,textual,complement_log_weight,2.3182915392886434,3.1744547125530396,0.0,2.3182915392886434,0.0,5.802187550528797,2,0.4,2,0.4,0.0,1.0,2,0.4
A_COMPLEMENT_NB,1,common,textual,complement_log_weight,6.0444187774799545,0.43328059184156076,5.784036887910618,6.0444187774799545,5.764851491978568,6.763547169288777,5,1.0,5,1.0,0.0,1.0,1,0.2
A_COMPLEMENT_NB,1,answer,textual,complement_log_weight,6.029450575568788,0.37660816537678465,5.783890553229528,6.029450575568788,5.773881439281776,6.624071027486765,5,1.0,5,1.0,0.0,1.0,1,0.2
A_COMPLEMENT_NB,1,impulsivity,textual,complement_log_weight,6.019603273648158,0.3839484985271902,5.795355248237396,6.019603273648158,5.760282388532848,6.658546465714138,5,1.0,5,1.0,0.0,1.0,1,0.2
A_COMPLEMENT_NB,1,adult,textual,complement_log_weight,6.005967053308076,0.3552036419382939,5.7703364172535085,6.005967053308076,5.760233083038427,6.55317218725106,5,1.0,5,1.0,0.0,1.0,1,0.2
A_COMPLEMENT_NB,1,easily,textual,complement_log_weight,6.004910725045189,0.3147670099507616,5.785126960702228,6.004910725045189,5.769252438869968,6.385828816423531,5,1.0,5,1.0,0.0,1.0,1,0.2
A_COMPLEMENT_NB,1,follow,textual,complement_log_weight,5.9664751530526186,0.2797291800851759,5.767017334409265,5.9664751530526186,5.760963906614121,6.320533571337983,5,1.0,5,1.0,0.0,1.0,1,0.2
A_COMPLEMENT_NB,1,adhd diagnosis,textual,complement_log_weight,5.963541798298997,0.2595821264641975,5.796589632920828,5.963541798298997,5.7784841417488115,6.358722791807543,5,1.0,5,1.0,0.0,1.0,1,0.2
A_COMPLEMENT_NB,1,adhd medication,textual,complement_log_weight,5.961721863906267,0.31633274959663893,5.787644325176938,5.961721863906267,5.750205618976199,6.499278462109508,5,1.0,5,1.0,0.0,1.0,1,0.2
A_COMPLEMENT_NB,1,problems,textual,complement_log_weight,5.960995857683981,0.29996629748432274,5.746309012662059,5.960995857683981,5.737149618299869,6.290501137975187,5,1.0,5,1.0,0.0,1.0,1,0.2
A_COMPLEMENT_NB,1,especially,textual,complement_log_weight,5.922654347343,0.41938743978672155,5.714234164689111,5.922654347343,5.696735994206876,6.666671879627139,5,1.0,5,1.0,0.0,1.0,1,0.2
A_COMPLEMENT_NB,1,regulation,textual,complement_log_weight,5.904565955641682,0.19683046548799127,5.785620939874684,5.904565955641682,5.751086182585823,6.182568241192986,5,1.0,5,1.0,0.0,1.0,1,0.2
A_COMPLEMENT_NB,1,hyperactive,textual,complement_log_weight,5.808640187333738,0.10602271383544494,5.789714478750502,5.808640187333738,5.718830857730781,5.975316552175352,5,1.0,5,1.0,0.0,1.0,1,0.2
A_COMPLEMENT_NB,1,experience,textual,complement_log_weight,5.798841003637639,0.08803416704992077,5.792135726096351,5.798841003637639,5.714682829727595,5.936204912988795,5,1.0,5,1.0,0.0,1.0,1,0.2
A_COMPLEMENT_NB,1,meds,textual,complement_log_weight,4.911636676058238,2.7854641252985304,5.781788288140097,4.911636676058238,0.0,6.923235446672491,4,0.8,4,0.8,0.0,1.0,1,0.2
A_COMPLEMENT_NB,1,phone,textual,complement_log_weight,4.860885073840454,2.7374372578791686,5.78482082045735,4.860885073840454,0.0,6.577001575797368,4,0.8,4,0.8,0.0,1.0,1,0.2
A_COMPLEMENT_NB,1,maybe,textual,complement_log_weight,4.843436888738454,2.727577034098107,5.791378142190268,4.843436888738454,0.0,6.591123162466995,4,0.8,4,0.8,0.0,1.0,1,0.2
A_COMPLEMENT_NB,1,autistic,textual,complement_log_weight,4.780076005805963,2.680971069600436,5.791246136245328,4.780076005805963,0.0,6.3088066145816635,4,0.8,4,0.8,0.0,1.0,1,0.2
A_COMPLEMENT_NB,1,parents,textual,complement_log_weight,4.73140031979848,2.654994682801129,5.776986225758808,4.73140031979848,0.0,6.313955221951388,4,0.8,4,0.8,0.0,1.0,1,0.2
A_COMPLEMENT_NB,1,present,textual,complement_log_weight,4.710582975849217,2.6411909468298895,5.7628719890776825,4.710582975849217,0.0,6.241296998287398,4,0.8,4,0.8,0.0,1.0,1,0.2
A_COMPLEMENT_NB,1,traits,textual,complement_log_weight,3.5460754943898047,3.2405575847568424,5.780061563422329,3.5460754943898047,0.0,6.154007145363855,3,0.6,3,0.6,0.0,1.0,1,0.2
A_COMPLEMENT_NB,1,complete,textual,complement_log_weight,3.4642174936395227,3.1623967130331656,5.761159669347975,3.4642174936395227,0.0,5.787035164246761,3,0.6,3,0.6,0.0,1.0,1,0.2
A_COMPLEMENT_NB,1,structure,textual,complement_log_weight,2.555196503871504,3.500453537231445,0.0,2.555196503871504,0.0,6.53795969766801,2,0.4,2,0.4,0.0,1.0,1,0.2
A_COMPLEMENT_NB,1,based,textual,complement_log_weight,2.3126315352341305,3.166701681995902,0.0,2.3126315352341305,0.0,5.784180551696106,2,0.4,2,0.4,0.0,1.0,1,0.2
A_COMPLEMENT_NB,1,create,textual,complement_log_weight,1.3577786388804527,3.0360853349338313,0.0,1.3577786388804527,0.0,6.788893194402264,1,0.2,1,0.2,0.0,1.0,1,0.2
