condition,fold,class_label,feature_index,feature,feature_group,weight_type,weight,absolute_weight,direction,absolute_rank,positive_rank,negative_rank
A_COMPLEMENT_NB,1,1,153,like adhd,textual,complement_log_weight,7.372890239205647,7.372890239205647,positive,1,1,300
A_COMPLEMENT_NB,1,1,167,management,textual,complement_log_weight,7.317822358093434,7.317822358093434,positive,2,2,299
A_COMPLEMENT_NB,1,1,166,manage,textual,complement_log_weight,7.278905838716705,7.278905838716705,positive,3,3,298
A_COMPLEMENT_NB,1,1,207,quickly,textual,complement_log_weight,7.056564073068382,7.056564073068382,positive,4,4,297
A_COMPLEMENT_NB,1,1,229,sign,textual,complement_log_weight,6.97131788352618,6.97131788352618,positive,5,5,296
A_COMPLEMENT_NB,1,1,107,function,textual,complement_log_weight,6.964741871782952,6.964741871782952,positive,6,6,295
A_COMPLEMENT_NB,1,1,117,health,textual,complement_log_weight,6.951958541168492,6.951958541168492,positive,7,7,294
A_COMPLEMENT_NB,1,1,31,best,textual,complement_log_weight,6.93048552827496,6.93048552827496,positive,8,8,293
A_COMPLEMENT_NB,1,1,173,meds,textual,complement_log_weight,6.923235446672491,6.923235446672491,positive,9,9,292
A_COMPLEMENT_NB,1,1,245,struggling,textual,complement_log_weight,6.920995721342451,6.920995721342451,positive,10,10,291
A_COMPLEMENT_NB,1,1,86,executive function,textual,complement_log_weight,6.911025754035702,6.911025754035702,positive,11,11,290
A_COMPLEMENT_NB,1,1,22,answer sep,textual,complement_log_weight,6.799880136836429,6.799880136836429,positive,12,12,289
A_COMPLEMENT_NB,1,1,281,understanding,textual,complement_log_weight,6.795505210744612,6.795505210744612,positive,13,13,288
A_COMPLEMENT_NB,1,1,51,create,textual,complement_log_weight,6.788893194402264,6.788893194402264,positive,14,14,287
A_COMPLEMENT_NB,1,1,90,experts answer,textual,complement_log_weight,6.781739441434941,6.781739441434941,positive,15,15,286
A_COMPLEMENT_NB,1,1,11,adhd like,textual,complement_log_weight,6.775395399525231,6.775395399525231,positive,16,16,285
A_COMPLEMENT_NB,1,1,47,common,textual,complement_log_weight,6.763547169288777,6.763547169288777,positive,17,17,284
A_COMPLEMENT_NB,1,1,30,behaviors,textual,complement_log_weight,6.738951091973717,6.738951091973717,positive,18,18,283
A_COMPLEMENT_NB,1,1,128,impact,textual,complement_log_weight,6.683342604929683,6.683342604929683,positive,19,19,282
A_COMPLEMENT_NB,1,1,82,especially,textual,complement_log_weight,6.666671879627139,6.666671879627139,positive,20,20,281
A_COMPLEMENT_NB,1,1,131,impulsivity,textual,complement_log_weight,6.658546465714138,6.658546465714138,positive,21,21,280
A_COMPLEMENT_NB,1,1,273,trouble,textual,complement_log_weight,6.624959446559148,6.624959446559148,positive,22,22,279
A_COMPLEMENT_NB,1,1,21,answer,textual,complement_log_weight,6.624071027486765,6.624071027486765,positive,23,23,278
A_COMPLEMENT_NB,1,1,115,harder,textual,complement_log_weight,6.623524691595402,6.623524691595402,positive,24,24,277
