condition,node_id,depth,is_leaf,feature_index,feature,feature_group,threshold,left_child,right_child,impurity,weighted_samples,predicted_class,class_weights
A_DECISION_TREE,0,0,False,285.0,ve,textual,0.09965021163225174,1.0,16.0,0.7499999999999987,195.9999999999994,2,0.25|0.25|0.25|0.25
A_DECISION_TREE,1,1,False,160.0,low,textual,0.0819011889398098,2.0,13.0,0.7372946094107631,160.66580485728178,1,0.28615491|0.28266521|0.27868943|0.15249044
A_DECISION_TREE,2,2,False,33.0,body,textual,0.11443183571100235,3.0,8.0,0.7367981967842094,147.88298601376775,1,0.30679912|0.2990169|0.22851245|0.16567153
A_DECISION_TREE,3,3,False,192.0,pay attention,textual,0.13475611060857773,4.0,7.0,0.7191961260220108,136.4008925697491,1,0.32819017|0.32418785|0.23536098|0.112261
A_DECISION_TREE,4,4,False,226.0,sep,textual,0.024572113528847694,5.0,6.0,0.7014160882239754,129.67095429814415,2,0.3405581|0.34101324|0.24757625|0.070852413
A_DECISION_TREE,5,5,True,,,,,,,0.3763346791907254,15.45568949942373,2,0.1174205|0.77325696|0.10932254|0
A_DECISION_TREE,6,5,True,,,,,,,0.705345276022949,114.21526479872045,1,0.37075324|0.28252172|0.26628484|0.080440211
A_DECISION_TREE,7,4,True,,,,,,,0.16361570508774104,6.729938271604938,4,0.08988764|0|0|0.91011236
A_DECISION_TREE,8,3,False,149.0,like,textual,0.027511145919561386,9.0,12.0,0.335315092331935,11.482093444018732,4,0.052685364|0|0.14715567|0.80015896
A_DECISION_TREE,9,4,False,13.0,adhd sep,textual,0.040092725306749344,10.0,11.0,0.11591955993500402,9.792438271604938,4,0.061776062|0|0|0.93822394
A_DECISION_TREE,10,5,True,,,,,,,0.27548092252099055,3.6674382716049383,4,0.16494845|0|0|0.83505155
A_DECISION_TREE,11,5,True,,,,,,,0.0,6.125,4,0|0|0|1
A_DECISION_TREE,12,4,True,,,,,,,4.440892098500626e-16,1.6896551724137931,3,0|0|1|0
A_DECISION_TREE,13,2,False,21.0,anxiety,textual,0.05492055416107178,14.0,15.0,0.2508267386792923,12.782818843514107,3,0.047324325|0.093494398|0.85918128|0
A_DECISION_TREE,14,3,True,,,,,,,0.0,10.982758620689657,3,0|0|1|0
A_DECISION_TREE,15,3,True,,,,,,,0.44625100779360405,1.8000602228244504,2,0.33606557|0.66393443|0|0
A_DECISION_TREE,16,1,False,107.0,good,textual,0.05298580974340439,17.0,26.0,0.4873094062189145,35.33419514271771,4,0.085602384|0.10147014|0.11954816|0.69337931
A_DECISION_TREE,17,2,False,5.0,adhd,textual,0.1946491375565529,18.0,23.0,0.3464252203897509,30.649357796259956,4,0.078949553|0.038993377|0.08269285|0.79936422
A_DECISION_TREE,18,3,False,62.0,disorder,textual,0.06999281793832779,19.0,22.0,0.15945304686033368,26.79459344401873,4,0.022576878|0|0.063059556|0.91436357
A_DECISION_TREE,19,4,False,228.0,shorts,textual,0.07934865355491638,20.0,21.0,0.04703149949194363,25.104938271604937,4,0.024096386|0|0|0.97590361
A_DECISION_TREE,20,5,True,,,,,,,0.0,21.4375,4,0|0|0|1
A_DECISION_TREE,21,5,True,,,,,,,0.2754809225209899,3.6674382716049383,4,0.16494845|0|0|0.83505155
A_DECISION_TREE,22,4,True,,,,,,,4.440892098500626e-16,1.6896551724137931,3,0|0|1|0
A_DECISION_TREE,23,3,False,110.0,happens,textual,0.07689613848924637,24.0,25.0,0.6341929621366311,3.854764352241224,1,0.47079786|0.31003762|0.21916452|0
A_DECISION_TREE,24,4,True,,,,,,,2.220446049250313e-16,1.8148148148148149,1,1|0|0|0
A_DECISION_TREE,25,4,True,,,,,,,0.4852566064687279,2.0399495374264087,2,0|0.58585859|0.41414141|0
A_DECISION_TREE,26,2,False,289.0,way,textual,0.1004919670522213,27.0,28.0,0.5929345473395624,4.684837346457756,2,0.12912685|0.51020851|0.36066464|0
A_DECISION_TREE,27,3,True,,,,,,,0.3882644628099171,2.2945934440187314,3,0.26363636|0|0.73636364|0
A_DECISION_TREE,28,3,True,,,,,,,4.440892098500626e-16,2.3902439024390243,2,0|1|0|0
