condition,row_index,predicted_class,rank,feature,feature_group,transformed_value,model_weight,contribution,contribution_type
A_LOGISTIC_REGRESSION,3,4,1,things,textual,0.23270930021953093,0.115057342022155,0.02677491354709492,input_times_coefficient
A_LOGISTIC_REGRESSION,3,4,2,hard,textual,0.3860090587410961,-0.056501647663995805,-0.02181014783210007,input_times_coefficient
A_LOGISTIC_REGRESSION,3,4,3,dopamine,textual,0.1802768896277526,0.10332868322593625,0.01862777362130312,input_times_coefficient
A_LOGISTIC_REGRESSION,3,4,4,friend,textual,0.11860960640475962,0.10953029127971164,0.012991344738085274,input_times_coefficient
A_LOGISTIC_REGRESSION,3,4,5,ve,textual,0.0780568913458474,0.16149841307783905,0.012606064082143662,input_times_coefficient
A_LOGISTIC_REGRESSION,3,4,6,don,textual,0.06376715914658342,0.19519538690885807,0.012447055301696078,input_times_coefficient
A_LOGISTIC_REGRESSION,3,4,7,number,textual,0.3605537792555052,0.029994148154548202,0.01081450347267189,input_times_coefficient
A_LOGISTIC_REGRESSION,3,4,8,struggle,textual,0.09650226468527402,0.09646387112406053,0.00930898202378025,input_times_coefficient
A_LOGISTIC_REGRESSION,3,4,9,brain,textual,0.13455342802395895,0.06904106386085616,0.009289711816899263,input_times_coefficient
A_LOGISTIC_REGRESSION,3,4,10,just,textual,0.11110402487932888,-0.08226488766968104,-0.009139960126347439,input_times_coefficient
A_LOGISTIC_REGRESSION,4,3,1,person,textual,0.2839599143196795,0.10017310049002763,0.028445145032284888,input_times_coefficient
A_LOGISTIC_REGRESSION,4,3,2,adhd,textual,0.3360823292755806,-0.06255359084087943,-0.021023156514354383,input_times_coefficient
A_LOGISTIC_REGRESSION,4,3,3,day,textual,0.31736154137906736,0.06429343725952781,0.020404264349242106,input_times_coefficient
A_LOGISTIC_REGRESSION,4,3,4,called,textual,0.18052086714792745,0.071311464881854,0.01287320747806126,input_times_coefficient
A_LOGISTIC_REGRESSION,4,3,5,brain,textual,0.21461691875068548,0.04095308224859898,0.008789224325537708,input_times_coefficient
A_LOGISTIC_REGRESSION,4,3,6,hard,textual,0.15392412518489487,0.05614420943261268,0.00864194832111243,input_times_coefficient
A_LOGISTIC_REGRESSION,4,3,7,feel,textual,0.24196212956619378,-0.03220364057413082,-0.007792061453100976,input_times_coefficient
A_LOGISTIC_REGRESSION,4,3,8,late,textual,0.184656238578707,0.03635449776441684,0.006713084812595227,input_times_coefficient
A_LOGISTIC_REGRESSION,4,3,9,actually,textual,0.12964622310223062,-0.043072170646107556,-0.005584144245082609,input_times_coefficient
A_LOGISTIC_REGRESSION,4,3,10,people,textual,0.1795328835279958,-0.027810444946561933,-0.004992889373452843,input_times_coefficient
A_LOGISTIC_REGRESSION,7,2,1,time,textual,0.2059686333369193,0.10838724292912466,0.022324372297268476,input_times_coefficient
A_LOGISTIC_REGRESSION,7,2,2,things,textual,0.2839597156025667,-0.05687956230916482,-0.016151504336908915,input_times_coefficient
A_LOGISTIC_REGRESSION,7,2,3,just,textual,0.3615276487563071,0.0335779258903665,0.012139348597257729,input_times_coefficient
A_LOGISTIC_REGRESSION,7,2,4,actually,textual,0.2644858274789773,0.040950225726083804,0.010830754336614179,input_times_coefficient
A_LOGISTIC_REGRESSION,7,2,5,people adhd,textual,0.13364819202612035,0.0736239192542046,0.009839703698201516,input_times_coefficient
A_LOGISTIC_REGRESSION,7,2,6,tell,textual,0.17666350302152597,0.04691149398201951,0.008287548858836803,input_times_coefficient
A_LOGISTIC_REGRESSION,7,2,7,wait,textual,0.17666350302152597,0.04649987390678831,0.008214830614432473,input_times_coefficient
A_LOGISTIC_REGRESSION,7,2,8,way,textual,0.1282561171278406,0.05394949406920189,0.006919352630327299,input_times_coefficient
A_LOGISTIC_REGRESSION,7,2,9,signs,textual,0.2827188852816616,-0.022746982134591337,-0.006431001432613535,input_times_coefficient
A_LOGISTIC_REGRESSION,7,2,10,day,textual,0.16185899572149232,-0.038668673396654175,-0.006258872641864832,input_times_coefficient
A_LOGISTIC_REGRESSION,16,2,1,medication,textual,0.39174886508891277,0.17323139685534505,0.06786320311584848,input_times_coefficient
A_LOGISTIC_REGRESSION,16,2,2,know,textual,0.19052123305485816,-0.0808206409862299,-0.015398048176980528,input_times_coefficient
A_LOGISTIC_REGRESSION,16,2,3,diagnosed,textual,0.28462536707215025,0.02873971269464355,0.008180051275261058,input_times_coefficient
A_LOGISTIC_REGRESSION,16,2,4,uh,textual,0.07774874617290375,0.0994403232287593,0.007731360450064312,input_times_coefficient
A_LOGISTIC_REGRESSION,16,2,5,actually,textual,0.1875312656434946,0.040950225726083804,0.007679447658799288,input_times_coefficient
A_LOGISTIC_REGRESSION,16,2,6,did,textual,0.15301952780235628,-0.0455750719928386,-0.006973875995902555,input_times_coefficient
A_LOGISTIC_REGRESSION,16,2,7,want,textual,0.2554351466057877,0.025480733994365543,0.006508675023473841,input_times_coefficient
A_LOGISTIC_REGRESSION,16,2,8,life,textual,0.1336394994104858,-0.0455108393608199,-0.0060820457899310055,input_times_coefficient
A_LOGISTIC_REGRESSION,16,2,9,ve,textual,0.18009193124943149,-0.0324655842414831,-0.005846789765189801,input_times_coefficient
A_LOGISTIC_REGRESSION,16,2,10,things,textual,0.08948402157633159,-0.05687956230916482,-0.005089811980925602,input_times_coefficient
A_LOGISTIC_REGRESSION,24,2,1,time,textual,0.3265354453651646,0.10838724292912466,0.03539227664176401,input_times_coefficient
A_LOGISTIC_REGRESSION,24,2,2,symptoms,textual,0.1586083300602885,0.08109624594737266,0.012862540143871216,input_times_coefficient
A_LOGISTIC_REGRESSION,24,2,3,symptoms adhd,textual,0.22680329502094645,0.05525636775119835,0.01253232627686095,input_times_coefficient
A_LOGISTIC_REGRESSION,24,2,4,number,textual,0.23249896995235855,-0.04528634985140755,-0.010529029693354402,input_times_coefficient
A_LOGISTIC_REGRESSION,24,2,5,people adhd,textual,0.10594057745217787,0.0736239192542046,0.007799760520082952,input_times_coefficient
A_LOGISTIC_REGRESSION,24,2,6,let,textual,0.10949031973031077,0.06237078641355434,0.006828997346250988,input_times_coefficient
A_LOGISTIC_REGRESSION,24,2,7,tell,textual,0.14003805993250687,0.04691149398201951,0.006569394605777484,input_times_coefficient
A_LOGISTIC_REGRESSION,24,2,8,sensitive,textual,0.298610977067293,-0.021750920342499397,-0.006495063575586604,input_times_coefficient
A_LOGISTIC_REGRESSION,24,2,9,eating,textual,0.15296808910173265,0.0365051447085792,0.005584122228453587,input_times_coefficient
A_LOGISTIC_REGRESSION,24,2,10,way,textual,0.10166637426447214,0.05394949406920189,0.005484849455418399,input_times_coefficient
