condition,class_label,feature,feature_group,weight_type,mean_weight_missing_as_zero,sample_std_weight_missing_as_zero,median_weight_missing_as_zero,mean_absolute_weight_missing_as_zero,minimum_weight,maximum_weight,fold_presence_count,fold_presence_fraction,nonzero_fold_count,positive_fold_fraction,negative_fold_fraction,sign_consistency_nonzero,top_k_fold_count,top_k_fold_fraction
A_RIDGE,1,brain,textual,coefficient,-0.8377085633952781,0.7363980388213734,-0.6478189468383674,0.8377085633952781,-1.6670197101205964,-0.14652703576113937,5,1.0,5,0.0,1.0,1.0,5,1.0
A_RIDGE,1,common,textual,coefficient,0.8183342056957172,0.7057352431595804,0.8011519206150158,0.8183342056957172,0.10993102117988175,1.6359201032013169,5,1.0,5,1.0,0.0,1.0,5,1.0
A_RIDGE,1,thing,textual,coefficient,-0.8337404783217714,0.876972227034095,-0.5509903276474082,0.8337404783217714,-2.185031858710329,-0.10002239241763262,5,1.0,5,0.0,1.0,1.0,4,0.8
A_RIDGE,1,don,textual,coefficient,-0.8057090408795438,0.696005998984806,-0.8158440895580898,0.8057090408795438,-1.8100170562948448,-0.1296120815868555,5,1.0,5,0.0,1.0,1.0,4,0.8
A_RIDGE,1,problems,textual,coefficient,0.7386336119040576,0.5862785457308152,0.9521361232411125,0.7386336119040576,0.11030786957602694,1.333952340543468,5,1.0,5,1.0,0.0,1.0,4,0.8
A_RIDGE,1,adhd medication,textual,coefficient,0.6060398053978402,0.5880110804953927,0.5673903871898363,0.6060398053978402,0.1239084919719047,1.5745755463795226,5,1.0,5,1.0,0.0,1.0,4,0.8
A_RIDGE,1,adhd,textual,coefficient,0.6828890498357807,0.46348830302484695,0.8546698133881664,0.6828890498357807,0.18765290636515441,1.1485378511100923,5,1.0,5,1.0,0.0,1.0,3,0.6
A_RIDGE,1,school,textual,coefficient,0.6305765483220354,0.5250912943477798,0.7179067964901021,0.6305765483220354,0.061687738833752455,1.324786578847899,5,1.0,5,1.0,0.0,1.0,3,0.6
A_RIDGE,1,want,textual,coefficient,-0.608893242040538,0.5633943745494022,-0.5531517980113954,0.608893242040538,-1.418260627154454,-0.07394267706363616,5,1.0,5,0.0,1.0,1.0,3,0.6
A_RIDGE,1,diet,textual,coefficient,-0.5744268324966304,0.5830800972704024,-0.5263142914313828,0.5744268324966304,-1.5238050564954868,-0.07444266117262655,5,1.0,5,0.0,1.0,1.0,3,0.6
A_RIDGE,1,anxiety,textual,coefficient,0.5498147032078373,0.5029894950584752,0.3804146551117269,0.5498147032078373,0.13550474180115013,1.3199704550596618,5,1.0,5,1.0,0.0,1.0,3,0.6
A_RIDGE,1,symptoms,textual,coefficient,0.21629475283221683,0.30493517489142447,0.15153158614952697,0.2686174768286288,-0.13080680999102995,0.7067146027321688,5,1.0,5,0.8,0.2,0.8,3,0.6
A_RIDGE,1,tasks,textual,coefficient,0.7055359619343538,0.6817198899240303,0.5066598453341835,0.7055359619343538,0.09299423791073244,1.6173544029695393,5,1.0,5,1.0,0.0,1.0,2,0.4
A_RIDGE,1,harder,textual,coefficient,0.6125356562581172,0.5916301244865119,0.5416176615076342,0.6125356562581172,0.05351032263544567,1.4019234174699713,5,1.0,5,1.0,0.0,1.0,2,0.4
A_RIDGE,1,autism,textual,coefficient,0.5751086917045022,0.44969620726882453,0.5993770153344845,0.5751086917045022,0.08962431004345814,1.0818917439552793,5,1.0,5,1.0,0.0,1.0,2,0.4
A_RIDGE,1,little,textual,coefficient,-0.5553195746880852,0.6567621336243721,-0.16487037966990933,0.5553195746880852,-1.3165904139251865,-0.03222590185510894,5,1.0,5,0.0,1.0,1.0,2,0.4
A_RIDGE,1,depression,textual,coefficient,-0.5238234710192049,0.5537367279119388,-0.46546290958605296,0.5238234710192049,-1.4165296201020567,-0.06216154165370298,5,1.0,5,0.0,1.0,1.0,2,0.4
A_RIDGE,1,impact,textual,coefficient,0.5227246085193287,0.6546111507771369,0.35489558778923586,0.5227246085193287,0.07631668513684822,1.6619449356583345,5,1.0,5,1.0,0.0,1.0,2,0.4
A_RIDGE,1,girls,textual,coefficient,0.2731451366184753,0.3315305136011679,0.10645476364956376,0.2731451366184753,0.0,0.6947392733784662,3,0.6,3,0.6,0.0,1.0,2,0.4
A_RIDGE,1,ve,textual,coefficient,-0.27122284946391656,0.26425404046088985,-0.1397820662216798,0.27122284946391656,-0.6602516094574257,-0.02456233924602429,5,1.0,5,0.0,1.0,1.0,2,0.4
A_RIDGE,1,diagnosis,textual,coefficient,0.21590120350959857,0.09215649115586146,0.17809383083956148,0.21590120350959857,0.1224888335807712,0.35845185698549514,5,1.0,5,1.0,0.0,1.0,2,0.4
A_RIDGE,1,psychologist,textual,coefficient,0.14741922585226344,0.2745829366584298,0.0,0.14741922585226344,0.0,0.6317874474025609,2,0.4,2,0.4,0.0,1.0,2,0.4
A_RIDGE,1,doesn,textual,coefficient,-0.6458855119359856,0.6219171083671591,-0.5024132993248437,0.6458855119359856,-1.3984533945962168,-0.05649217202164028,5,1.0,5,0.0,1.0,1.0,1,0.2
