condition,row_index,predicted_class,rank,feature,feature_group,transformed_value,model_weight,contribution,contribution_type
A_RIDGE,3,1,1,signs,textual,0.173769315692715,0.6350634932074806,0.11035454863608907,input_times_coefficient
A_RIDGE,3,1,2,hard,textual,0.3860090587410961,0.2755077022886157,0.10634846883635067,input_times_coefficient
A_RIDGE,3,1,3,brain,textual,0.13455342802395895,-0.7671888312599416,-0.10322788718771975,input_times_coefficient
A_RIDGE,3,1,4,sign,textual,0.4869960408405145,0.15377663978192047,0.07488861474755323,input_times_coefficient
A_RIDGE,3,1,5,adhd,textual,0.09030248560127664,0.8135782026026365,0.07346813392603711,input_times_coefficient
A_RIDGE,3,1,6,dopamine,textual,0.1802768896277526,-0.3823011607752881,-0.0689200641656483,input_times_coefficient
A_RIDGE,3,1,7,trying,textual,0.19896885839241238,0.31243814125021246,0.06216546028280206,input_times_coefficient
A_RIDGE,3,1,8,impulsivity,textual,0.10460501300486297,0.5904225839227266,0.06176116206960162,input_times_coefficient
A_RIDGE,3,1,9,don,textual,0.06376715914658342,-0.8058211217958143,-0.05138492371723207,input_times_coefficient
A_RIDGE,3,1,10,manage,textual,0.1131770116074958,0.37929753867544697,0.042927761937365645,input_times_coefficient
A_RIDGE,4,3,1,person,textual,0.2839599143196795,0.5489278613405446,0.15587350847394596,input_times_coefficient
A_RIDGE,4,3,2,day,textual,0.31736154137906736,0.43140921431264156,0.13691269321939234,input_times_coefficient
A_RIDGE,4,3,3,adhd,textual,0.3360823292755806,-0.3756588323884866,-0.1262522954020675,input_times_coefficient
A_RIDGE,4,3,4,called,textual,0.18052086714792745,0.6134229205648747,0.11073563754878539,input_times_coefficient
A_RIDGE,4,3,5,late,textual,0.184656238578707,0.40063895557872237,0.07398048256526855,input_times_coefficient
A_RIDGE,4,3,6,brain,textual,0.21461691875068548,0.2575078088433192,0.055265532488193686,input_times_coefficient
A_RIDGE,4,3,7,focus,textual,0.24659980932693035,-0.22183736864161638,-0.05470505280861056,input_times_coefficient
A_RIDGE,4,3,8,actually,textual,0.12964622310223062,-0.35208846151149026,-0.04564693923283981,input_times_coefficient
A_RIDGE,4,3,9,hard,textual,0.15392412518489487,0.29575601245986716,0.04552398548605792,input_times_coefficient
A_RIDGE,4,3,10,people adhd,textual,0.262047815352305,-0.15646688640120404,-0.041001805756412796,input_times_coefficient
A_RIDGE,7,2,1,time,textual,0.2059686333369193,0.8653846230623714,0.1782420881229417,input_times_coefficient
A_RIDGE,7,2,2,things,textual,0.2839597156025667,-0.48590195530911795,-0.13797658104030822,input_times_coefficient
A_RIDGE,7,2,3,actually,textual,0.2644858274789773,0.5039007245609984,0.1332746001027719,input_times_coefficient
A_RIDGE,7,2,4,late,textual,0.3767094550925215,-0.2760351226516866,-0.10398504064051421,input_times_coefficient
A_RIDGE,7,2,5,people adhd,textual,0.13364819202612035,0.7292954514736479,0.09746901854232624,input_times_coefficient
A_RIDGE,7,2,6,try,textual,0.18025616163854802,0.48068803216503775,0.08664697962365661,input_times_coefficient
A_RIDGE,7,2,7,way,textual,0.1282561171278406,0.6038935888235469,0.07745304686090485,input_times_coefficient
A_RIDGE,7,2,8,tell,textual,0.17666350302152597,0.36527888658523094,0.0645314476839496,input_times_coefficient
A_RIDGE,7,2,9,feeling,textual,0.17331881786745723,0.35037928726436274,0.06072732387390156,input_times_coefficient
A_RIDGE,7,2,10,wait,textual,0.17666350302152597,0.32898151346163035,0.05811902659745492,input_times_coefficient
A_RIDGE,16,2,1,medication,textual,0.39174886508891277,1.0558667330227556,0.41363459434680255,input_times_coefficient
A_RIDGE,16,2,2,know,textual,0.19052123305485816,-0.8370396867097738,-0.15947383322779826,input_times_coefficient
A_RIDGE,16,2,3,don,textual,0.2942456621828816,0.3450146829845983,0.10151907385762012,input_times_coefficient
A_RIDGE,16,2,4,actually,textual,0.1875312656434946,0.5039007245609984,0.094497140635598,input_times_coefficient
A_RIDGE,16,2,5,try,textual,0.1704119849159133,0.48068803216503775,0.08191500168656846,input_times_coefficient
A_RIDGE,16,2,6,want,textual,0.2554351466057877,0.29284824292051875,0.07480373386365004,input_times_coefficient
A_RIDGE,16,2,7,did,textual,0.15301952780235628,-0.4680930989750723,-0.07162738497270718,input_times_coefficient
A_RIDGE,16,2,8,uh,textual,0.07774874617290375,0.7568241154831674,0.058842126052233185,input_times_coefficient
A_RIDGE,16,2,9,life,textual,0.1336394994104858,-0.37318255300215775,-0.049871929571935446,input_times_coefficient
A_RIDGE,16,2,10,video,textual,0.07774874617290375,0.5919660311539952,0.0460246166991732,input_times_coefficient
A_RIDGE,24,2,1,time,textual,0.3265354453651646,0.8653846230623714,0.2825787533038365,input_times_coefficient
A_RIDGE,24,2,2,symptoms adhd,textual,0.22680329502094645,0.3648382719245517,0.08274652222223638,input_times_coefficient
A_RIDGE,24,2,3,people adhd,textual,0.10594057745217787,0.7292954514736479,0.07726198126236503,input_times_coefficient
A_RIDGE,24,2,4,sensitive,textual,0.298610977067293,-0.2516753569323397,-0.07515302423732567,input_times_coefficient
A_RIDGE,24,2,5,eating,textual,0.15296808910173265,0.48962289820840244,0.07489667911939148,input_times_coefficient
A_RIDGE,24,2,6,let,textual,0.10949031973031077,0.5683275833931012,0.06222636881726551,input_times_coefficient
A_RIDGE,24,2,7,way,textual,0.10166637426447214,0.6038935888235469,0.06139567161724997,input_times_coefficient
A_RIDGE,24,2,8,means,textual,0.1349066861853584,0.40863543918023054,0.055127652957703464,input_times_coefficient
A_RIDGE,24,2,9,task,textual,0.24533815222322577,0.215894819593915,0.052967236113737784,input_times_coefficient
A_RIDGE,24,2,10,actually,textual,0.10482663800481389,0.5039007245609984,0.05282221884391921,input_times_coefficient
