condition,fold,class_label,feature_index,feature,feature_group,weight_type,weight,absolute_weight,direction,absolute_rank,positive_rank,negative_rank,ranking_view
A_RIDGE,final_training_fit,1,45,common,textual,coefficient,0.9007315269970784,0.9007315269970784,positive,1,1,300,largest_positive
A_RIDGE,final_training_fit,1,204,problems,textual,coefficient,0.859127348268428,0.859127348268428,positive,2,2,299,largest_positive
A_RIDGE,final_training_fit,1,5,adhd,textual,coefficient,0.8135782026026365,0.8135782026026365,positive,3,3,298,largest_positive
A_RIDGE,final_training_fit,1,218,school,textual,coefficient,0.7621691597392779,0.7621691597392779,positive,6,4,297,largest_positive
A_RIDGE,final_training_fit,1,112,harder,textual,coefficient,0.6512134384712026,0.6512134384712026,positive,8,5,296,largest_positive
A_RIDGE,final_training_fit,1,230,signs,textual,coefficient,0.6350634932074806,0.6350634932074806,positive,9,6,295,largest_positive
A_RIDGE,final_training_fit,1,256,tasks,textual,coefficient,0.6313579876837095,0.6313579876837095,positive,10,7,294,largest_positive
A_RIDGE,final_training_fit,1,142,know,textual,coefficient,0.6286361640280415,0.6286361640280415,positive,11,8,293,largest_positive
A_RIDGE,final_training_fit,1,21,anxiety,textual,coefficient,0.626998402465997,0.626998402465997,positive,12,9,292,largest_positive
A_RIDGE,final_training_fit,1,11,adhd medication,textual,coefficient,0.6144960129891088,0.6144960129891088,positive,13,10,291,largest_positive
A_RIDGE,final_training_fit,1,104,function,textual,coefficient,0.6093104697916316,0.6093104697916316,positive,14,11,290,largest_positive
A_RIDGE,final_training_fit,1,128,impulsivity,textual,coefficient,0.5904225839227266,0.5904225839227266,positive,15,12,289,largest_positive
A_RIDGE,final_training_fit,1,227,sep adhd,textual,coefficient,0.5877396531046305,0.5877396531046305,positive,16,13,288,largest_positive
A_RIDGE,final_training_fit,1,124,impact,textual,coefficient,0.581646750692797,0.581646750692797,positive,17,14,287,largest_positive
A_RIDGE,final_training_fit,1,19,answer,textual,coefficient,0.5699262676157641,0.5699262676157641,positive,19,15,286,largest_positive
A_RIDGE,final_training_fit,1,207,quickly,textual,coefficient,0.5667452352998793,0.5667452352998793,positive,20,16,285,largest_positive
A_RIDGE,final_training_fit,1,281,understanding,textual,coefficient,0.5622908670716154,0.5622908670716154,positive,23,17,284,largest_positive
A_RIDGE,final_training_fit,1,24,autism,textual,coefficient,0.5564329569866385,0.5564329569866385,positive,24,18,283,largest_positive
A_RIDGE,final_training_fit,1,29,best,textual,coefficient,0.5527854835643479,0.5527854835643479,positive,25,19,282,largest_positive
A_RIDGE,final_training_fit,1,14,adhd symptoms,textual,coefficient,0.5007526359186016,0.5007526359186016,positive,28,20,281,largest_positive
A_RIDGE,final_training_fit,1,69,don,textual,coefficient,-0.8058211217958143,0.8058211217958143,negative,4,300,1,largest_negative
A_RIDGE,final_training_fit,1,34,brain,textual,coefficient,-0.7671888312599416,0.7671888312599416,negative,5,299,2,largest_negative
A_RIDGE,final_training_fit,1,261,thing,textual,coefficient,-0.7147786995652748,0.7147786995652748,negative,7,298,3,largest_negative
A_RIDGE,final_training_fit,1,197,physical,textual,coefficient,-0.5802533064627866,0.5802533064627866,negative,18,297,4,largest_negative
A_RIDGE,final_training_fit,1,57,diet,textual,coefficient,-0.5630005080225384,0.5630005080225384,negative,21,296,5,largest_negative
A_RIDGE,final_training_fit,1,288,want,textual,coefficient,-0.562927415371872,0.562927415371872,negative,22,295,6,largest_negative
A_RIDGE,final_training_fit,1,52,depression,textual,coefficient,-0.5176398366001921,0.5176398366001921,negative,26,294,7,largest_negative
A_RIDGE,final_training_fit,1,179,natural,textual,coefficient,-0.5125742572114166,0.5125742572114166,negative,27,293,8,largest_negative
A_RIDGE,final_training_fit,1,160,low,textual,coefficient,-0.4965981731581558,0.4965981731581558,negative,29,292,9,largest_negative
A_RIDGE,final_training_fit,1,67,doesn,textual,coefficient,-0.49543944520864847,0.49543944520864847,negative,30,291,10,largest_negative
A_RIDGE,final_training_fit,1,15,adhd women,textual,coefficient,-0.48076105970792127,0.48076105970792127,negative,32,290,11,largest_negative
A_RIDGE,final_training_fit,1,285,ve,textual,coefficient,-0.47528691962375763,0.47528691962375763,negative,33,289,12,largest_negative
A_RIDGE,final_training_fit,1,289,way,textual,coefficient,-0.46128601142951636,0.46128601142951636,negative,35,288,13,largest_negative
A_RIDGE,final_training_fit,1,100,food,textual,coefficient,-0.4508105968306248,0.4508105968306248,negative,38,287,14,largest_negative
A_RIDGE,final_training_fit,1,194,people adhd,textual,coefficient,-0.4305740318529119,0.4305740318529119,negative,42,286,15,largest_negative
A_RIDGE,final_training_fit,1,101,foods,textual,coefficient,-0.4218763280761624,0.4218763280761624,negative,44,285,16,largest_negative
A_RIDGE,final_training_fit,1,221,self,textual,coefficient,-0.4169102538111466,0.4169102538111466,negative,45,284,17,largest_negative
A_RIDGE,final_training_fit,1,33,body,textual,coefficient,-0.4119948909969518,0.4119948909969518,negative,46,283,18,largest_negative
A_RIDGE,final_training_fit,1,193,people,textual,coefficient,-0.4105565008750013,0.4105565008750013,negative,47,282,19,largest_negative
A_RIDGE,final_training_fit,1,277,uh,textual,coefficient,-0.41008606208527487,0.41008606208527487,negative,48,281,20,largest_negative
A_RIDGE,final_training_fit,2,170,medication,textual,coefficient,1.0558667330227556,1.0558667330227556,positive,1,1,300,largest_positive
A_RIDGE,final_training_fit,2,266,time,textual,coefficient,0.8653846230623714,0.8653846230623714,positive,2,2,299,largest_positive
A_RIDGE,final_training_fit,2,299,एक,textual,coefficient,0.7841347778179998,0.7841347778179998,positive,4,3,298,largest_positive
A_RIDGE,final_training_fit,2,107,good,textual,coefficient,0.7737900099507675,0.7737900099507675,positive,5,4,297,largest_positive
A_RIDGE,final_training_fit,2,277,uh,textual,coefficient,0.7568241154831674,0.7568241154831674,positive,6,5,296,largest_positive
A_RIDGE,final_training_fit,2,194,people adhd,textual,coefficient,0.7292954514736479,0.7292954514736479,positive,7,6,295,largest_positive
A_RIDGE,final_training_fit,2,136,issues,textual,coefficient,0.6450280268774258,0.6450280268774258,positive,8,7,294,largest_positive
A_RIDGE,final_training_fit,2,151,little,textual,coefficient,0.6364373972039794,0.6364373972039794,positive,9,8,293,largest_positive
A_RIDGE,final_training_fit,2,289,way,textual,coefficient,0.6038935888235469,0.6038935888235469,positive,11,9,292,largest_positive
A_RIDGE,final_training_fit,2,286,video,textual,coefficient,0.5919660311539952,0.5919660311539952,positive,13,10,291,largest_positive
A_RIDGE,final_training_fit,2,71,dr,textual,coefficient,0.5855426453807755,0.5855426453807755,positive,14,11,290,largest_positive
A_RIDGE,final_training_fit,2,98,focus,textual,coefficient,0.5786737914385917,0.5786737914385917,positive,15,12,289,largest_positive
A_RIDGE,final_training_fit,2,146,let,textual,coefficient,0.5683275833931012,0.5683275833931012,positive,16,13,288,largest_positive
A_RIDGE,final_training_fit,2,279,unable,textual,coefficient,0.5464747536260369,0.5464747536260369,positive,19,14,287,largest_positive
A_RIDGE,final_training_fit,2,185,oh,textual,coefficient,0.5328432444319334,0.5328432444319334,positive,20,15,286,largest_positive
A_RIDGE,final_training_fit,2,237,stimulant,textual,coefficient,0.532107898090202,0.532107898090202,positive,21,16,285,largest_positive
A_RIDGE,final_training_fit,2,164,making,textual,coefficient,0.5089818096152993,0.5089818096152993,positive,24,17,284,largest_positive
A_RIDGE,final_training_fit,2,143,lack,textual,coefficient,0.5088925915378403,0.5088925915378403,positive,25,18,283,largest_positive
A_RIDGE,final_training_fit,2,3,actually,textual,coefficient,0.5039007245609984,0.5039007245609984,positive,27,19,282,largest_positive
A_RIDGE,final_training_fit,2,298,इपर,textual,coefficient,0.5025237308863477,0.5025237308863477,positive,28,20,281,largest_positive
A_RIDGE,final_training_fit,2,142,know,textual,coefficient,-0.8370396867097738,0.8370396867097738,negative,3,300,1,largest_negative
A_RIDGE,final_training_fit,2,82,energy,textual,coefficient,-0.6188670850771308,0.6188670850771308,negative,10,299,2,largest_negative
A_RIDGE,final_training_fit,2,95,feel,textual,coefficient,-0.5997286834594363,0.5997286834594363,negative,12,298,3,largest_negative
A_RIDGE,final_training_fit,2,26,bad,textual,coefficient,-0.5649545895766218,0.5649545895766218,negative,17,297,4,largest_negative
A_RIDGE,final_training_fit,2,118,helps,textual,coefficient,-0.5546078365860627,0.5546078365860627,negative,18,296,5,largest_negative
A_RIDGE,final_training_fit,2,29,best,textual,coefficient,-0.5201146993135275,0.5201146993135275,negative,22,295,6,largest_negative
A_RIDGE,final_training_fit,2,268,treat,textual,coefficient,-0.5106831615075281,0.5106831615075281,negative,23,294,7,largest_negative
A_RIDGE,final_training_fit,2,270,treating,textual,coefficient,-0.5071406932098487,0.5071406932098487,negative,26,293,8,largest_negative
