condition,class_label,feature,feature_group,weight_type,mean_weight_missing_as_zero,sample_std_weight_missing_as_zero,median_weight_missing_as_zero,mean_absolute_weight_missing_as_zero,minimum_weight,maximum_weight,fold_presence_count,fold_presence_fraction,nonzero_fold_count,positive_fold_fraction,negative_fold_fraction,sign_consistency_nonzero,top_k_fold_count,top_k_fold_fraction
B_COMPLEMENT_NB,1,quickly,textual,complement_log_weight,5.386183595376658,3.0337411109779184,6.366276573903618,5.386183595376658,0.0,7.140999495680843,4,0.8,4,0.8,0.0,1.0,4,0.8
B_COMPLEMENT_NB,1,function,textual,complement_log_weight,5.371841334231146,3.0200261591805235,6.425671897901117,5.371841334231146,0.0,7.049177294395412,4,0.8,4,0.8,0.0,1.0,4,0.8
B_COMPLEMENT_NB,1,behaviors,textual,complement_log_weight,5.321916260141921,2.987948010736596,6.400689166915132,5.321916260141921,0.0,7.018322294848321,4,0.8,4,0.8,0.0,1.0,4,0.8
B_COMPLEMENT_NB,1,manage,textual,complement_log_weight,5.289207278584998,2.9887237473800505,6.386760444713908,5.289207278584998,0.0,7.3633412613291656,4,0.8,4,0.8,0.0,1.0,4,0.8
B_COMPLEMENT_NB,1,understanding,textual,complement_log_weight,5.287121566526825,2.9685899412833123,6.379292805875038,5.287121566526825,0.0,6.889016346686751,4,0.8,4,0.8,0.0,1.0,4,0.8
B_COMPLEMENT_NB,1,harder,textual,complement_log_weight,6.500466342207592,0.25413548721184076,6.4871117060053765,6.500466342207592,6.234142913732588,6.802616674950177,5,1.0,5,1.0,0.0,1.0,3,0.6
B_COMPLEMENT_NB,1,girls,textual,complement_log_weight,4.346823082476983,4.038793078744395,6.628264698884825,4.346823082476983,0.0,8.473386348772436,3,0.6,3,0.6,0.0,1.0,3,0.6
B_COMPLEMENT_NB,1,management,textual,complement_log_weight,4.155283329731277,3.8115036572101295,6.359470442334522,4.155283329731277,0.0,7.402257780705894,3,0.6,3,0.6,0.0,1.0,3,0.6
B_COMPLEMENT_NB,1,answer sep,textual,complement_log_weight,3.9219015771548866,3.586522846242895,6.356122451648354,3.9219015771548866,0.0,6.88431555944889,3,0.6,3,0.6,0.0,1.0,3,0.6
B_COMPLEMENT_NB,1,experts answer,textual,complement_log_weight,3.9159456822968357,3.5807996777946993,6.3504879730716395,3.9159456822968357,0.0,6.8661748640474025,3,0.6,3,0.6,0.0,1.0,3,0.6
B_COMPLEMENT_NB,1,activities,textual,complement_log_weight,3.9025065358010176,3.571032926589556,6.298152465507878,3.9025065358010176,0.0,6.907393595052067,3,0.6,3,0.6,0.0,1.0,3,0.6
B_COMPLEMENT_NB,1,struggling,textual,complement_log_weight,6.489110818682491,0.3371640580475262,6.434329911749663,6.489110818682491,6.188972574542616,7.005431143954912,5,1.0,5,1.0,0.0,1.0,2,0.4
B_COMPLEMENT_NB,1,health,textual,complement_log_weight,6.484618891413712,0.3551204922245658,6.436923783220978,6.484618891413712,6.1674857567547985,7.036393963780952,5,1.0,5,1.0,0.0,1.0,2,0.4
B_COMPLEMENT_NB,1,non,textual,complement_log_weight,6.4551127798913175,0.3579771046120553,6.331620263512634,6.4551127798913175,6.145946338190326,6.963790826721459,5,1.0,5,1.0,0.0,1.0,2,0.4
B_COMPLEMENT_NB,1,impact,textual,complement_log_weight,6.437052509981794,0.23504929025295024,6.336700677924728,6.437052509981794,6.239681501851386,6.767778027542144,5,1.0,5,1.0,0.0,1.0,2,0.4
B_COMPLEMENT_NB,1,adhd autism,textual,complement_log_weight,6.382893562080132,0.1776097473814417,6.400043099726422,6.382893562080132,6.155665700167461,6.575519792465585,5,1.0,5,1.0,0.0,1.0,2,0.4
B_COMPLEMENT_NB,1,disorders,textual,complement_log_weight,6.311624162520733,0.09729555140319394,6.345733869466051,6.311624162520733,6.181623491901144,6.399496934539891,5,1.0,5,1.0,0.0,1.0,2,0.4
B_COMPLEMENT_NB,1,best,textual,complement_log_weight,5.223396471193783,2.938577064474809,6.245848094971777,5.223396471193783,0.0,7.01492095088742,4,0.8,4,0.8,0.0,1.0,2,0.4
B_COMPLEMENT_NB,1,condition,textual,complement_log_weight,3.994244407114884,3.653528287665857,6.319618145483259,3.994244407114884,0.0,6.971232036917526,3,0.6,3,0.6,0.0,1.0,2,0.4
B_COMPLEMENT_NB,1,experts,textual,complement_log_weight,3.8432574513129283,3.510931894413458,6.250393263079389,3.8432574513129283,0.0,6.615406020413611,3,0.6,3,0.6,0.0,1.0,2,0.4
B_COMPLEMENT_NB,1,psychologist,textual,complement_log_weight,2.888099072486745,3.982649946632971,0.0,2.888099072486745,0.0,7.886442283387067,2,0.4,2,0.4,0.0,1.0,2,0.4
B_COMPLEMENT_NB,1,like adhd,textual,complement_log_weight,2.781388475029653,3.8252010577922464,0.0,2.781388475029653,0.0,7.457325661818109,2,0.4,2,0.4,0.0,1.0,2,0.4
B_COMPLEMENT_NB,1,executive function,textual,complement_log_weight,2.6699894805662376,3.6630504071425785,0.0,2.6699894805662376,0.0,6.9954611766481625,2,0.4,2,0.4,0.0,1.0,2,0.4
B_COMPLEMENT_NB,1,sign,textual,complement_log_weight,2.6679633907131324,3.6634330678706477,0.0,2.6679633907131324,0.0,7.055753306138641,2,0.4,2,0.4,0.0,1.0,2,0.4
B_COMPLEMENT_NB,1,adhd like,textual,complement_log_weight,2.645612998246872,3.6268217718250435,0.0,2.645612998246872,0.0,6.859830822137692,2,0.4,2,0.4,0.0,1.0,2,0.4
B_COMPLEMENT_NB,1,behavioral,textual,complement_log_weight,2.6327750167867343,3.6082469659902348,0.0,2.6327750167867343,0.0,6.79583296347933,2,0.4,2,0.4,0.0,1.0,2,0.4
B_COMPLEMENT_NB,1,trauma,textual,complement_log_weight,2.5858857853071577,3.54087161460154,0.0,2.5858857853071577,0.0,6.469585523806784,2,0.4,2,0.4,0.0,1.0,2,0.4
B_COMPLEMENT_NB,1,एड,textual,complement_log_weight,2.537592266242892,3.47474157455344,0.0,2.537592266242892,0.0,6.3458802711542495,2,0.4,2,0.4,0.0,1.0,2,0.4
B_COMPLEMENT_NB,1,impulsivity,textual,complement_log_weight,6.420789436898117,0.3844906414965459,6.21079427324794,6.420789436898117,6.066539268928336,6.921709473391997,5,1.0,5,1.0,0.0,1.0,1,0.2
B_COMPLEMENT_NB,1,adhd diagnosis,textual,complement_log_weight,6.392788005513076,0.33037319503934093,6.2182211222257475,6.392788005513076,6.159615316232423,6.949195537624006,5,1.0,5,1.0,0.0,1.0,1,0.2
B_COMPLEMENT_NB,1,answer,textual,complement_log_weight,6.379878626209184,0.2292785860922684,6.2464224439546125,6.379878626209184,6.181534283283122,6.708506450099225,5,1.0,5,1.0,0.0,1.0,1,0.2
B_COMPLEMENT_NB,1,common,textual,complement_log_weight,6.357692339403715,0.2964879349579252,6.232293426781554,6.357692339403715,6.09507854718428,6.847982591901237,5,1.0,5,1.0,0.0,1.0,1,0.2
B_COMPLEMENT_NB,1,easily,textual,complement_log_weight,6.338689196405523,0.1395427841854221,6.370109549216674,6.338689196405523,6.158795987950777,6.470264239035992,5,1.0,5,1.0,0.0,1.0,1,0.2
B_COMPLEMENT_NB,1,adhd medication,textual,complement_log_weight,6.315487766113785,0.33766897620795205,6.158281920424467,6.315487766113785,6.0148944892499685,6.764602605467505,5,1.0,5,1.0,0.0,1.0,1,0.2
B_COMPLEMENT_NB,1,adult,textual,complement_log_weight,6.304864876668404,0.24691396056210765,6.240869946676377,6.304864876668404,6.066234997446221,6.637607609863521,5,1.0,5,1.0,0.0,1.0,1,0.2
B_COMPLEMENT_NB,1,follow,textual,complement_log_weight,6.248085694115957,0.14069836856429332,6.279370613441289,6.248085694115957,6.086832787561954,6.404968993950445,5,1.0,5,1.0,0.0,1.0,1,0.2
