condition,row_index,predicted_class,rank,feature,feature_group,transformed_value,model_weight,contribution,contribution_type
B_COMPLEMENT_NB,3,1,1,sign,textual,0.4869960408405145,6.3968163878448046,3.115224254864141,input_times_complement_log_weight
B_COMPLEMENT_NB,3,1,2,hard,textual,0.3860090587410961,5.719924215809228,2.2079425626149223,input_times_complement_log_weight
B_COMPLEMENT_NB,3,1,3,number,textual,0.3605537792555052,4.841229755971047,1.745523684759568,input_times_complement_log_weight
B_COMPLEMENT_NB,3,1,4,trying,textual,0.19896885839241238,5.933881356143986,1.1806575992679886,input_times_complement_log_weight
B_COMPLEMENT_NB,3,1,5,things,textual,0.23270930021953093,4.9357546610506535,1.1485960132283857,input_times_complement_log_weight
B_COMPLEMENT_NB,3,1,6,signs adhd,textual,0.19300452937054804,5.798302835099555,1.119098709836304,input_times_complement_log_weight
B_COMPLEMENT_NB,3,1,7,signs,textual,0.173769315692715,5.631962029325008,0.9786621878431612,input_times_complement_log_weight
B_COMPLEMENT_NB,3,1,8,dopamine,textual,0.1802768896277526,5.080059455869549,0.9158173178282155,input_times_complement_log_weight
B_COMPLEMENT_NB,3,1,9,hedge_score,handcrafted_linguistic,0.22518764436244965,3.614954716250295,0.8140431370293315,input_times_complement_log_weight
B_COMPLEMENT_NB,3,1,10,certainty_score,handcrafted_linguistic,0.22821100056171417,3.4349758616538106,0.7838992782933524,input_times_complement_log_weight
B_COMPLEMENT_NB,4,3,1,day,textual,0.31736154137906736,5.838327032164026,1.8528604660026509,input_times_complement_log_weight
B_COMPLEMENT_NB,4,3,2,person,textual,0.2839599143196795,5.615137139748534,1.594473861096244,input_times_complement_log_weight
B_COMPLEMENT_NB,4,3,3,sleep,textual,0.2912753367807061,5.380190391019619,1.5671167680885585,input_times_complement_log_weight
B_COMPLEMENT_NB,4,3,4,hedge_score,handcrafted_linguistic,0.45665958523750305,3.4171319122150585,1.5604660417339644,input_times_complement_log_weight
B_COMPLEMENT_NB,4,3,5,people adhd,textual,0.262047815352305,5.45943785953296,1.4306337641422762,input_times_complement_log_weight
B_COMPLEMENT_NB,4,3,6,focus,textual,0.24659980932693035,5.272634177339349,1.3002305827825396,input_times_complement_log_weight
B_COMPLEMENT_NB,4,3,7,feel,textual,0.24196212956619378,5.241123314156385,1.2681533584123064,input_times_complement_log_weight
B_COMPLEMENT_NB,4,3,8,adhd,textual,0.3360823292755806,3.726580449949998,1.2524378378520367,input_times_complement_log_weight
B_COMPLEMENT_NB,4,3,9,called,textual,0.18052086714792745,6.524634292444703,1.177832640295222,input_times_complement_log_weight
B_COMPLEMENT_NB,4,3,10,late,textual,0.184656238578707,6.143960414102764,1.1345206200446916,input_times_complement_log_weight
B_COMPLEMENT_NB,7,1,1,late,textual,0.3767094550925215,6.014335124840269,2.26565690762239,input_times_complement_log_weight
B_COMPLEMENT_NB,7,1,2,just,textual,0.3615276487563071,4.917996262726843,1.7779916254559414,input_times_complement_log_weight
B_COMPLEMENT_NB,7,1,3,signs,textual,0.2827188852816616,5.631962029325008,1.592262026879411,input_times_complement_log_weight
B_COMPLEMENT_NB,7,1,4,actually,textual,0.2644858274789773,5.42717384449869,1.4354105651344986,input_times_complement_log_weight
B_COMPLEMENT_NB,7,1,5,things,textual,0.2839597156025667,4.9357546610506535,1.4015554898359868,input_times_complement_log_weight
B_COMPLEMENT_NB,7,1,6,hedge_score,handcrafted_linguistic,0.38314855098724365,3.614954716250295,1.385064661415803,input_times_complement_log_weight
