condition,class_label,feature,feature_group,weight_type,mean_weight_missing_as_zero,sample_std_weight_missing_as_zero,median_weight_missing_as_zero,mean_absolute_weight_missing_as_zero,minimum_weight,maximum_weight,fold_presence_count,fold_presence_fraction,nonzero_fold_count,positive_fold_fraction,negative_fold_fraction,sign_consistency_nonzero,top_k_fold_count,top_k_fold_fraction
B_DECISION_TREE,all,ve,textual,gini_importance,0.19586404326367501,0.2151945474891078,0.1743728279412003,0.19586404326367501,0.0,0.5089451883602968,5,1.0,3,0.6,0.0,1.0,5,1.0
B_DECISION_TREE,all,low,textual,gini_importance,0.16665600414136814,0.12220661442771714,0.1847538022088086,0.16665600414136814,0.0,0.3080586202328513,5,1.0,4,0.8,0.0,1.0,5,1.0
B_DECISION_TREE,all,sep,textual,gini_importance,0.06940500464079695,0.09148707453771918,0.010376181829288608,0.06940500464079695,0.0,0.18821067507334116,5,1.0,3,0.6,0.0,1.0,5,1.0
B_DECISION_TREE,all,let,textual,gini_importance,0.04892230540377261,0.10939360049884085,0.0,0.04892230540377261,0.0,0.24461152701886305,5,1.0,1,0.2,0.0,1.0,5,1.0
B_DECISION_TREE,all,symptoms,textual,gini_importance,0.04612848033378282,0.06391354835535684,0.0,0.04612848033378282,0.0,0.12912321915078925,5,1.0,2,0.4,0.0,1.0,5,1.0
B_DECISION_TREE,all,feel,textual,gini_importance,0.04573089636051279,0.10225739293410434,0.0,0.04573089636051279,0.0,0.22865448180256398,5,1.0,1,0.2,0.0,1.0,5,1.0
B_DECISION_TREE,all,body,textual,gini_importance,0.04362254348615555,0.09754297258648446,0.0,0.04362254348615555,0.0,0.21811271743077776,5,1.0,1,0.2,0.0,1.0,5,1.0
B_DECISION_TREE,all,adhd,textual,gini_importance,0.03575044466008516,0.06336575522239982,0.0,0.03575044466008516,0.0,0.14627588554768445,5,1.0,2,0.4,0.0,1.0,5,1.0
B_DECISION_TREE,all,hedge_score,handcrafted_linguistic,gini_importance,0.019833517993075808,0.027167822425589933,0.0,0.019833517993075808,0.0,0.05060825374981624,5,1.0,2,0.4,0.0,1.0,5,1.0
B_DECISION_TREE,all,doesn,textual,gini_importance,0.017138710164292987,0.03832332097402571,0.0,0.017138710164292987,0.0,0.08569355082146493,5,1.0,1,0.2,0.0,1.0,5,1.0
B_DECISION_TREE,all,lot,textual,gini_importance,0.016000431385856835,0.03577805224809705,0.0,0.016000431385856835,0.0,0.08000215692928417,5,1.0,1,0.2,0.0,1.0,5,1.0
B_DECISION_TREE,all,real,textual,gini_importance,0.014978459546124086,0.0334928537433641,0.0,0.014978459546124086,0.0,0.07489229773062044,5,1.0,1,0.2,0.0,1.0,5,1.0
B_DECISION_TREE,all,hyperactivity,textual,gini_importance,0.014416604560861237,0.032236507802819225,0.0,0.014416604560861237,0.0,0.07208302280430619,5,1.0,1,0.2,0.0,1.0,5,1.0
B_DECISION_TREE,all,good,textual,gini_importance,0.013458760038397858,0.030094702338715293,0.0,0.013458760038397858,0.0,0.06729380019198929,5,1.0,1,0.2,0.0,1.0,5,1.0
B_DECISION_TREE,all,attention,textual,gini_importance,0.01175098022503773,0.02627599058544014,0.0,0.01175098022503773,0.0,0.05875490112518864,5,1.0,1,0.2,0.0,1.0,5,1.0
