condition,fold,class_label,feature_index,feature,feature_group,weight_type,weight,absolute_weight,direction,absolute_rank,positive_rank,negative_rank,ranking_view
B_LOGISTIC_REGRESSION,final_training_fit,1,5,adhd,textual,coefficient,0.7687422043386243,0.7687422043386243,positive,2,1,302,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,230,signs,textual,coefficient,0.6657372190032238,0.6657372190032238,positive,4,2,301,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,204,problems,textual,coefficient,0.6633596230046164,0.6633596230046164,positive,5,3,300,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,45,common,textual,coefficient,0.6546859132030489,0.6546859132030489,positive,6,4,299,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,218,school,textual,coefficient,0.6372037880859336,0.6372037880859336,positive,7,5,298,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,250,symptoms,textual,coefficient,0.5800470200712503,0.5800470200712503,positive,8,6,297,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,54,diagnosis,textual,coefficient,0.579730591431882,0.579730591431882,positive,9,7,296,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,21,anxiety,textual,coefficient,0.5508176552668284,0.5508176552668284,positive,11,8,295,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,24,autism,textual,coefficient,0.5194637991500165,0.5194637991500165,positive,13,9,294,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,256,tasks,textual,coefficient,0.5071927917913064,0.5071927917913064,positive,14,10,293,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,11,adhd medication,textual,coefficient,0.48180077487546963,0.48180077487546963,positive,16,11,292,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,128,impulsivity,textual,coefficient,0.4764208350261977,0.4764208350261977,positive,17,12,291,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,207,quickly,textual,coefficient,0.42853861873107113,0.42853861873107113,positive,21,13,290,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,112,harder,textual,coefficient,0.4183923966883708,0.4183923966883708,positive,22,14,289,largest_positive
