condition,row_index,predicted_class,rank,feature,feature_group,transformed_value,model_weight,contribution,contribution_type
B_RIDGE,3,4,1,things,textual,0.23270930021953093,0.19071086487347647,0.04438019190896823,input_times_coefficient
B_RIDGE,3,4,2,hard,textual,0.3860090587410961,-0.0931348109584669,-0.03595088071410773,input_times_coefficient
B_RIDGE,3,4,3,dopamine,textual,0.1802768896277526,0.17591974671784835,0.03171426476239574,input_times_coefficient
B_RIDGE,3,4,4,ve,textual,0.0780568913458474,0.232707789455478,0.018164446636858577,input_times_coefficient
B_RIDGE,3,4,5,friend,textual,0.11860960640475962,0.14214891971174126,0.016860227417871406,input_times_coefficient
B_RIDGE,3,4,6,signs adhd,textual,0.19300452937054804,0.08649348373876913,0.016693634122620284,input_times_coefficient
B_RIDGE,3,4,7,motivation,textual,0.11576967021709086,0.14357680622607563,0.016621839507615935,input_times_coefficient
B_RIDGE,3,4,8,brain,textual,0.13455342802395895,0.12062020240852081,0.016229861723010264,input_times_coefficient
B_RIDGE,3,4,9,just,textual,0.11110402487932888,-0.14409675881614542,-0.016009729876539674,input_times_coefficient
B_RIDGE,3,4,10,don,textual,0.06376715914658342,0.2393026707121744,0.01525965148750567,input_times_coefficient
B_RIDGE,4,2,1,hedge_score,handcrafted_linguistic,1.481282353401184,0.06503281070120327,0.0963319548837721,input_times_coefficient
B_RIDGE,4,2,2,certainty_score,handcrafted_linguistic,-0.6736627817153931,-0.13111821726508846,0.08832946297636277,input_times_coefficient
B_RIDGE,4,2,3,feel,textual,0.24196212956619378,-0.1581457217831874,-0.038265275624442825,input_times_coefficient
B_RIDGE,4,2,4,people adhd,textual,0.262047815352305,0.14434325497938336,0.03782483462818813,input_times_coefficient
B_RIDGE,4,2,5,focus,textual,0.24659980932693035,0.1427641764918173,0.03520561870159838,input_times_coefficient
B_RIDGE,4,2,6,actually,textual,0.12964622310223062,0.1275225521086613,0.016532817241245334,input_times_coefficient
B_RIDGE,4,2,7,time,textual,0.1009621409365773,0.16255708461333454,0.016412111286970604,input_times_coefficient
B_RIDGE,4,2,8,day,textual,0.31736154137906736,-0.05004789039873374,-0.015883275639712764,input_times_coefficient
B_RIDGE,4,2,9,person,textual,0.2839599143196795,-0.05359031732652295,-0.015217501916403893,input_times_coefficient
B_RIDGE,4,2,10,called,textual,0.18052086714792745,-0.07886575335529074,-0.014236914183971652,input_times_coefficient
B_RIDGE,7,2,1,hedge_score,handcrafted_linguistic,1.03557550907135,0.06503281070120327,0.06734638604823932,input_times_coefficient
B_RIDGE,7,2,2,certainty_score,handcrafted_linguistic,0.38189801573753357,-0.13111821726508846,-0.0500737870005801,input_times_coefficient
B_RIDGE,7,2,3,actually,textual,0.2644858274789773,0.1275225521086613,0.03372790771669029,input_times_coefficient
B_RIDGE,7,2,4,time,textual,0.2059686333369193,0.16255708461333454,0.03348166055704247,input_times_coefficient
B_RIDGE,7,2,5,things,textual,0.2839597156025667,-0.10802739803277747,-0.030675429222672766,input_times_coefficient
B_RIDGE,7,2,6,people adhd,textual,0.13364819202612035,0.14434325497938336,0.01929121505915988,input_times_coefficient
B_RIDGE,7,2,7,just,textual,0.3615276487563071,0.04929298446062559,0.017820776772231154,input_times_coefficient
B_RIDGE,7,2,8,late,textual,0.3767094550925215,-0.04045080243828565,-0.01523819974458183,input_times_coefficient
B_RIDGE,7,2,9,tell,textual,0.17666350302152597,0.0833996583412838,0.014733675793369623,input_times_coefficient
B_RIDGE,7,2,10,signs,textual,0.2827188852816616,-0.04736347806815655,-0.013390549722491648,input_times_coefficient
B_RIDGE,16,4,1,certainty_score,handcrafted_linguistic,1.2353968620300293,0.16781861933262815,0.20732259571374081,input_times_coefficient
