condition,fold,class_label,feature_index,feature,feature_group,weight_type,weight,absolute_weight,direction,absolute_rank,positive_rank,negative_rank,ranking_view
B_RIDGE,final_training_fit,1,5,adhd,textual,coefficient,0.2119062641381248,0.2119062641381248,positive,1,1,302,largest_positive
B_RIDGE,final_training_fit,1,230,signs,textual,coefficient,0.18689920998008258,0.18689920998008258,positive,4,2,301,largest_positive
B_RIDGE,final_training_fit,1,54,diagnosis,textual,coefficient,0.16956549867807222,0.16956549867807222,positive,5,3,300,largest_positive
B_RIDGE,final_training_fit,1,218,school,textual,coefficient,0.16698093377604728,0.16698093377604728,positive,6,4,299,largest_positive
B_RIDGE,final_training_fit,1,204,problems,textual,coefficient,0.16196535300623552,0.16196535300623552,positive,7,5,298,largest_positive
B_RIDGE,final_training_fit,1,250,symptoms,textual,coefficient,0.16004163477557515,0.16004163477557515,positive,8,6,297,largest_positive
B_RIDGE,final_training_fit,1,45,common,textual,coefficient,0.15986579704178455,0.15986579704178455,positive,9,7,296,largest_positive
B_RIDGE,final_training_fit,1,21,anxiety,textual,coefficient,0.14307153629711433,0.14307153629711433,positive,11,8,295,largest_positive
B_RIDGE,final_training_fit,1,24,autism,textual,coefficient,0.14294970139117646,0.14294970139117646,positive,12,9,294,largest_positive
B_RIDGE,final_training_fit,1,256,tasks,textual,coefficient,0.1286948890820888,0.1286948890820888,positive,15,10,293,largest_positive
B_RIDGE,final_training_fit,1,11,adhd medication,textual,coefficient,0.12530273647891518,0.12530273647891518,positive,16,11,292,largest_positive
B_RIDGE,final_training_fit,1,128,impulsivity,textual,coefficient,0.11472727265612859,0.11472727265612859,positive,18,12,291,largest_positive
B_RIDGE,final_training_fit,1,207,quickly,textual,coefficient,0.10962202415306718,0.10962202415306718,positive,19,13,290,largest_positive
B_RIDGE,final_training_fit,1,14,adhd symptoms,textual,coefficient,0.10259574305370997,0.10259574305370997,positive,25,14,289,largest_positive
B_RIDGE,final_training_fit,1,49,criteria,textual,coefficient,0.1024296948003389,0.1024296948003389,positive,26,15,288,largest_positive
B_RIDGE,final_training_fit,1,112,harder,textual,coefficient,0.09982061973966203,0.09982061973966203,positive,27,16,287,largest_positive
B_RIDGE,final_training_fit,1,281,understanding,textual,coefficient,0.0987867579558745,0.0987867579558745,positive,28,17,286,largest_positive
B_RIDGE,final_training_fit,1,301,hedge_score,handcrafted_linguistic,coefficient,0.09684223566956604,0.09684223566956604,positive,30,18,285,largest_positive
B_RIDGE,final_training_fit,1,61,difficulty,textual,coefficient,0.09627366059018254,0.09627366059018254,positive,31,19,284,largest_positive
B_RIDGE,final_training_fit,1,9,adhd diagnosis,textual,coefficient,0.0929777737352531,0.0929777737352531,positive,35,20,283,largest_positive
B_RIDGE,final_training_fit,1,69,don,textual,coefficient,-0.20516326679473676,0.20516326679473676,negative,2,302,1,largest_negative
B_RIDGE,final_training_fit,1,34,brain,textual,coefficient,-0.1905611785483855,0.1905611785483855,negative,3,301,2,largest_negative
B_RIDGE,final_training_fit,1,70,dopamine,textual,coefficient,-0.14820512338877886,0.14820512338877886,negative,10,300,3,largest_negative
B_RIDGE,final_training_fit,1,261,thing,textual,coefficient,-0.1351902769238701,0.1351902769238701,negative,13,299,4,largest_negative
B_RIDGE,final_training_fit,1,288,want,textual,coefficient,-0.12966972423330786,0.12966972423330786,negative,14,298,5,largest_negative
B_RIDGE,final_training_fit,1,285,ve,textual,coefficient,-0.12263774013371843,0.12263774013371843,negative,17,297,6,largest_negative
B_RIDGE,final_training_fit,1,153,ll,textual,coefficient,-0.10949971972231407,0.10949971972231407,negative,20,296,7,largest_negative
B_RIDGE,final_training_fit,1,57,diet,textual,coefficient,-0.1088554944686397,0.1088554944686397,negative,21,295,8,largest_negative
B_RIDGE,final_training_fit,1,67,doesn,textual,coefficient,-0.10825727750641918,0.10825727750641918,negative,22,294,9,largest_negative
B_RIDGE,final_training_fit,1,52,depression,textual,coefficient,-0.1075570788072063,0.1075570788072063,negative,23,293,10,largest_negative
B_RIDGE,final_training_fit,1,223,sensitive,textual,coefficient,-0.10328892219414426,0.10328892219414426,negative,24,292,11,largest_negative
B_RIDGE,final_training_fit,1,15,adhd women,textual,coefficient,-0.09720520674799936,0.09720520674799936,negative,29,291,12,largest_negative
B_RIDGE,final_training_fit,1,194,people adhd,textual,coefficient,-0.09563915734979603,0.09563915734979603,negative,32,290,13,largest_negative
B_RIDGE,final_training_fit,1,289,way,textual,coefficient,-0.09534674669330889,0.09534674669330889,negative,33,289,14,largest_negative
B_RIDGE,final_training_fit,1,277,uh,textual,coefficient,-0.09423266240331081,0.09423266240331081,negative,34,288,15,largest_negative
B_RIDGE,final_training_fit,1,100,food,textual,coefficient,-0.09047422183703849,0.09047422183703849,negative,40,287,16,largest_negative
B_RIDGE,final_training_fit,1,160,low,textual,coefficient,-0.0883687472310117,0.0883687472310117,negative,41,286,17,largest_negative
B_RIDGE,final_training_fit,1,291,women,textual,coefficient,-0.08780869284153092,0.08780869284153092,negative,43,285,18,largest_negative
B_RIDGE,final_training_fit,1,179,natural,textual,coefficient,-0.08462244460573713,0.08462244460573713,negative,47,284,19,largest_negative
B_RIDGE,final_training_fit,1,101,foods,textual,coefficient,-0.0844573862419177,0.0844573862419177,negative,48,283,20,largest_negative
B_RIDGE,final_training_fit,2,170,medication,textual,coefficient,0.28771847579712934,0.28771847579712934,positive,1,1,302,largest_positive
B_RIDGE,final_training_fit,2,277,uh,textual,coefficient,0.1887625658187247,0.1887625658187247,positive,2,2,301,largest_positive
B_RIDGE,final_training_fit,2,299,एक,textual,coefficient,0.18451541169361502,0.18451541169361502,positive,3,3,300,largest_positive
B_RIDGE,final_training_fit,2,107,good,textual,coefficient,0.16341182637326684,0.16341182637326684,positive,5,4,299,largest_positive
B_RIDGE,final_training_fit,2,266,time,textual,coefficient,0.16255708461333454,0.16255708461333454,positive,6,5,298,largest_positive
B_RIDGE,final_training_fit,2,194,people adhd,textual,coefficient,0.14434325497938336,0.14434325497938336,positive,9,6,297,largest_positive
B_RIDGE,final_training_fit,2,98,focus,textual,coefficient,0.1427641764918173,0.1427641764918173,positive,10,7,296,largest_positive
B_RIDGE,final_training_fit,2,151,little,textual,coefficient,0.13582937941489404,0.13582937941489404,positive,12,8,295,largest_positive
B_RIDGE,final_training_fit,2,278,um,textual,coefficient,0.13479222971493232,0.13479222971493232,positive,13,9,294,largest_positive
B_RIDGE,final_training_fit,2,298,इपर,textual,coefficient,0.13224680523840843,0.13224680523840843,positive,14,10,293,largest_positive
B_RIDGE,final_training_fit,2,3,actually,textual,coefficient,0.1275225521086613,0.1275225521086613,positive,17,11,292,largest_positive
B_RIDGE,final_training_fit,2,237,stimulant,textual,coefficient,0.12118419926910413,0.12118419926910413,positive,20,12,291,largest_positive
B_RIDGE,final_training_fit,2,136,issues,textual,coefficient,0.11623812574364374,0.11623812574364374,positive,22,13,290,largest_positive
B_RIDGE,final_training_fit,2,123,hyperactivity,textual,coefficient,0.11465057137324286,0.11465057137324286,positive,23,14,289,largest_positive
B_RIDGE,final_training_fit,2,71,dr,textual,coefficient,0.10909507096128758,0.10909507096128758,positive,25,15,288,largest_positive
B_RIDGE,final_training_fit,2,60,differently,textual,coefficient,0.10511633265945963,0.10511633265945963,positive,28,16,287,largest_positive
B_RIDGE,final_training_fit,2,220,seen,textual,coefficient,0.10177303495216135,0.10177303495216135,positive,29,17,286,largest_positive
B_RIDGE,final_training_fit,2,100,food,textual,coefficient,0.09712069902669142,0.09712069902669142,positive,31,18,285,largest_positive
B_RIDGE,final_training_fit,2,146,let,textual,coefficient,0.09544656374213922,0.09544656374213922,positive,33,19,284,largest_positive
B_RIDGE,final_training_fit,2,289,way,textual,coefficient,0.09341115244133799,0.09341115244133799,positive,36,20,283,largest_positive
B_RIDGE,final_training_fit,2,82,energy,textual,coefficient,-0.1647719373820198,0.1647719373820198,negative,4,302,1,largest_negative
B_RIDGE,final_training_fit,2,95,feel,textual,coefficient,-0.1581457217831874,0.1581457217831874,negative,7,301,2,largest_negative
B_RIDGE,final_training_fit,2,70,dopamine,textual,coefficient,-0.15152674129992133,0.15152674129992133,negative,8,300,3,largest_negative
B_RIDGE,final_training_fit,2,4,add,textual,coefficient,-0.13639198944957162,0.13639198944957162,negative,11,299,4,largest_negative
B_RIDGE,final_training_fit,2,295,wrong,textual,coefficient,-0.13192591515085875,0.13192591515085875,negative,15,298,5,largest_negative
B_RIDGE,final_training_fit,2,300,certainty_score,handcrafted_linguistic,coefficient,-0.13111821726508846,0.13111821726508846,negative,16,297,6,largest_negative
B_RIDGE,final_training_fit,2,239,stop,textual,coefficient,-0.1266282480387495,0.1266282480387495,negative,18,296,7,largest_negative
B_RIDGE,final_training_fit,2,242,struggle,textual,coefficient,-0.12430701488383637,0.12430701488383637,negative,19,295,8,largest_negative
B_RIDGE,final_training_fit,2,26,bad,textual,coefficient,-0.11864607753820947,0.11864607753820947,negative,21,294,9,largest_negative
B_RIDGE,final_training_fit,2,24,autism,textual,coefficient,-0.1134417779515835,0.1134417779515835,negative,24,293,10,largest_negative
B_RIDGE,final_training_fit,2,262,things,textual,coefficient,-0.10802739803277747,0.10802739803277747,negative,26,292,11,largest_negative
B_RIDGE,final_training_fit,2,13,adhd sep,textual,coefficient,-0.10659933010898182,0.10659933010898182,negative,27,291,12,largest_negative
B_RIDGE,final_training_fit,2,293,works,textual,coefficient,-0.09861050698032627,0.09861050698032627,negative,30,290,13,largest_negative
B_RIDGE,final_training_fit,2,261,thing,textual,coefficient,-0.09660519919682574,0.09660519919682574,negative,32,289,14,largest_negative
B_RIDGE,final_training_fit,2,191,pay,textual,coefficient,-0.09464617030245077,0.09464617030245077,negative,34,288,15,largest_negative
B_RIDGE,final_training_fit,2,118,helps,textual,coefficient,-0.09376693679521514,0.09376693679521514,negative,35,287,16,largest_negative
B_RIDGE,final_training_fit,2,160,low,textual,coefficient,-0.09241315343509766,0.09241315343509766,negative,38,286,17,largest_negative
B_RIDGE,final_training_fit,2,33,body,textual,coefficient,-0.09173330223236807,0.09173330223236807,negative,39,285,18,largest_negative
B_RIDGE,final_training_fit,2,148,life,textual,coefficient,-0.0832472781466387,0.0832472781466387,negative,48,284,19,largest_negative
B_RIDGE,final_training_fit,2,270,treating,textual,coefficient,-0.08303522823778181,0.08303522823778181,negative,50,283,20,largest_negative
B_RIDGE,final_training_fit,3,160,low,textual,coefficient,0.24158609434195805,0.24158609434195805,positive,1,1,302,largest_positive
B_RIDGE,final_training_fit,3,153,ll,textual,coefficient,0.17778723912737077,0.17778723912737077,positive,2,2,301,largest_positive
B_RIDGE,final_training_fit,3,57,diet,textual,coefficient,0.17366818572462508,0.17366818572462508,positive,3,3,300,largest_positive
B_RIDGE,final_training_fit,3,195,person,textual,coefficient,0.17226683292824896,0.17226683292824896,positive,4,4,299,largest_positive
