condition,fold,class_label,feature_index,feature,feature_group,weight_type,weight,absolute_weight,direction,absolute_rank,positive_rank,negative_rank
C_COMPLEMENT_NB,final_training_fit,1,207,quickly,textual,complement_log_weight,6.729978975462267,6.729978975462267,positive,1,1,306
C_COMPLEMENT_NB,final_training_fit,1,166,management,textual,complement_log_weight,6.705904674214859,6.705904674214859,positive,2,2,305
C_COMPLEMENT_NB,final_training_fit,1,104,function,textual,complement_log_weight,6.702032015335243,6.702032015335243,positive,3,3,304
C_COMPLEMENT_NB,final_training_fit,1,165,manage,textual,complement_log_weight,6.672302772096693,6.672302772096693,positive,4,4,303
C_COMPLEMENT_NB,final_training_fit,1,281,understanding,textual,complement_log_weight,6.657599194839283,6.657599194839283,positive,5,5,302
C_COMPLEMENT_NB,final_training_fit,1,20,answer sep,textual,complement_log_weight,6.6438881924482365,6.6438881924482365,positive,6,6,301
C_COMPLEMENT_NB,final_training_fit,1,90,experts answer,textual,complement_log_weight,6.637563566306565,6.637563566306565,positive,7,7,300
C_COMPLEMENT_NB,final_training_fit,1,229,sign,textual,complement_log_weight,6.625014169767781,6.625014169767781,positive,8,8,299
C_COMPLEMENT_NB,final_training_fit,1,28,behaviors,textual,complement_log_weight,6.609324068699778,6.609324068699778,positive,9,9,298
C_COMPLEMENT_NB,final_training_fit,1,112,harder,textual,complement_log_weight,6.588976330050049,6.588976330050049,positive,10,10,297
C_COMPLEMENT_NB,final_training_fit,1,29,best,textual,complement_log_weight,6.5641124571430085,6.5641124571430085,positive,11,11,296
C_COMPLEMENT_NB,final_training_fit,1,244,struggling,textual,complement_log_weight,6.5603114659982635,6.5603114659982635,positive,12,12,295
C_COMPLEMENT_NB,final_training_fit,1,46,condition,textual,complement_log_weight,6.547064566131206,6.547064566131206,positive,13,13,294
C_COMPLEMENT_NB,final_training_fit,1,124,impact,textual,complement_log_weight,6.539317798247495,6.539317798247495,positive,14,14,293
C_COMPLEMENT_NB,final_training_fit,1,114,health,textual,complement_log_weight,6.538088694672821,6.538088694672821,positive,15,15,292
C_COMPLEMENT_NB,final_training_fit,1,89,experts,textual,complement_log_weight,6.535491659750177,6.535491659750177,positive,16,16,291
C_COMPLEMENT_NB,final_training_fit,1,241,structure,textual,complement_log_weight,6.534139669835481,6.534139669835481,positive,17,17,290
C_COMPLEMENT_NB,final_training_fit,1,7,adhd autism,textual,complement_log_weight,6.509282256112536,6.509282256112536,positive,18,18,289
C_COMPLEMENT_NB,final_training_fit,1,199,poor,textual,complement_log_weight,6.50290514244947,6.50290514244947,positive,19,19,288
