condition,class_label,feature,feature_group,weight_type,mean_weight_missing_as_zero,sample_std_weight_missing_as_zero,median_weight_missing_as_zero,mean_absolute_weight_missing_as_zero,minimum_weight,maximum_weight,fold_presence_count,fold_presence_fraction,nonzero_fold_count,positive_fold_fraction,negative_fold_fraction,sign_consistency_nonzero,top_k_fold_count,top_k_fold_fraction
C_DECISION_TREE,all,ve,textual,gini_importance,0.1963396661365258,0.1868741810262507,0.24405784105913556,0.1963396661365258,0.0,0.38898438230259763,5,1.0,3,0.6,0.0,1.0,5,1.0
C_DECISION_TREE,all,low,textual,gini_importance,0.12973074881987143,0.07561200041314714,0.1509517227811935,0.12973074881987143,0.0,0.1879231749990565,5,1.0,4,0.8,0.0,1.0,5,1.0
C_DECISION_TREE,all,duration_sec,engagement_or_format,gini_importance,0.08552300704371844,0.09153657099130202,0.07091254198996746,0.08552300704371844,0.0,0.20518197559383167,5,1.0,3,0.6,0.0,1.0,5,1.0
C_DECISION_TREE,all,sep,textual,gini_importance,0.07081324815295587,0.09178021789633584,0.045466676560754274,0.07081324815295587,0.0,0.22169024866561016,5,1.0,3,0.6,0.0,1.0,5,1.0
C_DECISION_TREE,all,body,textual,gini_importance,0.05138227419408455,0.11489425793650629,0.0,0.05138227419408455,0.0,0.25691137097042277,5,1.0,1,0.2,0.0,1.0,5,1.0
C_DECISION_TREE,all,certainty_score,handcrafted_linguistic,gini_importance,0.04938170330846931,0.09150143330367147,0.0,0.04938170330846931,0.0,0.2106348310043295,5,1.0,2,0.4,0.0,1.0,5,1.0
C_DECISION_TREE,all,comments,engagement_or_format,gini_importance,0.0396332293272301,0.057600452567938124,0.0,0.0396332293272301,0.0,0.12638052779957465,5,1.0,2,0.4,0.0,1.0,5,1.0
C_DECISION_TREE,all,adhd,textual,gini_importance,0.038704755390880426,0.05929010840911272,0.005781296244736338,0.038704755390880426,0.0,0.13799898305836222,5,1.0,3,0.6,0.0,1.0,5,1.0
C_DECISION_TREE,all,real,textual,gini_importance,0.03174258636808179,0.07097858090068904,0.0,0.03174258636808179,0.0,0.15871293184040897,5,1.0,1,0.2,0.0,1.0,5,1.0
C_DECISION_TREE,all,adhd sep,textual,gini_importance,0.03121248896674509,0.0697932470766042,0.0,0.03121248896674509,0.0,0.15606244483372544,5,1.0,1,0.2,0.0,1.0,5,1.0
C_DECISION_TREE,all,important,textual,gini_importance,0.026631590908869705,0.05955004762119807,0.0,0.026631590908869705,0.0,0.13315795454434853,5,1.0,1,0.2,0.0,1.0,5,1.0
C_DECISION_TREE,all,views,engagement_or_format,gini_importance,0.02474014422996117,0.05532064427134237,0.0,0.02474014422996117,0.0,0.12370072114980585,5,1.0,1,0.2,0.0,1.0,5,1.0
C_DECISION_TREE,all,symptoms,textual,gini_importance,0.023915554001389682,0.053476804466674424,0.0,0.023915554001389682,0.0,0.11957777000694841,5,1.0,1,0.2,0.0,1.0,5,1.0
C_DECISION_TREE,all,doesn,textual,gini_importance,0.023641314329425227,0.05286358591803467,0.0,0.023641314329425227,0.0,0.11820657164712614,5,1.0,1,0.2,0.0,1.0,5,1.0
C_DECISION_TREE,all,feel,textual,gini_importance,0.02240858439452139,0.05010711798569079,0.0,0.02240858439452139,0.0,0.11204292197260696,5,1.0,1,0.2,0.0,1.0,5,1.0
