condition,row_index,predicted_class,node_id,depth,is_leaf,feature,feature_group,transformed_value,operator,threshold
C_DECISION_TREE,3,2,0,0,False,ve,textual,0.0780568913458474,<=,0.09965021163225174
C_DECISION_TREE,3,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,3,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,3,2,3,3,False,duration_sec,engagement_or_format,4.110873864173311,>,3.238486170768738
C_DECISION_TREE,3,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,3,2,6,5,True,,,,leaf,
C_DECISION_TREE,4,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,4,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,4,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,4,2,3,3,False,duration_sec,engagement_or_format,4.007333185232471,>,3.238486170768738
C_DECISION_TREE,4,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,4,2,6,5,True,,,,leaf,
C_DECISION_TREE,7,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,7,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,7,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,7,2,3,3,False,duration_sec,engagement_or_format,4.110873864173311,>,3.238486170768738
C_DECISION_TREE,7,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,7,2,6,5,True,,,,leaf,
C_DECISION_TREE,16,4,0,0,False,ve,textual,0.18009193124943149,>,0.09965021163225174
C_DECISION_TREE,16,4,16,1,False,hedge_score,handcrafted_linguistic,1.6470588445663452,<=,3.3558558225631714
C_DECISION_TREE,16,4,17,2,False,ve,textual,0.18009193124943149,<=,0.18730401247739792
C_DECISION_TREE,16,4,18,3,False,real,textual,0.0,<=,0.10205245018005371
C_DECISION_TREE,16,4,19,4,False,social,textual,0.0,<=,0.04306932911276817
C_DECISION_TREE,16,4,20,5,True,,,,leaf,
C_DECISION_TREE,24,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,24,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,24,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,24,2,3,3,False,duration_sec,engagement_or_format,4.110873864173311,>,3.238486170768738
C_DECISION_TREE,24,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,24,2,6,5,True,,,,leaf,
C_DECISION_TREE,26,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,26,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,26,2,2,2,False,body,textual,0.08583711010046327,<=,0.11443183571100235
C_DECISION_TREE,26,2,3,3,False,duration_sec,engagement_or_format,4.997212273764115,>,3.238486170768738
C_DECISION_TREE,26,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,26,2,6,5,True,,,,leaf,
C_DECISION_TREE,43,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,43,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,43,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,43,2,3,3,False,duration_sec,engagement_or_format,4.07753744390572,>,3.238486170768738
C_DECISION_TREE,43,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,43,2,6,5,True,,,,leaf,
C_DECISION_TREE,46,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,46,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,46,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,46,2,3,3,False,duration_sec,engagement_or_format,4.51085950651685,>,3.238486170768738
C_DECISION_TREE,46,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,46,2,6,5,True,,,,leaf,
C_DECISION_TREE,53,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,53,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,53,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,53,2,3,3,False,duration_sec,engagement_or_format,3.4965075614664802,>,3.238486170768738
C_DECISION_TREE,53,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,53,2,6,5,True,,,,leaf,
C_DECISION_TREE,58,4,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,58,4,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,58,4,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,58,4,3,3,False,duration_sec,engagement_or_format,4.394449154672439,>,3.238486170768738
C_DECISION_TREE,58,4,5,4,False,type,textual,0.1632850147324857,>,0.11887077242136002
C_DECISION_TREE,58,4,7,5,True,,,,leaf,
C_DECISION_TREE,61,1,0,0,False,ve,textual,0.2123149314161155,>,0.09965021163225174
C_DECISION_TREE,61,1,16,1,False,hedge_score,handcrafted_linguistic,5.763688564300537,>,3.3558558225631714
C_DECISION_TREE,61,1,26,2,False,feeling,textual,0.0,<=,0.05100313946604729
C_DECISION_TREE,61,1,27,3,True,,,,leaf,
C_DECISION_TREE,69,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,69,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,69,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,69,2,3,3,False,duration_sec,engagement_or_format,3.9512437185814275,>,3.238486170768738
C_DECISION_TREE,69,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,69,2,6,5,True,,,,leaf,
C_DECISION_TREE,70,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,70,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,70,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,70,2,3,3,False,duration_sec,engagement_or_format,3.871201010907891,>,3.238486170768738
C_DECISION_TREE,70,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,70,2,6,5,True,,,,leaf,
C_DECISION_TREE,72,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,72,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,72,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,72,2,3,3,False,duration_sec,engagement_or_format,4.276666119016055,>,3.238486170768738
C_DECISION_TREE,72,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,72,2,6,5,True,,,,leaf,
C_DECISION_TREE,76,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,76,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,76,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,76,2,3,3,False,duration_sec,engagement_or_format,3.9889840465642745,>,3.238486170768738
C_DECISION_TREE,76,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,76,2,6,5,True,,,,leaf,
C_DECISION_TREE,82,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,82,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,82,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,82,2,3,3,False,duration_sec,engagement_or_format,4.1588830833596715,>,3.238486170768738
C_DECISION_TREE,82,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,82,2,6,5,True,,,,leaf,
C_DECISION_TREE,86,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,86,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,86,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,86,2,3,3,False,duration_sec,engagement_or_format,3.4339872044851463,>,3.238486170768738
C_DECISION_TREE,86,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,86,2,6,5,True,,,,leaf,
C_DECISION_TREE,88,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,88,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,88,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,88,2,3,3,False,duration_sec,engagement_or_format,3.8501476017100584,>,3.238486170768738
C_DECISION_TREE,88,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,88,2,6,5,True,,,,leaf,
C_DECISION_TREE,90,4,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,90,4,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,90,4,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,90,4,3,3,False,duration_sec,engagement_or_format,3.8501476017100584,>,3.238486170768738
C_DECISION_TREE,90,4,5,4,False,type,textual,0.3825526310276243,>,0.11887077242136002
C_DECISION_TREE,90,4,7,5,True,,,,leaf,
C_DECISION_TREE,95,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,95,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,95,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,95,2,3,3,False,duration_sec,engagement_or_format,4.007333185232471,>,3.238486170768738
C_DECISION_TREE,95,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,95,2,6,5,True,,,,leaf,
C_DECISION_TREE,97,4,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,97,4,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,97,4,2,2,False,body,textual,0.3100156098050147,>,0.11443183571100235
C_DECISION_TREE,97,4,8,3,False,like,textual,0.0,<=,0.027511145919561386
C_DECISION_TREE,97,4,9,4,False,different,textual,0.0,<=,0.04511382430791855
C_DECISION_TREE,97,4,10,5,True,,,,leaf,
C_DECISION_TREE,100,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,100,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,100,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,100,2,3,3,False,duration_sec,engagement_or_format,3.4657359027997265,>,3.238486170768738
C_DECISION_TREE,100,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,100,2,6,5,True,,,,leaf,
C_DECISION_TREE,106,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,106,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,106,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,106,2,3,3,False,duration_sec,engagement_or_format,3.9889840465642745,>,3.238486170768738
C_DECISION_TREE,106,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,106,2,6,5,True,,,,leaf,
C_DECISION_TREE,107,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,107,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,107,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,107,2,3,3,False,duration_sec,engagement_or_format,3.784189633918261,>,3.238486170768738
C_DECISION_TREE,107,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,107,2,6,5,True,,,,leaf,
C_DECISION_TREE,114,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,114,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,114,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,114,2,3,3,False,duration_sec,engagement_or_format,4.07753744390572,>,3.238486170768738
C_DECISION_TREE,114,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,114,2,6,5,True,,,,leaf,
C_DECISION_TREE,120,2,0,0,False,ve,textual,0.07539039990447517,<=,0.09965021163225174
C_DECISION_TREE,120,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,120,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,120,2,3,3,False,duration_sec,engagement_or_format,4.110873864173311,>,3.238486170768738
C_DECISION_TREE,120,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,120,2,6,5,True,,,,leaf,
C_DECISION_TREE,124,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,124,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,124,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,124,2,3,3,False,duration_sec,engagement_or_format,4.23410650459726,>,3.238486170768738
C_DECISION_TREE,124,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,124,2,6,5,True,,,,leaf,
C_DECISION_TREE,136,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,136,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,136,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,136,2,3,3,False,duration_sec,engagement_or_format,4.51085950651685,>,3.238486170768738
C_DECISION_TREE,136,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,136,2,6,5,True,,,,leaf,
C_DECISION_TREE,138,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,138,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,138,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,138,2,3,3,False,duration_sec,engagement_or_format,4.007333185232471,>,3.238486170768738
C_DECISION_TREE,138,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,138,2,6,5,True,,,,leaf,
C_DECISION_TREE,142,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,142,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,142,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,142,2,3,3,False,duration_sec,engagement_or_format,4.110873864173311,>,3.238486170768738
C_DECISION_TREE,142,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,142,2,6,5,True,,,,leaf,
C_DECISION_TREE,149,2,0,0,False,ve,textual,0.08510928167120617,<=,0.09965021163225174
C_DECISION_TREE,149,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,149,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,149,2,3,3,False,duration_sec,engagement_or_format,4.3694478524670215,>,3.238486170768738
C_DECISION_TREE,149,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,149,2,6,5,True,,,,leaf,
C_DECISION_TREE,160,4,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,160,4,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,160,4,2,2,False,body,textual,0.14082116592114888,>,0.11443183571100235
C_DECISION_TREE,160,4,8,3,False,like,textual,0.0,<=,0.027511145919561386
C_DECISION_TREE,160,4,9,4,False,different,textual,0.0,<=,0.04511382430791855
C_DECISION_TREE,160,4,10,5,True,,,,leaf,
C_DECISION_TREE,167,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,167,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,167,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,167,2,3,3,False,duration_sec,engagement_or_format,3.367295829986474,>,3.238486170768738
C_DECISION_TREE,167,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,167,2,6,5,True,,,,leaf,
C_DECISION_TREE,178,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,178,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,178,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,178,2,3,3,False,duration_sec,engagement_or_format,3.7376696182833684,>,3.238486170768738
C_DECISION_TREE,178,2,5,4,False,type,textual,0.0,<=,0.11887077242136002
C_DECISION_TREE,178,2,6,5,True,,,,leaf,
C_DECISION_TREE,180,2,0,0,False,ve,textual,0.0,<=,0.09965021163225174
C_DECISION_TREE,180,2,1,1,False,low,textual,0.0,<=,0.0819011889398098
C_DECISION_TREE,180,2,2,2,False,body,textual,0.0,<=,0.11443183571100235
C_DECISION_TREE,180,2,3,3,False,duration_sec,engagement_or_format,3.784189633918261,>,3.238486170768738
