condition,row_index,predicted_class,rank,feature,feature_group,transformed_value,model_weight,contribution,contribution_type
C_LOGISTIC_REGRESSION,3,1,1,likes,engagement_or_format,0.6620957479372739,-1.0893947771191341,-0.7212836497556528,input_times_coefficient
C_LOGISTIC_REGRESSION,3,1,2,views,engagement_or_format,0.5177238219368834,1.3419966049278969,0.6947836113295925,input_times_coefficient
C_LOGISTIC_REGRESSION,3,1,3,comments,engagement_or_format,0.6192721447406119,-0.7639648493963468,-0.4731021507921142,input_times_coefficient
C_LOGISTIC_REGRESSION,3,1,4,hard,textual,0.3860090587410961,1.1600328229275971,0.44778317808705836,input_times_coefficient
C_LOGISTIC_REGRESSION,3,1,5,brain,textual,0.13455342802395895,-1.9827211366867032,-0.2667819257567564,input_times_coefficient
C_LOGISTIC_REGRESSION,3,1,6,signs,textual,0.173769315692715,1.391952815937568,0.2418786883020189,input_times_coefficient
C_LOGISTIC_REGRESSION,3,1,7,impulsivity,textual,0.10460501300486297,2.0112807667711112,0.21039005076452286,input_times_coefficient
C_LOGISTIC_REGRESSION,3,1,8,dopamine,textual,0.1802768896277526,-0.9543411857114408,-0.17204566060371995,input_times_coefficient
C_LOGISTIC_REGRESSION,3,1,9,adhd,textual,0.09030248560127664,1.8679701508385542,0.1686823476497131,input_times_coefficient
C_LOGISTIC_REGRESSION,3,1,10,trying,textual,0.19896885839241238,0.8208927097068824,0.16333208531303237,input_times_coefficient
C_LOGISTIC_REGRESSION,4,3,1,likes,engagement_or_format,1.3917120980190982,1.3475846226622363,1.8754498224635356,input_times_coefficient
C_LOGISTIC_REGRESSION,4,3,2,views,engagement_or_format,1.2664834668179388,-0.8228395571729819,-1.0421126950033757,input_times_coefficient
C_LOGISTIC_REGRESSION,4,3,3,comments,engagement_or_format,1.8359201287166482,-0.35218336868044564,-0.6465805355596665,input_times_coefficient
C_LOGISTIC_REGRESSION,4,3,4,hedge_score,handcrafted_linguistic,1.481282353401184,-0.261504667910497,-0.38736224990785606,input_times_coefficient
C_LOGISTIC_REGRESSION,4,3,5,person,textual,0.2839599143196795,1.2268125792207196,0.34836559488182056,input_times_coefficient
C_LOGISTIC_REGRESSION,4,3,6,day,textual,0.31736154137906736,1.0751940650750138,0.3412252457738316,input_times_coefficient
C_LOGISTIC_REGRESSION,4,3,7,called,textual,0.18052086714792745,1.6148622501058763,0.29151633371356606,input_times_coefficient
C_LOGISTIC_REGRESSION,4,3,8,focus,textual,0.24659980932693035,-1.1544786862324643,-0.2846942238969307,input_times_coefficient
C_LOGISTIC_REGRESSION,4,3,9,adhd,textual,0.3360823292755806,-0.8024613774821883,-0.2696930888979048,input_times_coefficient
C_LOGISTIC_REGRESSION,4,3,10,late,textual,0.184656238578707,0.9392342913839109,0.17343547139109025,input_times_coefficient
C_LOGISTIC_REGRESSION,7,2,1,views,engagement_or_format,2.8486303585284722,1.0078505355640506,2.8709936324669343,input_times_coefficient
C_LOGISTIC_REGRESSION,7,2,2,likes,engagement_or_format,2.5569333739217135,-0.6143160790523853,-1.5707652846657736,input_times_coefficient
C_LOGISTIC_REGRESSION,7,2,3,comments,engagement_or_format,2.8619835973430745,-0.20199437450477453,-0.5781045865882388,input_times_coefficient
C_LOGISTIC_REGRESSION,7,2,4,things,textual,0.2839597156025667,-1.957832156134407,-0.5559454622534862,input_times_coefficient
C_LOGISTIC_REGRESSION,7,2,5,late,textual,0.3767094550925215,-1.2183817514041635,-0.45897592566613443,input_times_coefficient
C_LOGISTIC_REGRESSION,7,2,6,actually,textual,0.2644858274789773,1.4895921264419558,0.3939760061681701,input_times_coefficient
C_LOGISTIC_REGRESSION,7,2,7,time,textual,0.2059686333369193,1.757543724861698,0.3619988790396425,input_times_coefficient
C_LOGISTIC_REGRESSION,7,2,8,hedge_score,handcrafted_linguistic,1.03557550907135,0.34546735574147636,0.35775753278951256,input_times_coefficient
C_LOGISTIC_REGRESSION,7,2,9,try,textual,0.18025616163854802,1.2095955564102356,0.21803705213355287,input_times_coefficient
C_LOGISTIC_REGRESSION,7,2,10,people adhd,textual,0.13364819202612035,1.6108045361100511,0.21528111395858182,input_times_coefficient
C_LOGISTIC_REGRESSION,16,2,1,duration_sec,engagement_or_format,2.428760319396691,0.5459564732577743,1.3259974183662429,input_times_coefficient
C_LOGISTIC_REGRESSION,16,2,2,medication,textual,0.39174886508891277,2.857948779726882,1.1195981909402493,input_times_coefficient
C_LOGISTIC_REGRESSION,16,2,3,views,engagement_or_format,-0.6269950706005286,1.0078505355640506,-0.6319173177007624,input_times_coefficient
C_LOGISTIC_REGRESSION,16,2,4,certainty_score,handcrafted_linguistic,1.2353968620300293,-0.43508949529232555,-0.5375081971863682,input_times_coefficient
C_LOGISTIC_REGRESSION,16,2,5,don,textual,0.2942456621828816,1.2340699506531896,0.36311972980994384,input_times_coefficient
C_LOGISTIC_REGRESSION,16,2,6,know,textual,0.19052123305485816,-1.795524187220219,-0.3420854821290181,input_times_coefficient
C_LOGISTIC_REGRESSION,16,2,7,actually,textual,0.1875312656434946,1.4895921264419558,0.2793450967642444,input_times_coefficient
C_LOGISTIC_REGRESSION,16,2,8,try,textual,0.1704119849159133,1.2095955564102356,0.20612957971333684,input_times_coefficient
C_LOGISTIC_REGRESSION,16,2,9,want,textual,0.2554351466057877,0.7938193645947134,0.20276936577376384,input_times_coefficient
C_LOGISTIC_REGRESSION,16,2,10,did,textual,0.15301952780235628,-1.2122340473946087,-0.1854954815182622,input_times_coefficient
C_LOGISTIC_REGRESSION,24,2,1,views,engagement_or_format,1.4888332864116596,1.0078505355640506,1.5005214250755765,input_times_coefficient
C_LOGISTIC_REGRESSION,24,2,2,likes,engagement_or_format,1.5138883875089104,-0.6143160790523853,-0.9300059783374119,input_times_coefficient
C_LOGISTIC_REGRESSION,24,2,3,time,textual,0.3265354453651646,1.757543724861698,0.5739003229464649,input_times_coefficient
C_LOGISTIC_REGRESSION,24,2,4,hedge_score,handcrafted_linguistic,1.3666510581970215,0.34546735574147636,0.4721333272966155,input_times_coefficient
C_LOGISTIC_REGRESSION,24,2,5,comments,engagement_or_format,1.620499150403544,-0.20199437450477453,-0.32733171227128244,input_times_coefficient
C_LOGISTIC_REGRESSION,24,2,6,symptoms adhd,textual,0.22680329502094645,1.2010737442576789,0.27240748276078713,input_times_coefficient
C_LOGISTIC_REGRESSION,24,2,7,sensitive,textual,0.298610977067293,-0.7816705477240925,-0.23341540600061736,input_times_coefficient
