condition,fold,class_label,feature_index,feature,feature_group,weight_type,weight,absolute_weight,direction,absolute_rank,positive_rank,negative_rank,ranking_view
C_LOGISTIC_REGRESSION,final_training_fit,1,45,common,textual,coefficient,2.3872866689415746,2.3872866689415746,positive,1,1,306,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,1,128,impulsivity,textual,coefficient,2.0112807667711112,2.0112807667711112,positive,3,2,305,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,1,204,problems,textual,coefficient,1.9769626013420987,1.9769626013420987,positive,5,3,304,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,1,218,school,textual,coefficient,1.90590280227199,1.90590280227199,positive,7,4,303,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,1,112,harder,textual,coefficient,1.8811132186565978,1.8811132186565978,positive,8,5,302,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,1,5,adhd,textual,coefficient,1.8679701508385542,1.8679701508385542,positive,9,6,301,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,1,29,best,textual,coefficient,1.7633432259258328,1.7633432259258328,positive,10,7,300,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,1,24,autism,textual,coefficient,1.7628888735034347,1.7628888735034347,positive,11,8,299,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,1,256,tasks,textual,coefficient,1.7499985762453913,1.7499985762453913,positive,14,9,298,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,1,11,adhd medication,textual,coefficient,1.7036188072514058,1.7036188072514058,positive,15,10,297,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,1,19,answer,textual,coefficient,1.6083393502997028,1.6083393502997028,positive,16,11,296,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,1,104,function,textual,coefficient,1.5564181445731031,1.5564181445731031,positive,18,12,295,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,1,42,college,textual,coefficient,1.5377668140475775,1.5377668140475775,positive,20,13,294,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,1,142,know,textual,coefficient,1.498471066938066,1.498471066938066,positive,21,14,293,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,1,54,diagnosis,textual,coefficient,1.4386203331619256,1.4386203331619256,positive,23,15,292,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,1,148,life,textual,coefficient,1.3955677421384904,1.3955677421384904,positive,24,16,291,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,1,230,signs,textual,coefficient,1.391952815937568,1.391952815937568,positive,25,17,290,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,1,124,impact,textual,coefficient,1.3667304376079064,1.3667304376079064,positive,26,18,289,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,1,281,understanding,textual,coefficient,1.3548276326896684,1.3548276326896684,positive,28,19,288,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,1,304,views,engagement_or_format,coefficient,1.3419966049278969,1.3419966049278969,positive,30,20,287,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,1,69,don,textual,coefficient,-2.2359810712694985,2.2359810712694985,negative,2,306,1,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,1,34,brain,textual,coefficient,-1.9827211366867032,1.9827211366867032,negative,4,305,2,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,1,57,diet,textual,coefficient,-1.9483841480445567,1.9483841480445567,negative,6,304,3,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,1,261,thing,textual,coefficient,-1.7611185684103174,1.7611185684103174,negative,12,303,4,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,1,52,depression,textual,coefficient,-1.7507008622031006,1.7507008622031006,negative,13,302,5,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,1,203,problem,textual,coefficient,-1.5928888590519321,1.5928888590519321,negative,17,301,6,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,1,288,want,textual,coefficient,-1.5466440402190909,1.5466440402190909,negative,19,300,7,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,1,40,child,textual,coefficient,-1.4724780699641233,1.4724780699641233,negative,22,299,8,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,1,101,foods,textual,coefficient,-1.3549971028904249,1.3549971028904249,negative,27,298,9,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,1,131,increase,textual,coefficient,-1.3447563583879178,1.3447563583879178,negative,29,297,10,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,1,285,ve,textual,coefficient,-1.3395907152874196,1.3395907152874196,negative,31,296,11,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,1,289,way,textual,coefficient,-1.3147706708594458,1.3147706708594458,negative,33,295,12,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,1,179,natural,textual,coefficient,-1.311296039954504,1.311296039954504,negative,34,294,13,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,1,224,sensitivity,textual,coefficient,-1.2829446781050402,1.2829446781050402,negative,37,293,14,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,1,107,good,textual,coefficient,-1.2530467087094341,1.2530467087094341,negative,40,292,15,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,1,277,uh,textual,coefficient,-1.2175354139867123,1.2175354139867123,negative,43,291,16,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,1,169,means,textual,coefficient,-1.1743228464523505,1.1743228464523505,negative,47,290,17,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,1,100,food,textual,coefficient,-1.1632102304132224,1.1632102304132224,negative,48,289,18,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,1,160,low,textual,coefficient,-1.1620566540959227,1.1620566540959227,negative,49,288,19,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,1,221,self,textual,coefficient,-1.1473775221157836,1.1473775221157836,negative,52,287,20,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,2,170,medication,textual,coefficient,2.857948779726882,2.857948779726882,positive,1,1,306,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,2,286,video,textual,coefficient,1.94992863458836,1.94992863458836,positive,4,2,305,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,2,98,focus,textual,coefficient,1.8971990024930545,1.8971990024930545,positive,5,3,304,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,2,107,good,textual,coefficient,1.883200066766393,1.883200066766393,positive,6,4,303,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,2,277,uh,textual,coefficient,1.7960472203529876,1.7960472203529876,positive,7,5,302,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,2,237,stimulant,textual,coefficient,1.7848674311638875,1.7848674311638875,positive,9,6,301,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,2,266,time,textual,coefficient,1.757543724861698,1.757543724861698,positive,10,7,300,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,2,185,oh,textual,coefficient,1.7323228939649973,1.7323228939649973,positive,12,8,299,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,2,136,issues,textual,coefficient,1.6642757618361503,1.6642757618361503,positive,15,9,298,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,2,139,kid,textual,coefficient,1.6605477863781857,1.6605477863781857,positive,16,10,297,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,2,194,people adhd,textual,coefficient,1.6108045361100511,1.6108045361100511,positive,17,11,296,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,2,220,seen,textual,coefficient,1.5855574783576787,1.5855574783576787,positive,18,12,295,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,2,289,way,textual,coefficient,1.5605929524363784,1.5605929524363784,positive,19,13,294,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,2,3,actually,textual,coefficient,1.4895921264419558,1.4895921264419558,positive,23,14,293,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,2,299,एक,textual,coefficient,1.4683986366886583,1.4683986366886583,positive,24,15,292,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,2,151,little,textual,coefficient,1.4463850315319546,1.4463850315319546,positive,26,16,291,largest_positive
