condition,row_index,predicted_class,rank,feature,feature_group,transformed_value,model_weight,contribution,contribution_type
C_RIDGE,3,1,1,views,engagement_or_format,0.5177238219368834,0.35579946013441077,0.1842058563438669,input_times_coefficient
C_RIDGE,3,1,2,likes,engagement_or_format,0.6620957479372739,-0.26803572219708216,-0.17746531196198448,input_times_coefficient
C_RIDGE,3,1,3,comments,engagement_or_format,0.6192721447406119,-0.27261071033589845,-0.16882021926897353,input_times_coefficient
C_RIDGE,3,1,4,hard,textual,0.3860090587410961,0.359995496631363,0.13896152280570587,input_times_coefficient
C_RIDGE,3,1,5,brain,textual,0.13455342802395895,-0.6418831733743129,-0.08636758136841097,input_times_coefficient
C_RIDGE,3,1,6,signs,textual,0.173769315692715,0.47233360184487216,0.08207708677125874,input_times_coefficient
C_RIDGE,3,1,7,impulsivity,textual,0.10460501300486297,0.6200628596121949,0.06486168349356616,input_times_coefficient
C_RIDGE,3,1,8,adhd,textual,0.09030248560127664,0.6902018397870695,0.062326941699346494,input_times_coefficient
C_RIDGE,3,1,9,dopamine,textual,0.1802768896277526,-0.31152608569750484,-0.05616095376745488,input_times_coefficient
C_RIDGE,3,1,10,trying,textual,0.19896885839241238,0.27459828195001057,0.054636506676111384,input_times_coefficient
C_RIDGE,4,3,1,likes,engagement_or_format,1.3917120980190982,0.2997607150623173,0.4171806136630827,input_times_coefficient
C_RIDGE,4,3,2,views,engagement_or_format,1.2664834668179388,-0.23447128209606574,-0.29695400221827223,input_times_coefficient
C_RIDGE,4,3,3,hedge_score,handcrafted_linguistic,1.481282353401184,-0.11751082219940298,-0.17406670725763976,input_times_coefficient
C_RIDGE,4,3,4,person,textual,0.2839599143196795,0.5445709497588103,0.15463632023449825,input_times_coefficient
C_RIDGE,4,3,5,day,textual,0.31736154137906736,0.3908941678709626,0.1240547756316166,input_times_coefficient
C_RIDGE,4,3,6,called,textual,0.18052086714792745,0.6218110663815499,0.11224987290537487,input_times_coefficient
C_RIDGE,4,3,7,adhd,textual,0.3360823292755806,-0.28377426802580835,-0.0953715169865866,input_times_coefficient
C_RIDGE,4,3,8,focus,textual,0.24659980932693035,-0.3133892116559049,-0.07728171983946316,input_times_coefficient
C_RIDGE,4,3,9,late,textual,0.184656238578707,0.37832603230095546,0.06986026208110084,input_times_coefficient
C_RIDGE,4,3,10,people adhd,textual,0.262047815352305,-0.21333450394385955,-0.055903840697756085,input_times_coefficient
C_RIDGE,7,2,1,views,engagement_or_format,2.8486303585284722,0.14190521620302277,0.4042355069094771,input_times_coefficient
C_RIDGE,7,2,2,things,textual,0.2839597156025667,-0.7222188296746914,-0.20508105347724395,input_times_coefficient
C_RIDGE,7,2,3,likes,engagement_or_format,2.5569333739217135,-0.0640066032850168,-0.16366062009082663,input_times_coefficient
C_RIDGE,7,2,4,late,textual,0.3767094550925215,-0.4234585480136951,-0.15952083887650945,input_times_coefficient
C_RIDGE,7,2,5,actually,textual,0.2644858274789773,0.5835418120644523,0.15433853903244854,input_times_coefficient
C_RIDGE,7,2,6,time,textual,0.2059686333369193,0.6532312474950475,0.13454514729952582,input_times_coefficient
C_RIDGE,7,2,7,hedge_score,handcrafted_linguistic,1.03557550907135,0.08222865245978594,0.08515397863129395,input_times_coefficient
C_RIDGE,7,2,8,people adhd,textual,0.13364819202612035,0.6143459618286119,0.08210622707694193,input_times_coefficient
C_RIDGE,7,2,9,way,textual,0.1282561171278406,0.5285135385830325,0.06778509430815492,input_times_coefficient
C_RIDGE,7,2,10,try,textual,0.18025616163854802,0.3608432401851731,0.06504421742899597,input_times_coefficient
C_RIDGE,16,2,1,duration_sec,engagement_or_format,2.428760319396691,0.16658881745514892,0.40460430949028453,input_times_coefficient
C_RIDGE,16,2,2,medication,textual,0.39174886508891277,1.0108909069139311,0.39601536551223426,input_times_coefficient
C_RIDGE,16,2,3,certainty_score,handcrafted_linguistic,1.2353968620300293,-0.13664675844961277,-0.168812976595227,input_times_coefficient
C_RIDGE,16,2,4,know,textual,0.19052123305485816,-0.5771453666113536,-0.10995844689869326,input_times_coefficient
C_RIDGE,16,2,5,don,textual,0.2942456621828816,0.3734312352886644,0.10988052110728452,input_times_coefficient
C_RIDGE,16,2,6,actually,textual,0.1875312656434946,0.5835418120644523,0.10943233457234501,input_times_coefficient
C_RIDGE,16,2,7,views,engagement_or_format,-0.6269950706005286,0.14190521620302277,-0.08897387105179753,input_times_coefficient
C_RIDGE,16,2,8,want,textual,0.2554351466057877,0.32687780723438237,0.08349608061309287,input_times_coefficient
C_RIDGE,16,2,9,did,textual,0.15301952780235628,-0.4578200959415934,-0.07005541489941207,input_times_coefficient
C_RIDGE,16,2,10,things,textual,0.08948402157633159,-0.7222188296746914,-0.06462704533744304,input_times_coefficient
C_RIDGE,24,2,1,time,textual,0.3265354453651646,0.6532312474950475,0.2133031563272374,input_times_coefficient
C_RIDGE,24,2,2,views,engagement_or_format,1.4888332864116596,0.14190521620302277,0.21127320939850347,input_times_coefficient
C_RIDGE,24,2,3,sensitive,textual,0.298610977067293,-0.3786181006254602,-0.11305952096313134,input_times_coefficient
C_RIDGE,24,2,4,hedge_score,handcrafted_linguistic,1.3666510581970215,0.08222865245978594,0.11237787489828158,input_times_coefficient
C_RIDGE,24,2,5,likes,engagement_or_format,1.5138883875089104,-0.0640066032850168,-0.0968988534370766,input_times_coefficient
C_RIDGE,24,2,6,symptoms adhd,textual,0.22680329502094645,0.40196375600702433,0.09116670434138888,input_times_coefficient
C_RIDGE,24,2,7,rejection,textual,0.4378853885602775,-0.16686293538716868,-0.07306684129831884,input_times_coefficient
C_RIDGE,24,2,8,people adhd,textual,0.10594057745217787,0.6143459618286119,0.06508416595153677,input_times_coefficient
C_RIDGE,24,2,9,eating,textual,0.15296808910173265,0.4216646430448165,0.06450123468832979,input_times_coefficient
C_RIDGE,24,2,10,late,textual,0.1493054885336465,-0.4234585480136951,-0.06322468538493335,input_times_coefficient
C_RIDGE,26,2,1,duration_sec,engagement_or_format,2.5174627128526144,0.16658881745514892,0.41938113632154816,input_times_coefficient
C_RIDGE,26,2,2,certainty_score,handcrafted_linguistic,0.9457379579544067,-0.13664675844961277,-0.12923202629722585,input_times_coefficient
C_RIDGE,26,2,3,actually,textual,0.1380270224167284,0.5835418120644523,0.08054453877491848,input_times_coefficient
C_RIDGE,26,2,4,adhd,textual,0.3066924881317188,-0.24284963780672197,-0.07448015966083028,input_times_coefficient
C_RIDGE,26,2,5,things,textual,0.09879323063548942,-0.7222188296746914,-0.07135033140934505,input_times_coefficient
C_RIDGE,26,2,6,know,textual,0.1051707767854998,-0.5771453666113536,-0.06069882652466812,input_times_coefficient
C_RIDGE,26,2,7,energy,textual,0.10070784614173817,-0.5893267393755873,-0.05934982659624888,input_times_coefficient
C_RIDGE,26,2,8,video,textual,0.08583711010046327,0.6878657682354394,0.05904440968236516,input_times_coefficient
C_RIDGE,26,2,9,kid,textual,0.09829654181901662,0.5977322562454993,0.05875501372261088,input_times_coefficient
C_RIDGE,26,2,10,hedge_score,handcrafted_linguistic,0.5999982357025146,0.08222865245978594,0.04933704640006681,input_times_coefficient
C_RIDGE,43,3,1,hedge_score,handcrafted_linguistic,1.5987461805343628,-0.11751082219940298,-0.1878699781627481,input_times_coefficient
C_RIDGE,43,3,2,disorder,textual,0.36591928160801246,0.47358596897278127,0.1732942375461546,input_times_coefficient
C_RIDGE,43,3,3,problem,textual,0.267372830514845,0.5524036989016011,0.14769774056219126,input_times_coefficient
C_RIDGE,43,3,4,views,engagement_or_format,-0.47434719319011104,-0.23447128209606574,0.11122079454595551,input_times_coefficient
C_RIDGE,43,3,5,makes,textual,0.2943664555252961,0.25818711219911983,0.07600162508036684,input_times_coefficient
C_RIDGE,43,3,6,criteria,textual,0.1505549006600578,-0.32997776947790236,-0.049679770303773046,input_times_coefficient
C_RIDGE,43,3,7,uh,textual,0.13147153851979712,0.32330684032203694,0.04250564771111258,input_times_coefficient
C_RIDGE,43,3,8,deficit,textual,0.14718322776264806,0.2668758062588712,0.03927964257693978,input_times_coefficient
C_RIDGE,43,3,9,yeah,textual,0.14718322776264806,-0.26023870286011297,-0.038302772275716095,input_times_coefficient
C_RIDGE,43,3,10,don,textual,0.08292723208665288,-0.38217197049647805,-0.031692463694374895,input_times_coefficient
C_RIDGE,46,3,1,views,engagement_or_format,-0.9914106433409341,-0.23447128209606574,0.23245732462783417,input_times_coefficient
C_RIDGE,46,3,2,likes,engagement_or_format,-0.5214321981762782,0.2997607150623173,-0.15630488858183708,input_times_coefficient
C_RIDGE,46,3,3,relationships,textual,0.12470045556588692,0.7132859557418106,0.08894708362975284,input_times_coefficient
C_RIDGE,46,3,4,works,textual,0.12190779226178436,0.5827427572061619,0.07104088298754822,input_times_coefficient
C_RIDGE,46,3,5,adhd,textual,0.22696021478010323,-0.28377426802580835,-0.06440546882020404,input_times_coefficient
C_RIDGE,46,3,6,energy,textual,0.12775947210896124,-0.5035004630826576,-0.06432695337005787,input_times_coefficient
C_RIDGE,46,3,7,makes,textual,0.24381558452356872,0.25818711219911983,0.06295004167728062,input_times_coefficient
C_RIDGE,46,3,8,real,textual,0.3788537781259491,0.15595393838379182,0.059083738770321005,input_times_coefficient
C_RIDGE,46,3,9,doesn,textual,0.18942688906297456,0.3021247425558674,0.05723055009131004,input_times_coefficient
C_RIDGE,46,3,10,people,textual,0.3031014892499273,-0.18514876270137598,-0.05611886570756845,input_times_coefficient
C_RIDGE,53,1,1,comments,engagement_or_format,-1.3115282558749666,-0.27261071033589845,0.3575366494596766,input_times_coefficient
C_RIDGE,53,1,2,views,engagement_or_format,-0.9170437353861042,0.35579946013441077,-0.3262836659700193,input_times_coefficient
C_RIDGE,53,1,3,likes,engagement_or_format,-1.035892845363534,-0.26803572219708216,0.27765628692580524,input_times_coefficient
C_RIDGE,53,1,4,impulsivity,textual,0.4192881778121746,0.6200628596121949,0.2599850265358034,input_times_coefficient
C_RIDGE,53,1,5,anxiety,textual,0.37594477989318076,0.5683137174319677,0.2136545754102364,input_times_coefficient
C_RIDGE,53,1,6,common,textual,0.18299307395631678,0.881553329805913,0.16131815367761076,input_times_coefficient
C_RIDGE,53,1,7,adhd,textual,0.180979685160544,0.6902018397870695,0.12491251166189207,input_times_coefficient
C_RIDGE,53,1,8,hyperactivity,textual,0.36130184578320784,-0.32742221864160426,-0.11829825194564467,input_times_coefficient
C_RIDGE,53,1,9,tasks,textual,0.18065092289160392,0.6224286308051912,0.11244230658911519,input_times_coefficient
C_RIDGE,53,1,10,duration_sec,engagement_or_format,-1.355834559772007,-0.07994484168430568,0.10839197923108339,input_times_coefficient
C_RIDGE,58,2,1,duration_sec,engagement_or_format,0.961739774099384,0.16658881745514892,0.16021509166679845,input_times_coefficient
C_RIDGE,58,2,2,medication,textual,0.12248498536804228,1.0108909069139311,0.12381895794203984,input_times_coefficient
C_RIDGE,58,2,3,adhd,textual,0.47770440099659356,-0.24284963780672197,-0.11601034076069983,input_times_coefficient
C_RIDGE,58,2,4,little,textual,0.13922768844171868,0.5834570278829563,0.0812333732972194,input_times_coefficient
C_RIDGE,58,2,5,look,textual,0.3674549561041268,0.18847376173392177,0.06925561784471788,input_times_coefficient
C_RIDGE,58,2,6,actually,textual,0.11726780279596001,0.5835418120644523,0.06843066614037135,input_times_coefficient
C_RIDGE,58,2,7,things,textual,0.08393476063520641,-0.7222188296746914,-0.06061926459498414,input_times_coefficient
C_RIDGE,58,2,8,help,textual,0.10743013113711777,-0.5374433633021328,-0.05773761099832176,input_times_coefficient
C_RIDGE,58,2,9,adults,textual,0.13531690215096628,-0.39704304856123007,-0.053726635351881324,input_times_coefficient
C_RIDGE,58,2,10,hedge_score,handcrafted_linguistic,0.6452529430389404,0.08222865245978594,0.05305828000180309,input_times_coefficient
C_RIDGE,61,2,1,views,engagement_or_format,-1.4526748858795986,0.14190521620302277,-0.20614214375344586,input_times_coefficient
C_RIDGE,61,2,2,duration_sec,engagement_or_format,1.1461743320963789,0.16658881745514892,0.1909398265813809,input_times_coefficient
