condition,fold,class_label,feature_index,feature,feature_group,weight_type,weight,absolute_weight,direction,absolute_rank,positive_rank,negative_rank,ranking_view
C_RIDGE,final_training_fit,1,45,common,textual,coefficient,0.881553329805913,0.881553329805913,positive,1,1,306,largest_positive
C_RIDGE,final_training_fit,1,204,problems,textual,coefficient,0.8090235658391701,0.8090235658391701,positive,2,2,305,largest_positive
C_RIDGE,final_training_fit,1,218,school,textual,coefficient,0.7360964069168429,0.7360964069168429,positive,4,3,304,largest_positive
C_RIDGE,final_training_fit,1,24,autism,textual,coefficient,0.7125180892791996,0.7125180892791996,positive,5,4,303,largest_positive
C_RIDGE,final_training_fit,1,5,adhd,textual,coefficient,0.6902018397870695,0.6902018397870695,positive,6,5,302,largest_positive
C_RIDGE,final_training_fit,1,256,tasks,textual,coefficient,0.6224286308051912,0.6224286308051912,positive,8,6,301,largest_positive
C_RIDGE,final_training_fit,1,128,impulsivity,textual,coefficient,0.6200628596121949,0.6200628596121949,positive,9,7,300,largest_positive
C_RIDGE,final_training_fit,1,54,diagnosis,textual,coefficient,0.6117318414620622,0.6117318414620622,positive,10,8,299,largest_positive
C_RIDGE,final_training_fit,1,112,harder,textual,coefficient,0.5855350438322029,0.5855350438322029,positive,13,9,298,largest_positive
C_RIDGE,final_training_fit,1,104,function,textual,coefficient,0.5694103802310096,0.5694103802310096,positive,15,10,297,largest_positive
C_RIDGE,final_training_fit,1,21,anxiety,textual,coefficient,0.5683137174319677,0.5683137174319677,positive,16,11,296,largest_positive
C_RIDGE,final_training_fit,1,19,answer,textual,coefficient,0.5574532139468346,0.5574532139468346,positive,18,12,295,largest_positive
C_RIDGE,final_training_fit,1,29,best,textual,coefficient,0.5513366339050404,0.5513366339050404,positive,19,13,294,largest_positive
C_RIDGE,final_training_fit,1,11,adhd medication,textual,coefficient,0.5477384267600035,0.5477384267600035,positive,20,14,293,largest_positive
C_RIDGE,final_training_fit,1,42,college,textual,coefficient,0.5193234267667066,0.5193234267667066,positive,21,15,292,largest_positive
C_RIDGE,final_training_fit,1,281,understanding,textual,coefficient,0.5111357125533451,0.5111357125533451,positive,22,16,291,largest_positive
C_RIDGE,final_training_fit,1,227,sep adhd,textual,coefficient,0.5100831611398012,0.5100831611398012,positive,23,17,290,largest_positive
C_RIDGE,final_training_fit,1,207,quickly,textual,coefficient,0.508935945789129,0.508935945789129,positive,24,18,289,largest_positive
C_RIDGE,final_training_fit,1,124,impact,textual,coefficient,0.4953270702154838,0.4953270702154838,positive,26,19,288,largest_positive
C_RIDGE,final_training_fit,1,148,life,textual,coefficient,0.4873041337120206,0.4873041337120206,positive,27,20,287,largest_positive
C_RIDGE,final_training_fit,1,69,don,textual,coefficient,-0.7475877183840554,0.7475877183840554,negative,3,306,1,largest_negative
C_RIDGE,final_training_fit,1,34,brain,textual,coefficient,-0.6418831733743129,0.6418831733743129,negative,7,305,2,largest_negative
C_RIDGE,final_training_fit,1,52,depression,textual,coefficient,-0.5960022537016585,0.5960022537016585,negative,11,304,3,largest_negative
C_RIDGE,final_training_fit,1,57,diet,textual,coefficient,-0.5930799233936742,0.5930799233936742,negative,12,303,4,largest_negative
C_RIDGE,final_training_fit,1,40,child,textual,coefficient,-0.571123677042988,0.571123677042988,negative,14,302,5,largest_negative
C_RIDGE,final_training_fit,1,277,uh,textual,coefficient,-0.5672408558199792,0.5672408558199792,negative,17,301,6,largest_negative
