condition,class_label,feature,feature_group,weight_type,mean_weight_missing_as_zero,sample_std_weight_missing_as_zero,median_weight_missing_as_zero,mean_absolute_weight_missing_as_zero,minimum_weight,maximum_weight,fold_presence_count,fold_presence_fraction,nonzero_fold_count,positive_fold_fraction,negative_fold_fraction,sign_consistency_nonzero,top_k_fold_count,top_k_fold_fraction
A_COMPLEMENT_NB,1,music,textual,complement_log_weight,6.097008226900326,0.4186205223418059,5.911227286579174,6.097008226900326,5.899076517823772,6.845698324364388,5,1.0,5,1.0,0.0,1.0,5,1.0
A_COMPLEMENT_NB,1,trouble,textual,complement_log_weight,6.0710658317777115,0.3780428979982672,5.924370821339624,6.0710658317777115,5.876251843003048,6.746111040391252,5,1.0,5,1.0,0.0,1.0,5,1.0
A_COMPLEMENT_NB,1,impulsive,textual,complement_log_weight,6.0374629790474525,0.3886076142792038,5.868209595545688,6.0374629790474525,5.848006143358344,6.7322909845544805,5,1.0,5,1.0,0.0,1.0,3,0.6
A_COMPLEMENT_NB,1,adhd medication,textual,complement_log_weight,4.86831244806753,2.7473393291462096,5.871741866725578,4.86831244806753,0.0,6.7367314420646025,4,0.8,4,0.8,0.0,1.0,3,0.6
A_COMPLEMENT_NB,1,inattentive,textual,complement_log_weight,4.839765181948013,2.7216811837747152,5.886689584543957,4.839765181948013,0.0,6.562274556553253,4,0.8,4,0.8,0.0,1.0,3,0.6
A_COMPLEMENT_NB,1,activities,textual,complement_log_weight,3.8676620746905384,3.5849093030521,5.937604740756739,3.8676620746905384,0.0,7.4605313085108875,3,0.6,3,0.6,0.0,1.0,3,0.6
A_COMPLEMENT_NB,1,know adhd,textual,complement_log_weight,3.6974823900847382,3.3921582662139578,5.8809836327362035,3.6974823900847382,0.0,6.7136072533890045,3,0.6,3,0.6,0.0,1.0,3,0.6
A_COMPLEMENT_NB,1,treatment,textual,complement_log_weight,3.6583572179149106,3.3491609664457935,5.868472140478633,3.6583572179149106,0.0,6.509208972972275,3,0.6,3,0.6,0.0,1.0,3,0.6
A_COMPLEMENT_NB,1,thinking,textual,complement_log_weight,3.6460657604641256,3.33734343474408,5.862390958708266,3.6460657604641256,0.0,6.4753891076101535,3,0.6,3,0.6,0.0,1.0,3,0.6
A_COMPLEMENT_NB,1,adult,textual,complement_log_weight,3.6390620221095666,3.3306529632821285,5.867314496219646,3.6390620221095666,0.0,6.457034767362147,3,0.6,3,0.6,0.0,1.0,3,0.6
A_COMPLEMENT_NB,1,impact,textual,complement_log_weight,3.538698394179709,3.2303837647682734,5.891032793109532,3.538698394179709,0.0,5.910173983342323,3,0.6,3,0.6,0.0,1.0,3,0.6
A_COMPLEMENT_NB,1,therapy,textual,complement_log_weight,3.5330515117054047,3.225222813192925,5.883671190912276,3.5330515117054047,0.0,5.8951720664073335,3,0.6,3,0.6,0.0,1.0,3,0.6
A_COMPLEMENT_NB,1,condition,textual,complement_log_weight,5.997781960687179,0.3152858808900266,5.863194787038268,5.997781960687179,5.8428555669269695,6.561391347582713,5,1.0,5,1.0,0.0,1.0,2,0.4
A_COMPLEMENT_NB,1,studies,textual,complement_log_weight,5.968774251637621,0.2343542669541767,5.880796119830168,5.968774251637621,5.843613839809004,6.386713571349546,5,1.0,5,1.0,0.0,1.0,2,0.4
A_COMPLEMENT_NB,1,easily,textual,complement_log_weight,5.956142139724986,0.19261151534861334,5.887295098483962,5.956142139724986,5.8427064475819535,6.297829881704422,5,1.0,5,1.0,0.0,1.0,2,0.4
A_COMPLEMENT_NB,1,medications,textual,complement_log_weight,5.942128730376477,0.2048322845916213,5.859386248277638,5.942128730376477,5.81802212926428,6.306416128580459,5,1.0,5,1.0,0.0,1.0,2,0.4
A_COMPLEMENT_NB,1,um,textual,complement_log_weight,4.809536383148476,2.699498501145308,5.869844925088166,4.809536383148476,0.0,6.430685625134031,4,0.8,4,0.8,0.0,1.0,2,0.4
A_COMPLEMENT_NB,1,seven,textual,complement_log_weight,4.755574552908286,2.662808395560172,5.866013747423377,4.755574552908286,0.0,6.207232918793295,4,0.8,4,0.8,0.0,1.0,2,0.4
A_COMPLEMENT_NB,1,seen,textual,complement_log_weight,3.6339755020999966,3.325400276321367,5.862811413910261,3.6339755020999966,0.0,6.434194866464862,3,0.6,3,0.6,0.0,1.0,2,0.4
A_COMPLEMENT_NB,1,quickly,textual,complement_log_weight,2.4755289224297576,3.397056347542887,0.0,2.4755289224297576,0.0,6.503577345850485,2,0.4,2,0.4,0.0,1.0,2,0.4
