condition,row_index,predicted_class,rank,feature,feature_group,transformed_value,model_weight,contribution,contribution_type
A_COMPLEMENT_NB,2,4,1,number,textual,0.7757955936599895,4.853708244069876,3.765485468660575,input_times_complement_log_weight
A_COMPLEMENT_NB,2,4,2,seven,textual,0.3992829316524525,6.016898050233427,2.402444692951128,input_times_complement_log_weight
A_COMPLEMENT_NB,2,4,3,10,textual,0.21923153091291728,5.7720584068360425,1.26541720104944,input_times_complement_log_weight
A_COMPLEMENT_NB,2,4,4,later,textual,0.12857128440114068,6.235793640676065,0.8017439976421868,input_times_complement_log_weight
A_COMPLEMENT_NB,2,4,5,people,textual,0.17493758637580378,4.480171586792683,0.7837504039429669,input_times_complement_log_weight
A_COMPLEMENT_NB,2,4,6,bad,textual,0.12458169259211835,5.9534140117258145,0.7416863942824354,input_times_complement_log_weight
A_COMPLEMENT_NB,2,4,7,physical,textual,0.12458169259211835,5.8832551571152365,0.7329458854247253,input_times_complement_log_weight
A_COMPLEMENT_NB,2,4,8,minutes,textual,0.12458169259211835,5.871064263375358,0.7314271232484005,input_times_complement_log_weight
A_COMPLEMENT_NB,2,4,9,new,textual,0.11882680775847242,6.113766217987238,0.7264793230650125,input_times_complement_log_weight
A_COMPLEMENT_NB,2,4,10,ways,textual,0.11990221175054218,6.03528443745336,0.7236439525942846,input_times_complement_log_weight
A_COMPLEMENT_NB,9,2,1,hyper,textual,0.3302710271118304,6.300273404259569,2.080797768310156,input_times_complement_log_weight
A_COMPLEMENT_NB,9,2,2,people adhd,textual,0.4071471903624951,5.048607110410448,2.055526200247729,input_times_complement_log_weight
A_COMPLEMENT_NB,9,2,3,thinking,textual,0.3117450298477509,6.261106511159728,1.9518688362014367,input_times_complement_log_weight
A_COMPLEMENT_NB,9,2,4,calm,textual,0.31513418518897607,6.113025581868417,1.92642333578147,input_times_complement_log_weight
A_COMPLEMENT_NB,9,2,5,fast,textual,0.30535551050412,6.047970533097491,1.8467811296478593,input_times_complement_log_weight
A_COMPLEMENT_NB,9,2,6,people,textual,0.28585342882352016,4.414783649411577,1.2619810436983128,input_times_complement_log_weight
A_COMPLEMENT_NB,9,2,7,brain,textual,0.23644502406719317,4.449902371151648,1.0521572732436113,input_times_complement_log_weight
A_COMPLEMENT_NB,9,2,8,adhd,textual,0.25744658047511493,3.7052034547850012,0.9538919593989806,input_times_complement_log_weight
A_COMPLEMENT_NB,9,2,9,stimulants,textual,0.15756709259448803,5.918237088426093,0.9325194113081674,input_times_complement_log_weight
A_COMPLEMENT_NB,9,2,10,distracted,textual,0.14971139444210083,5.924520817305951,0.8869682729601288,input_times_complement_log_weight
A_COMPLEMENT_NB,16,4,1,medication,textual,0.38000672622670206,5.023251946464316,1.9088695271878136,input_times_complement_log_weight
A_COMPLEMENT_NB,16,4,2,diagnosed,textual,0.31875961320983554,5.455639805477677,1.7390376342062468,input_times_complement_log_weight
A_COMPLEMENT_NB,16,4,3,don,textual,0.2800018439171092,4.948937218078035,1.3857115464918583,input_times_complement_log_weight
A_COMPLEMENT_NB,16,4,4,going,textual,0.27003171045010416,5.074882796969387,1.3703792819994522,input_times_complement_log_weight
A_COMPLEMENT_NB,16,4,5,want,textual,0.24835963748005827,5.334977670096285,1.3249931201093192,input_times_complement_log_weight
A_COMPLEMENT_NB,16,4,6,don know,textual,0.18378195176426015,6.3234186747745555,1.1621302258726391,input_times_complement_log_weight
A_COMPLEMENT_NB,16,4,7,sure,textual,0.18378195176426015,5.769434783567483,1.060317985100644,input_times_complement_log_weight
A_COMPLEMENT_NB,16,4,8,didn,textual,0.16803789553640786,6.241221364311151,1.0487617036357142,input_times_complement_log_weight
A_COMPLEMENT_NB,16,4,9,did,textual,0.17375478336955452,6.003148368079648,1.043075744230974,input_times_complement_log_weight
A_COMPLEMENT_NB,16,4,10,taking,textual,0.17687881772895697,5.8248776366834045,1.0302974697924017,input_times_complement_log_weight
A_COMPLEMENT_NB,27,1,1,um,textual,0.7601351463982129,6.404710453584793,4.868445518273841,input_times_complement_log_weight
A_COMPLEMENT_NB,27,1,2,know,textual,0.2653683120845385,4.802540793757121,1.2744421441564668,input_times_complement_log_weight
A_COMPLEMENT_NB,27,1,3,kind,textual,0.20584647161705327,5.49137041859789,1.1303792250106366,input_times_complement_log_weight
A_COMPLEMENT_NB,27,1,4,does,textual,0.1879494579501023,5.465573909651123,1.02725165370515,input_times_complement_log_weight
A_COMPLEMENT_NB,27,1,5,right,textual,0.18227796325662676,5.159687864702551,0.9404973950179146,input_times_complement_log_weight
A_COMPLEMENT_NB,27,1,6,somebody,textual,0.13894140703235677,6.171568632703129,0.857486429424531,input_times_complement_log_weight
A_COMPLEMENT_NB,27,1,7,doctor,textual,0.13088586211341238,6.105473700021613,0.7991201888380945,input_times_complement_log_weight
A_COMPLEMENT_NB,27,1,8,stuff,textual,0.13088586211341238,6.10443985167706,0.7989848727062232,input_times_complement_log_weight
A_COMPLEMENT_NB,27,1,9,don know,textual,0.12682444851054833,6.194033313268102,0.7855548590111915,input_times_complement_log_weight
A_COMPLEMENT_NB,27,1,10,sure,textual,0.12682444851054833,6.094012138069128,0.7728697286272047,input_times_complement_log_weight
A_COMPLEMENT_NB,34,1,1,people,textual,0.40993581689593617,4.407217420403789,1.8066762734712278,input_times_complement_log_weight
A_COMPLEMENT_NB,34,1,2,diagnosed,textual,0.3038076070746488,5.666302364846677,1.7214657624254928,input_times_complement_log_weight
A_COMPLEMENT_NB,34,1,3,adhders,textual,0.2064400660951078,6.171235132656997,1.2739901886741616,input_times_complement_log_weight
A_COMPLEMENT_NB,34,1,4,strategies,textual,0.19719349839202505,6.34665365965343,1.2515188382296085,input_times_complement_log_weight
A_COMPLEMENT_NB,34,1,5,relationships,textual,0.19719349839202505,6.247037941755821,1.2318752663225458,input_times_complement_log_weight
A_COMPLEMENT_NB,34,1,6,consequences,textual,0.19719349839202505,6.027710236077884,1.1886252687456171,input_times_complement_log_weight
A_COMPLEMENT_NB,34,1,7,symptoms,textual,0.2191657528925952,5.2794046360158,1.1570646918770604,input_times_complement_log_weight
A_COMPLEMENT_NB,34,1,8,away,textual,0.1788265461776692,6.00035592937608,1.0730229266870226,input_times_complement_log_weight
A_COMPLEMENT_NB,34,1,9,end,textual,0.17175812942133256,6.16448514792199,1.0588004378526676,input_times_complement_log_weight
A_COMPLEMENT_NB,34,1,10,times,textual,0.16858199134861196,6.174699153799803,1.0409430793261598,input_times_complement_log_weight
