condition,class_label,feature,feature_group,weight_type,mean_weight_missing_as_zero,sample_std_weight_missing_as_zero,median_weight_missing_as_zero,mean_absolute_weight_missing_as_zero,minimum_weight,maximum_weight,fold_presence_count,fold_presence_fraction,nonzero_fold_count,positive_fold_fraction,negative_fold_fraction,sign_consistency_nonzero,top_k_fold_count,top_k_fold_fraction
A_DECISION_TREE,all,symptoms,textual,gini_importance,0.23290104394301103,0.1847588774883399,0.24507149866571815,0.23290104394301103,0.0,0.4616443861554732,5,1.0,4,0.8,0.0,1.0,4,0.8
A_DECISION_TREE,all,adhd,textual,gini_importance,0.07135897582796533,0.07099910632279684,0.09388363710343546,0.07135897582796533,0.0,0.16498703643937518,5,1.0,3,0.6,0.0,1.0,3,0.6
A_DECISION_TREE,all,dopamine,textual,gini_importance,0.06141582722729313,0.0824421179546441,0.020961056138694895,0.06141582722729313,0.0,0.1914077043868419,5,1.0,3,0.6,0.0,1.0,3,0.6
A_DECISION_TREE,all,trouble,textual,gini_importance,0.06074825107918582,0.08617371325419347,0.02562444849463753,0.06074825107918582,0.0,0.20548239749204383,5,1.0,3,0.6,0.0,1.0,3,0.6
A_DECISION_TREE,all,thing,textual,gini_importance,0.06925656488511138,0.10799473697407305,0.0,0.06925656488511138,0.0,0.24620958075679822,5,1.0,2,0.4,0.0,1.0,2,0.4
A_DECISION_TREE,all,hyperactivity,textual,gini_importance,0.05903688528222626,0.08430732943860153,0.0,0.05903688528222626,0.0,0.18143559889298594,5,1.0,2,0.4,0.0,1.0,2,0.4
A_DECISION_TREE,all,thoughts,textual,gini_importance,0.03633963175970996,0.05443212667325893,0.0,0.03633963175970996,0.0,0.12205131796848591,4,0.8,2,0.4,0.0,1.0,2,0.4
A_DECISION_TREE,all,away,textual,gini_importance,0.025476178668935572,0.03862823422528905,0.0,0.025476178668935572,0.0,0.08715099143017342,4,0.8,2,0.4,0.0,1.0,2,0.4
A_DECISION_TREE,all,important,textual,gini_importance,0.01970872023058195,0.02804849643512442,0.0,0.01970872023058195,0.0,0.06007967295332957,5,1.0,2,0.4,0.0,1.0,2,0.4
A_DECISION_TREE,all,way,textual,gini_importance,0.013717927352710272,0.022161405706756503,0.0,0.013717927352710272,0.0,0.05092536452721336,5,1.0,2,0.4,0.0,1.0,2,0.4
A_DECISION_TREE,all,just,textual,gini_importance,0.012858400120059534,0.01835584421738284,0.0,0.012858400120059534,0.0,0.0394845854967213,5,1.0,2,0.4,0.0,1.0,2,0.4
A_DECISION_TREE,all,talk,textual,gini_importance,0.039616554556879104,0.07773154586010333,0.0,0.039616554556879104,0.0,0.1777742811218438,5,1.0,2,0.4,0.0,1.0,1,0.2
A_DECISION_TREE,all,sit,textual,gini_importance,0.03416199799201013,0.07638854975734598,0.0,0.03416199799201013,0.0,0.17080998996005067,5,1.0,1,0.2,0.0,1.0,1,0.2
