condition,fold,class_label,feature_index,feature,feature_group,weight_type,weight,absolute_weight,direction,absolute_rank,positive_rank,negative_rank,ranking_view
A_DECISION_TREE,final_training_fit,all,253,symptoms,textual,gini_importance,0.1428724537876862,0.1428724537876862,positive,1,1,,strongest_weight
A_DECISION_TREE,final_training_fit,all,154,like,textual,gini_importance,0.08076147252899898,0.08076147252899898,positive,2,2,,strongest_weight
A_DECISION_TREE,final_training_fit,all,9,adhd,textual,gini_importance,0.05647383400377073,0.05647383400377073,positive,3,3,,strongest_weight
A_DECISION_TREE,final_training_fit,all,17,adults,textual,gini_importance,0.05156288125053181,0.05156288125053181,positive,4,4,,strongest_weight
A_DECISION_TREE,final_training_fit,all,27,away,textual,gini_importance,0.05141407850125559,0.05141407850125559,positive,5,5,,strongest_weight
A_DECISION_TREE,final_training_fit,all,263,thing,textual,gini_importance,0.05117875131113589,0.05117875131113589,positive,6,6,,strongest_weight
A_DECISION_TREE,final_training_fit,all,78,dopamine,textual,gini_importance,0.0503578429186782,0.0503578429186782,positive,7,7,,strongest_weight
A_DECISION_TREE,final_training_fit,all,288,way,textual,gini_importance,0.04788216655072922,0.04788216655072922,positive,8,8,,strongest_weight
A_DECISION_TREE,final_training_fit,all,175,means,textual,gini_importance,0.0470852188527774,0.0470852188527774,positive,9,9,,strongest_weight
A_DECISION_TREE,final_training_fit,all,256,talking,textual,gini_importance,0.04453349818753684,0.04453349818753684,positive,10,10,,strongest_weight
A_DECISION_TREE,final_training_fit,all,200,person,textual,gini_importance,0.03552132559789259,0.03552132559789259,positive,11,11,,strongest_weight
A_DECISION_TREE,final_training_fit,all,264,things,textual,gini_importance,0.035455702374594784,0.035455702374594784,positive,12,12,,strongest_weight
A_DECISION_TREE,final_training_fit,all,220,say,textual,gini_importance,0.03408594306599349,0.03408594306599349,positive,13,13,,strongest_weight
A_DECISION_TREE,final_training_fit,all,139,issues,textual,gini_importance,0.033747894925352,0.033747894925352,positive,14,14,,strongest_weight
A_DECISION_TREE,final_training_fit,all,284,ve,textual,gini_importance,0.03230777046643403,0.03230777046643403,positive,15,15,,strongest_weight
A_DECISION_TREE,final_training_fit,all,67,different,textual,gini_importance,0.03143179643043047,0.03143179643043047,positive,16,16,,strongest_weight
A_DECISION_TREE,final_training_fit,all,7,actually,textual,gini_importance,0.030235358851285123,0.030235358851285123,positive,17,17,,strongest_weight
A_DECISION_TREE,final_training_fit,all,95,feel,textual,gini_importance,0.029409881479824908,0.029409881479824908,positive,18,18,,strongest_weight
A_DECISION_TREE,final_training_fit,all,110,going,textual,gini_importance,0.028499560279307504,0.028499560279307504,positive,19,19,,strongest_weight
A_DECISION_TREE,final_training_fit,all,144,know,textual,gini_importance,0.026593079167646905,0.026593079167646905,positive,20,20,,strongest_weight
