condition,class_label,feature,feature_group,weight_type,mean_weight_missing_as_zero,sample_std_weight_missing_as_zero,median_weight_missing_as_zero,mean_absolute_weight_missing_as_zero,minimum_weight,maximum_weight,fold_presence_count,fold_presence_fraction,nonzero_fold_count,positive_fold_fraction,negative_fold_fraction,sign_consistency_nonzero,top_k_fold_count,top_k_fold_fraction
A_LOGISTIC_REGRESSION,1,symptoms,textual,coefficient,1.8277747618074969,2.1468811609619958,0.3329754030457094,1.8277747618074969,0.2184839285484027,4.628373644966476,5,1.0,5,1.0,0.0,1.0,5,1.0
A_LOGISTIC_REGRESSION,1,dopamine,textual,coefficient,-1.1637075855618537,1.4135015462902396,-0.15265504864600676,1.1637075855618537,-3.069030329533081,-0.14729700333034548,5,1.0,5,0.0,1.0,1.0,5,1.0
A_LOGISTIC_REGRESSION,1,tasks,textual,coefficient,1.0344027640136955,1.1683246111335541,0.19495861807070805,1.0344027640136955,0.17078303723290272,2.439838505453371,5,1.0,5,1.0,0.0,1.0,5,1.0
A_LOGISTIC_REGRESSION,1,music,textual,coefficient,1.1960452567299282,1.4589375982004018,0.1736295447920927,1.1960452567299282,0.1023360930814798,2.916913190658729,5,1.0,5,1.0,0.0,1.0,4,0.8
A_LOGISTIC_REGRESSION,1,stimulant,textual,coefficient,0.941665490863891,1.1063200285905785,0.14482796046786714,0.941665490863891,0.13306822475979127,2.3030119792678265,5,1.0,5,1.0,0.0,1.0,4,0.8
A_LOGISTIC_REGRESSION,1,good,textual,coefficient,-0.9406445632817768,1.1504598860169868,-0.1310017694203758,0.9406445632817768,-2.499372103750967,-0.09603436010060629,5,1.0,5,0.0,1.0,1.0,4,0.8
A_LOGISTIC_REGRESSION,1,need,textual,coefficient,-0.8592690065150632,1.0292392660922904,-0.15954877395858041,0.8592690065150632,-2.3292529552033487,-0.10429023855962252,5,1.0,5,0.0,1.0,1.0,4,0.8
A_LOGISTIC_REGRESSION,1,having,textual,coefficient,0.8425420046493782,1.0850008138850307,0.1346703921759753,0.8425420046493782,0.09589056102894684,2.538218695901987,5,1.0,5,1.0,0.0,1.0,4,0.8
A_LOGISTIC_REGRESSION,1,trouble,textual,coefficient,0.8211666674890171,1.0199598340901999,0.1570405350884541,0.8211666674890171,0.13635258119655397,2.4510324860239363,5,1.0,5,1.0,0.0,1.0,4,0.8
A_LOGISTIC_REGRESSION,1,brain,textual,coefficient,-0.6584260336142881,0.7724111094892138,-0.1910527898051472,0.6584260336142881,-1.9454360702489686,-0.15162528302406467,5,1.0,5,0.0,1.0,1.0,4,0.8
A_LOGISTIC_REGRESSION,1,diet,textual,coefficient,-0.9928255767794134,1.2801707604128834,-0.10901535413850441,0.9928255767794134,-2.651295908296486,0.0,4,0.8,4,0.0,0.8,1.0,3,0.6
A_LOGISTIC_REGRESSION,1,actually,textual,coefficient,-0.9405201361239868,1.2525139066977726,-0.12768881065325413,0.9405201361239868,-2.927826639265721,-0.09499802038653275,5,1.0,5,0.0,1.0,1.0,3,0.6
A_LOGISTIC_REGRESSION,1,higher,textual,coefficient,0.874150353889964,1.0602848020299414,0.11467416789384859,0.874150353889964,0.08728488345668864,2.0420257201144687,5,1.0,5,1.0,0.0,1.0,3,0.6
A_LOGISTIC_REGRESSION,1,impulsivity,textual,coefficient,0.6835799298414302,0.8682450418341836,0.1372597271320406,0.6835799298414302,0.09942615089338355,2.088557154630358,5,1.0,5,1.0,0.0,1.0,3,0.6
A_LOGISTIC_REGRESSION,1,test,textual,coefficient,-0.9748297774042957,1.2505232177539591,-0.089658858656893,0.9748297774042957,-2.5752985810029383,-0.05767836607481203,5,1.0,5,0.0,1.0,1.0,2,0.4
A_LOGISTIC_REGRESSION,1,doing,textual,coefficient,0.9569056434574652,1.2882765284517521,0.04158632953821003,0.9569056434574652,0.012937969276683989,2.6687788774764427,5,1.0,5,1.0,0.0,1.0,2,0.4
