condition,row_index,predicted_class,rank,feature,feature_group,transformed_value,model_weight,contribution,contribution_type
A_LOGISTIC_REGRESSION,2,4,1,number,textual,0.7757955936599895,0.11533220028112566,0.08947421278520869,input_times_coefficient
A_LOGISTIC_REGRESSION,2,4,2,seven,textual,0.3992829316524525,-0.04186417259626012,-0.016715649565439004,input_times_coefficient
A_LOGISTIC_REGRESSION,2,4,3,10,textual,0.21923153091291728,0.0585314885970924,0.012831947851752528,input_times_coefficient
A_LOGISTIC_REGRESSION,2,4,4,life,textual,0.0861372203620998,0.12184712805626467,0.010495572919871462,input_times_coefficient
A_LOGISTIC_REGRESSION,2,4,5,new,textual,0.11882680775847242,0.08213552832855979,0.009759902634838339,input_times_coefficient
A_LOGISTIC_REGRESSION,2,4,6,brain,textual,0.06431131427680073,0.14057075747279374,0.009040290161960772,input_times_coefficient
A_LOGISTIC_REGRESSION,2,4,7,later,textual,0.12857128440114068,0.06139561949935946,0.007893713655636365,input_times_coefficient
A_LOGISTIC_REGRESSION,2,4,8,time,textual,0.06932172121744767,-0.10076258347938225,-0.0069850357211075345,input_times_coefficient
A_LOGISTIC_REGRESSION,2,4,9,people,textual,0.17493758637580378,0.039787416816047395,0.0069603146659274,input_times_coefficient
A_LOGISTIC_REGRESSION,2,4,10,problems,textual,0.1148372159494501,-0.04860655214905832,-0.005581841125699618,input_times_coefficient
A_LOGISTIC_REGRESSION,9,2,1,fast,textual,0.30535551050412,0.1379413317703481,0.042121145782352834,input_times_coefficient
A_LOGISTIC_REGRESSION,9,2,2,hyper,textual,0.3302710271118304,0.09317847248063595,0.030774149810891056,input_times_coefficient
A_LOGISTIC_REGRESSION,9,2,3,adhd,textual,0.25744658047511493,0.09889411168381043,0.025459950882121107,input_times_coefficient
A_LOGISTIC_REGRESSION,9,2,4,people adhd,textual,0.4071471903624951,-0.042355711869493835,-0.017245009083467797,input_times_coefficient
A_LOGISTIC_REGRESSION,9,2,5,stimulants,textual,0.15756709259448803,0.09305386068992745,0.014662226283604389,input_times_coefficient
A_LOGISTIC_REGRESSION,9,2,6,thinking,textual,0.3117450298477509,0.045858327419747484,0.014296105650237112,input_times_coefficient
A_LOGISTIC_REGRESSION,9,2,7,brain,textual,0.23644502406719317,0.04435684447526686,0.010487955159499218,input_times_coefficient
A_LOGISTIC_REGRESSION,9,2,8,kind,textual,0.12390425340755418,0.08453354730811251,0.010474066067103842,input_times_coefficient
A_LOGISTIC_REGRESSION,9,2,9,emotional,textual,0.12547090682155126,-0.08247815920046384,-0.010348609427854469,input_times_coefficient
A_LOGISTIC_REGRESSION,9,2,10,hyperactive,textual,0.14310839811940676,0.05621416692721419,0.008044719380570556,input_times_coefficient
A_LOGISTIC_REGRESSION,16,4,1,going,textual,0.27003171045010416,0.1490202891246164,0.04024020356408922,input_times_coefficient
A_LOGISTIC_REGRESSION,16,4,2,medication,textual,0.38000672622670206,-0.10549757082827999,-0.0400897865153243,input_times_coefficient
A_LOGISTIC_REGRESSION,16,4,3,don,textual,0.2800018439171092,0.11676662240590073,0.03269486958162504,input_times_coefficient
A_LOGISTIC_REGRESSION,16,4,4,ve,textual,0.18297458598165128,0.12773908364015402,0.023373005942732707,input_times_coefficient
A_LOGISTIC_REGRESSION,16,4,5,actually,textual,0.15962034439262757,0.12421540643786157,0.01982730595448167,input_times_coefficient
A_LOGISTIC_REGRESSION,16,4,6,diagnosed,textual,0.31875961320983554,-0.05514166447971244,-0.017576935641299665,input_times_coefficient
A_LOGISTIC_REGRESSION,16,4,7,want,textual,0.24835963748005827,0.06479443385305214,0.016092322102469643,input_times_coefficient
A_LOGISTIC_REGRESSION,16,4,8,life,textual,0.12706896292960132,0.12184712805626467,0.01548298819805988,input_times_coefficient
A_LOGISTIC_REGRESSION,16,4,9,know,textual,0.1922732836769539,0.07609436785687308,0.01463091397716304,input_times_coefficient
A_LOGISTIC_REGRESSION,16,4,10,just,textual,0.12409792997728193,0.10819025646445732,0.013426186870950398,input_times_coefficient
A_LOGISTIC_REGRESSION,27,1,1,um,textual,0.7601351463982129,0.0812098702723438,0.06173047662844793,input_times_coefficient
A_LOGISTIC_REGRESSION,27,1,2,right,textual,0.18227796325662676,-0.08396116705939803,-0.015304270524236456,input_times_coefficient
A_LOGISTIC_REGRESSION,27,1,3,ve,textual,0.08417820043734967,-0.11779267794919117,-0.009915575654459193,input_times_coefficient
A_LOGISTIC_REGRESSION,27,1,4,kind,textual,0.20584647161705327,-0.03924099018301467,-0.008077619371932996,input_times_coefficient
A_LOGISTIC_REGRESSION,27,1,5,going,textual,0.07453751019495794,-0.10776034097229426,-0.008032187513834527,input_times_coefficient
A_LOGISTIC_REGRESSION,27,1,6,don,textual,0.06440799199962537,-0.10658628821785157,-0.006865008798805148,input_times_coefficient
A_LOGISTIC_REGRESSION,27,1,7,look,textual,0.09447088373698549,0.05887010510199957,0.0055615108546751175,input_times_coefficient
A_LOGISTIC_REGRESSION,27,1,8,say,textual,0.09653013200493973,-0.05292216436642941,-0.0051085835122785484,input_times_coefficient
A_LOGISTIC_REGRESSION,27,1,9,like,textual,0.1527533582549588,-0.03308965352545817,-0.0050545556995067725,input_times_coefficient
A_LOGISTIC_REGRESSION,27,1,10,adhd,textual,0.10692625306083157,0.04407842188192304,0.004713140492668599,input_times_coefficient
A_LOGISTIC_REGRESSION,34,1,1,symptoms,textual,0.2191657528925952,0.37907969163433036,0.08308128602333084,input_times_coefficient
A_LOGISTIC_REGRESSION,34,1,2,people,textual,0.40993581689593617,-0.08713908733381523,-0.03572143294975387,input_times_coefficient
A_LOGISTIC_REGRESSION,34,1,3,good,textual,0.1355712584506235,-0.13379967674023707,-0.01813939055596056,input_times_coefficient
