condition,row_index,predicted_class,rank,feature,feature_group,transformed_value,model_weight,contribution,contribution_type
A_RIDGE,2,4,1,number,textual,0.7757955936599895,0.17587528665222094,0.13644327241848056,input_times_coefficient
A_RIDGE,2,4,2,seven,textual,0.3992829316524525,-0.07421075907014689,-0.02963108944168208,input_times_coefficient
A_RIDGE,2,4,3,10,textual,0.21923153091291728,0.09801726571131837,0.02148847521779052,input_times_coefficient
A_RIDGE,2,4,4,life,textual,0.0861372203620998,0.19952387451078465,0.017186431946235405,input_times_coefficient
A_RIDGE,2,4,5,new,textual,0.11882680775847242,0.1291846043666381,0.01535059414842882,input_times_coefficient
A_RIDGE,2,4,6,later,textual,0.12857128440114068,0.10150898950194122,0.01305114115852649,input_times_coefficient
A_RIDGE,2,4,7,time,textual,0.06932172121744767,-0.1810332906883828,-0.012549539308177239,input_times_coefficient
A_RIDGE,2,4,8,brain,textual,0.06431131427680073,0.17640833011930335,0.011345051559348129,input_times_coefficient
A_RIDGE,2,4,9,right,textual,0.08952728535959607,0.07769910087887542,0.006956189576567122,input_times_coefficient
A_RIDGE,2,4,10,know,textual,0.06516888870416733,0.10420487624824631,0.006790915982653494,input_times_coefficient
A_RIDGE,9,2,1,fast,textual,0.30535551050412,0.24356768735449824,0.07437473551444071,input_times_coefficient
A_RIDGE,9,2,2,hyper,textual,0.3302710271118304,0.15710829354143235,0.05188831747571581,input_times_coefficient
A_RIDGE,9,2,3,adhd,textual,0.25744658047511493,0.13835206022772822,0.03561826480731578,input_times_coefficient
A_RIDGE,9,2,4,stimulants,textual,0.15756709259448803,0.16157203163765466,0.025458435269729882,input_times_coefficient
A_RIDGE,9,2,5,thinking,textual,0.3117450298477509,0.07845708748025007,0.02445860707829816,input_times_coefficient
A_RIDGE,9,2,6,people adhd,textual,0.4071471903624951,-0.05070530969573056,-0.02064452437907688,input_times_coefficient
A_RIDGE,9,2,7,kind,textual,0.12390425340755418,0.16261864386356326,0.020149141658063748,input_times_coefficient
A_RIDGE,9,2,8,emotional,textual,0.12547090682155126,-0.1455673841669965,-0.018264471695074173,input_times_coefficient
A_RIDGE,9,2,9,brain,textual,0.23644502406719317,0.06221434202122323,0.014710271596532714,input_times_coefficient
A_RIDGE,9,2,10,hyperactive,textual,0.14310839811940676,0.08548800314111318,0.012234051187951522,input_times_coefficient
A_RIDGE,16,4,1,medication,textual,0.38000672622670206,-0.16574164651472145,-0.06298294049148258,input_times_coefficient
A_RIDGE,16,4,2,going,textual,0.27003171045010416,0.20283915299507158,0.05477300342950955,input_times_coefficient
A_RIDGE,16,4,3,don,textual,0.2800018439171092,0.163828507786232,0.04587228426633344,input_times_coefficient
A_RIDGE,16,4,4,ve,textual,0.18297458598165128,0.18566089718100456,0.033971225794676235,input_times_coefficient
A_RIDGE,16,4,5,actually,textual,0.15962034439262757,0.18786694013393368,0.02998738568416764,input_times_coefficient
A_RIDGE,16,4,6,diagnosed,textual,0.31875961320983554,-0.08516894384487807,-0.027148419597483535,input_times_coefficient
A_RIDGE,16,4,7,life,textual,0.12706896292960132,0.19952387451078465,0.02535329181378132,input_times_coefficient
A_RIDGE,16,4,8,sure,textual,0.18378195176426015,-0.1195373537364272,-0.021968808178415365,input_times_coefficient
A_RIDGE,16,4,9,want,textual,0.24835963748005827,0.08786559988341965,0.021822268534013953,input_times_coefficient
A_RIDGE,16,4,10,know,textual,0.1922732836769539,0.10420487624824631,0.02003581373140094,input_times_coefficient
A_RIDGE,27,1,1,um,textual,0.7601351463982129,0.14081157073104977,0.10703582393220883,input_times_coefficient
A_RIDGE,27,1,2,right,textual,0.18227796325662676,-0.12261554314751419,-0.022350111468533926,input_times_coefficient
