condition,fold,class_label,feature_index,feature,feature_group,weight_type,weight,absolute_weight,direction,absolute_rank,positive_rank,negative_rank,ranking_view
A_RIDGE,final_training_fit,1,253,symptoms,textual,coefficient,0.5483187981045711,0.5483187981045711,positive,1,1,,largest_positive
A_RIDGE,final_training_fit,1,258,tasks,textual,coefficient,0.32492489820635745,0.32492489820635745,positive,2,2,,largest_positive
A_RIDGE,final_training_fit,1,185,music,textual,coefficient,0.295715561314246,0.295715561314246,positive,3,3,,largest_positive
A_RIDGE,final_training_fit,1,240,stimulant,textual,coefficient,0.270236564637946,0.270236564637946,positive,6,4,,largest_positive
A_RIDGE,final_training_fit,1,273,trouble,textual,coefficient,0.2497517234520093,0.2497517234520093,positive,7,5,,largest_positive
A_RIDGE,final_training_fit,1,118,having,textual,coefficient,0.21048794570591897,0.21048794570591897,positive,12,6,,largest_positive
A_RIDGE,final_training_fit,1,133,impulsivity,textual,coefficient,0.21022733603364088,0.21022733603364088,positive,13,7,,largest_positive
A_RIDGE,final_training_fit,1,49,common,textual,coefficient,0.20947748612212166,0.20947748612212166,positive,14,8,,largest_positive
A_RIDGE,final_training_fit,1,176,medication,textual,coefficient,0.19091951100250004,0.19091951100250004,positive,16,9,,largest_positive
A_RIDGE,final_training_fit,1,125,higher,textual,coefficient,0.186752198927394,0.186752198927394,positive,17,10,,largest_positive
A_RIDGE,final_training_fit,1,207,problems,textual,coefficient,0.17599178551908326,0.17599178551908326,positive,21,11,,largest_positive
A_RIDGE,final_training_fit,1,69,difficulty,textual,coefficient,0.1739267989428323,0.1739267989428323,positive,22,12,,largest_positive
A_RIDGE,final_training_fit,1,66,difference,textual,coefficient,0.16744275644859163,0.16744275644859163,positive,23,13,,largest_positive
A_RIDGE,final_training_fit,1,5,activities,textual,coefficient,0.1674085143351121,0.1674085143351121,positive,24,14,,largest_positive
A_RIDGE,final_training_fit,1,117,harder,textual,coefficient,0.16299431429089548,0.16299431429089548,positive,26,15,,largest_positive
A_RIDGE,final_training_fit,1,132,impulsive,textual,coefficient,0.14789853211986148,0.14789853211986148,positive,33,16,,largest_positive
A_RIDGE,final_training_fit,1,80,easily,textual,coefficient,0.1438673701265627,0.1438673701265627,positive,34,17,,largest_positive
A_RIDGE,final_training_fit,1,84,emotions,textual,coefficient,0.14306755414384922,0.14306755414384922,positive,35,18,,largest_positive
A_RIDGE,final_training_fit,1,21,anxiety,textual,coefficient,0.14283389744646838,0.14283389744646838,positive,36,19,,largest_positive
A_RIDGE,final_training_fit,1,134,inattentive,textual,coefficient,0.14256089959778187,0.14256089959778187,positive,37,20,,largest_positive
A_RIDGE,final_training_fit,1,36,brain,textual,coefficient,-0.2890899793218161,0.2890899793218161,negative,4,,1,largest_negative
A_RIDGE,final_training_fit,1,78,dopamine,textual,coefficient,-0.2844884515759926,0.2844884515759926,negative,5,,2,largest_negative
A_RIDGE,final_training_fit,1,186,need,textual,coefficient,-0.24581305380863644,0.24581305380863644,negative,8,,3,largest_negative
A_RIDGE,final_training_fit,1,7,actually,textual,coefficient,-0.2319860203364259,0.2319860203364259,negative,9,,4,largest_negative
A_RIDGE,final_training_fit,1,111,good,textual,coefficient,-0.21649921662700067,0.21649921662700067,negative,10,,5,largest_negative
A_RIDGE,final_training_fit,1,65,diet,textual,coefficient,-0.2108901457012428,0.2108901457012428,negative,11,,6,largest_negative
A_RIDGE,final_training_fit,1,288,way,textual,coefficient,-0.19985936183651312,0.19985936183651312,negative,15,,7,largest_negative
A_RIDGE,final_training_fit,1,284,ve,textual,coefficient,-0.18109093747700672,0.18109093747700672,negative,18,,8,largest_negative
A_RIDGE,final_training_fit,1,250,sugar,textual,coefficient,-0.179589773349262,0.179589773349262,negative,19,,9,largest_negative
A_RIDGE,final_training_fit,1,262,test,textual,coefficient,-0.17615871557672869,0.17615871557672869,negative,20,,10,largest_negative
A_RIDGE,final_training_fit,1,287,want,textual,coefficient,-0.16382492477341665,0.16382492477341665,negative,25,,11,largest_negative
A_RIDGE,final_training_fit,1,263,thing,textual,coefficient,-0.1620272776492199,0.1620272776492199,negative,27,,12,largest_negative
A_RIDGE,final_training_fit,1,103,foods,textual,coefficient,-0.16189592058489477,0.16189592058489477,negative,28,,13,largest_negative
A_RIDGE,final_training_fit,1,135,increase,textual,coefficient,-0.15769868835891848,0.15769868835891848,negative,29,,14,largest_negative
A_RIDGE,final_training_fit,1,24,attention deficit,textual,coefficient,-0.15484561687784776,0.15484561687784776,negative,30,,15,largest_negative
A_RIDGE,final_training_fit,1,110,going,textual,coefficient,-0.15375162690217545,0.15375162690217545,negative,31,,16,largest_negative
A_RIDGE,final_training_fit,1,76,don,textual,coefficient,-0.15316444052853564,0.15316444052853564,negative,32,,17,largest_negative
A_RIDGE,final_training_fit,1,295,worse,textual,coefficient,-0.1417659732850983,0.1417659732850983,negative,38,,18,largest_negative
A_RIDGE,final_training_fit,1,232,sit,textual,coefficient,-0.13978430893745905,0.13978430893745905,negative,44,,19,largest_negative
A_RIDGE,final_training_fit,1,34,bit,textual,coefficient,-0.13925485797050666,0.13925485797050666,negative,45,,20,largest_negative
A_RIDGE,final_training_fit,2,130,hyperactivity,textual,coefficient,0.3650679056158483,0.3650679056158483,positive,1,1,,largest_positive
A_RIDGE,final_training_fit,2,65,diet,textual,coefficient,0.32363744628266977,0.32363744628266977,positive,2,2,,largest_positive
A_RIDGE,final_training_fit,2,135,increase,textual,coefficient,0.29530288442205127,0.29530288442205127,positive,3,3,,largest_positive
A_RIDGE,final_training_fit,2,288,way,textual,coefficient,0.25044310671679165,0.25044310671679165,positive,4,4,,largest_positive
A_RIDGE,final_training_fit,2,94,fast,textual,coefficient,0.24356768735449824,0.24356768735449824,positive,6,5,,largest_positive
A_RIDGE,final_training_fit,2,215,rejection,textual,coefficient,0.23947059351090005,0.23947059351090005,positive,7,6,,largest_positive
A_RIDGE,final_training_fit,2,103,foods,textual,coefficient,0.23672554092918383,0.23672554092918383,positive,8,7,,largest_positive
A_RIDGE,final_training_fit,2,25,autism,textual,coefficient,0.21210599036141825,0.21210599036141825,positive,9,8,,largest_positive
A_RIDGE,final_training_fit,2,269,thoughts,textual,coefficient,0.20998252979112197,0.20998252979112197,positive,10,9,,largest_positive
A_RIDGE,final_training_fit,2,255,talk,textual,coefficient,0.20786964253809792,0.20786964253809792,positive,11,10,,largest_positive
A_RIDGE,final_training_fit,2,23,attention,textual,coefficient,0.2014580988595291,0.2014580988595291,positive,13,11,,largest_positive
A_RIDGE,final_training_fit,2,196,patients,textual,coefficient,0.20099971924025417,0.20099971924025417,positive,14,12,,largest_positive
A_RIDGE,final_training_fit,2,184,motivation,textual,coefficient,0.1977123216897106,0.1977123216897106,positive,15,13,,largest_positive
A_RIDGE,final_training_fit,2,111,good,textual,coefficient,0.1974228716269038,0.1974228716269038,positive,16,14,,largest_positive
A_RIDGE,final_training_fit,2,283,usually,textual,coefficient,0.1933911749107833,0.1933911749107833,positive,17,15,,largest_positive
A_RIDGE,final_training_fit,2,42,care,textual,coefficient,0.17703985129552058,0.17703985129552058,positive,18,16,,largest_positive
A_RIDGE,final_training_fit,2,124,high,textual,coefficient,0.16967253206317043,0.16967253206317043,positive,19,17,,largest_positive
A_RIDGE,final_training_fit,2,277,uh,textual,coefficient,0.1688462416957582,0.1688462416957582,positive,20,18,,largest_positive
A_RIDGE,final_training_fit,2,232,sit,textual,coefficient,0.16824844793735344,0.16824844793735344,positive,21,19,,largest_positive
A_RIDGE,final_training_fit,2,262,test,textual,coefficient,0.16733035807511326,0.16733035807511326,positive,22,20,,largest_positive
A_RIDGE,final_training_fit,2,153,life,textual,coefficient,-0.24971221299674967,0.24971221299674967,negative,5,,1,largest_negative
A_RIDGE,final_training_fit,2,211,really,textual,coefficient,-0.2058851316171127,0.2058851316171127,negative,12,,2,largest_negative
A_RIDGE,final_training_fit,2,206,problem,textual,coefficient,-0.16225848470255483,0.16225848470255483,negative,24,,3,largest_negative
A_RIDGE,final_training_fit,2,137,instead,textual,coefficient,-0.16117187562031887,0.16117187562031887,negative,26,,4,largest_negative
A_RIDGE,final_training_fit,2,263,thing,textual,coefficient,-0.15482452795409077,0.15482452795409077,negative,30,,5,largest_negative
A_RIDGE,final_training_fit,2,244,stress,textual,coefficient,-0.15173091080490533,0.15173091080490533,negative,31,,6,largest_negative
A_RIDGE,final_training_fit,2,31,best,textual,coefficient,-0.15159393225388335,0.15159393225388335,negative,32,,7,largest_negative
A_RIDGE,final_training_fit,2,189,neurotypical,textual,coefficient,-0.15040267468728546,0.15040267468728546,negative,33,,8,largest_negative
A_RIDGE,final_training_fit,2,166,love,textual,coefficient,-0.14916096336863433,0.14916096336863433,negative,34,,9,largest_negative
A_RIDGE,final_training_fit,2,266,think,textual,coefficient,-0.14724760617832444,0.14724760617832444,negative,36,,10,largest_negative
A_RIDGE,final_training_fit,2,258,tasks,textual,coefficient,-0.1469283431407207,0.1469283431407207,negative,37,,11,largest_negative
A_RIDGE,final_training_fit,2,21,anxiety,textual,coefficient,-0.14610589489163908,0.14610589489163908,negative,38,,12,largest_negative
A_RIDGE,final_training_fit,2,83,emotional,textual,coefficient,-0.1455673841669965,0.1455673841669965,negative,39,,13,largest_negative
A_RIDGE,final_training_fit,2,11,adhd brains,textual,coefficient,-0.1420924378146287,0.1420924378146287,negative,42,,14,largest_negative
A_RIDGE,final_training_fit,2,117,harder,textual,coefficient,-0.1338857038053196,0.1338857038053196,negative,53,,15,largest_negative
A_RIDGE,final_training_fit,2,122,helpful,textual,coefficient,-0.13374822688251392,0.13374822688251392,negative,54,,16,largest_negative
A_RIDGE,final_training_fit,2,169,make,textual,coefficient,-0.13340595482340026,0.13340595482340026,negative,55,,17,largest_negative
A_RIDGE,final_training_fit,2,63,did,textual,coefficient,-0.133109661755603,0.133109661755603,negative,56,,18,largest_negative
A_RIDGE,final_training_fit,2,273,trouble,textual,coefficient,-0.13291727514530843,0.13291727514530843,negative,57,,19,largest_negative
A_RIDGE,final_training_fit,2,164,lot,textual,coefficient,-0.1313436243345784,0.1313436243345784,negative,60,,20,largest_negative
A_RIDGE,final_training_fit,3,211,really,textual,coefficient,0.25205997245444783,0.25205997245444783,positive,2,1,,largest_positive
A_RIDGE,final_training_fit,3,114,gut,textual,coefficient,0.2451097503547143,0.2451097503547143,positive,3,2,,largest_positive
A_RIDGE,final_training_fit,3,78,dopamine,textual,coefficient,0.2447708376457177,0.2447708376457177,positive,4,3,,largest_positive
A_RIDGE,final_training_fit,3,131,important,textual,coefficient,0.22452190763758426,0.22452190763758426,positive,5,4,,largest_positive
A_RIDGE,final_training_fit,3,263,thing,textual,coefficient,0.21912395640709922,0.21912395640709922,positive,7,5,,largest_positive
A_RIDGE,final_training_fit,3,122,helpful,textual,coefficient,0.19037245122476049,0.19037245122476049,positive,8,6,,largest_positive
A_RIDGE,final_training_fit,3,254,taking,textual,coefficient,0.1830559087672732,0.1830559087672732,positive,9,7,,largest_positive
A_RIDGE,final_training_fit,3,20,anger,textual,coefficient,0.16737058130384877,0.16737058130384877,positive,10,8,,largest_positive
A_RIDGE,final_training_fit,3,19,alcohol,textual,coefficient,0.16483920154792886,0.16483920154792886,positive,11,9,,largest_positive
A_RIDGE,final_training_fit,3,270,time,textual,coefficient,0.16152837149225732,0.16152837149225732,positive,13,10,,largest_positive
A_RIDGE,final_training_fit,3,233,sleep,textual,coefficient,0.15725575944840472,0.15725575944840472,positive,14,11,,largest_positive
A_RIDGE,final_training_fit,3,208,protein,textual,coefficient,0.15211875425025695,0.15211875425025695,positive,16,12,,largest_positive
A_RIDGE,final_training_fit,3,56,cortex,textual,coefficient,0.14984189264663347,0.14984189264663347,positive,17,13,,largest_positive
A_RIDGE,final_training_fit,3,164,lot,textual,coefficient,0.14595104296897335,0.14595104296897335,positive,18,14,,largest_positive
A_RIDGE,final_training_fit,3,102,food,textual,coefficient,0.1426306313826039,0.1426306313826039,positive,19,15,,largest_positive
A_RIDGE,final_training_fit,3,204,point,textual,coefficient,0.14094815282354542,0.14094815282354542,positive,20,16,,largest_positive
