condition,fold,class_label,feature_index,feature,feature_group,weight_type,weight,absolute_weight,direction,absolute_rank,positive_rank,negative_rank,ranking_view
B_COMPLEMENT_NB,final_training_fit,1,5,activities,textual,complement_log_weight,7.354879062868553,7.354879062868553,positive,1,1,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,1,185,music,textual,complement_log_weight,6.895204395752561,6.895204395752561,positive,2,2,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,1,273,trouble,textual,complement_log_weight,6.83782789033867,6.83782789033867,positive,3,3,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,1,134,inattentive,textual,complement_log_weight,6.705118071412245,6.705118071412245,positive,4,4,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,1,278,um,textual,complement_log_weight,6.699961727524221,6.699961727524221,positive,5,5,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,1,267,thinking,textual,complement_log_weight,6.681771279557462,6.681771279557462,positive,6,6,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,1,209,quickly,textual,complement_log_weight,6.6692557743152205,6.6692557743152205,positive,7,7,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,1,272,treatment,textual,complement_log_weight,6.6635585475724834,6.6635585475724834,positive,8,8,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,1,12,adhd medication,textual,complement_log_weight,6.662161840073849,6.662161840073849,positive,9,9,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,1,29,based,textual,complement_log_weight,6.634499735096091,6.634499735096091,positive,10,10,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,1,243,strategies,textual,complement_log_weight,6.615892993602502,6.615892993602502,positive,11,11,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,1,132,impulsive,textual,complement_log_weight,6.593787341667965,6.593787341667965,positive,12,12,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,1,149,learning,textual,complement_log_weight,6.590852700426192,6.590852700426192,positive,13,13,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,1,163,looking,textual,complement_log_weight,6.572094482994886,6.572094482994886,positive,14,14,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,1,16,adult,textual,complement_log_weight,6.56911059405275,6.56911059405275,positive,15,15,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,1,18,affect,textual,complement_log_weight,6.548625217836168,6.548625217836168,positive,16,16,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,1,178,meds,textual,complement_log_weight,6.548101399560471,6.548101399560471,positive,17,17,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,1,80,easily,textual,complement_log_weight,6.529160729050661,6.529160729050661,positive,18,18,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,1,51,condition,textual,complement_log_weight,6.524509541005197,6.524509541005197,positive,19,19,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,1,247,studies,textual,complement_log_weight,6.516027477530565,6.516027477530565,positive,20,20,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,2,269,thoughts,textual,complement_log_weight,6.737284863504192,6.737284863504192,positive,1,1,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,2,158,little bit,textual,complement_log_weight,6.722146685181263,6.722146685181263,positive,2,2,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,2,149,learning,textual,complement_log_weight,6.621826110766651,6.621826110766651,positive,3,3,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,2,277,uh,textual,complement_log_weight,6.606294665328554,6.606294665328554,positive,4,4,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,2,172,manage,textual,complement_log_weight,6.60264099208469,6.60264099208469,positive,5,5,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,2,136,information,textual,complement_log_weight,6.562530038560767,6.562530038560767,positive,6,6,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,2,128,hyper,textual,complement_log_weight,6.532765427615716,6.532765427615716,positive,7,7,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,2,77,don know,textual,complement_log_weight,6.528952160424689,6.528952160424689,positive,8,8,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,2,215,rejection,textual,complement_log_weight,6.510306871692573,6.510306871692573,positive,9,9,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,2,43,certain,textual,complement_log_weight,6.508386003865516,6.508386003865516,positive,10,10,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,2,103,foods,textual,complement_log_weight,6.505576045582612,6.505576045582612,positive,11,11,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,2,29,based,textual,complement_log_weight,6.490759475583308,6.490759475583308,positive,12,12,,strongest_weight
B_COMPLEMENT_NB,final_training_fit,2,231,single,textual,complement_log_weight,6.484136516137975,6.484136516137975,positive,13,13,,strongest_weight
