condition,row_index,predicted_class,node_id,depth,is_leaf,feature,feature_group,transformed_value,operator,threshold
B_DECISION_TREE,2,1,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
B_DECISION_TREE,2,1,1,1,False,talking,textual,0.0,<=,0.022087890654802322
B_DECISION_TREE,2,1,2,2,False,way,textual,0.0,<=,0.07509763911366463
B_DECISION_TREE,2,1,3,3,False,away,textual,0.0,<=,0.05768333934247494
B_DECISION_TREE,2,1,4,4,False,dopamine,textual,0.0,<=,0.07126924395561218
B_DECISION_TREE,2,1,5,5,False,adults,textual,0.0,<=,0.034870099276304245
B_DECISION_TREE,2,1,6,6,False,thing,textual,0.0,<=,0.0608743317425251
B_DECISION_TREE,2,1,7,7,True,,,,leaf,
B_DECISION_TREE,9,1,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
B_DECISION_TREE,9,1,1,1,False,talking,textual,0.0,<=,0.022087890654802322
B_DECISION_TREE,9,1,2,2,False,way,textual,0.0,<=,0.07509763911366463
B_DECISION_TREE,9,1,3,3,False,away,textual,0.0,<=,0.05768333934247494
B_DECISION_TREE,9,1,4,4,False,dopamine,textual,0.0,<=,0.07126924395561218
B_DECISION_TREE,9,1,5,5,False,adults,textual,0.0,<=,0.034870099276304245
B_DECISION_TREE,9,1,6,6,False,thing,textual,0.0,<=,0.0608743317425251
B_DECISION_TREE,9,1,7,7,True,,,,leaf,
B_DECISION_TREE,16,1,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
B_DECISION_TREE,16,1,1,1,False,talking,textual,0.0,<=,0.022087890654802322
B_DECISION_TREE,16,1,2,2,False,way,textual,0.05993941053748131,<=,0.07509763911366463
B_DECISION_TREE,16,1,3,3,False,away,textual,0.0,<=,0.05768333934247494
B_DECISION_TREE,16,1,4,4,False,dopamine,textual,0.0,<=,0.07126924395561218
B_DECISION_TREE,16,1,5,5,False,adults,textual,0.0,<=,0.034870099276304245
B_DECISION_TREE,16,1,6,6,False,thing,textual,0.06072431430220604,<=,0.0608743317425251
B_DECISION_TREE,16,1,7,7,True,,,,leaf,
B_DECISION_TREE,27,1,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
B_DECISION_TREE,27,1,1,1,False,talking,textual,0.0,<=,0.022087890654802322
B_DECISION_TREE,27,1,2,2,False,way,textual,0.0,<=,0.07509763911366463
B_DECISION_TREE,27,1,3,3,False,away,textual,0.0,<=,0.05768333934247494
B_DECISION_TREE,27,1,4,4,False,dopamine,textual,0.0,<=,0.07126924395561218
B_DECISION_TREE,27,1,5,5,False,adults,textual,0.0,<=,0.034870099276304245
B_DECISION_TREE,27,1,6,6,False,thing,textual,0.0,<=,0.0608743317425251
B_DECISION_TREE,27,1,7,7,True,,,,leaf,
B_DECISION_TREE,34,1,0,0,False,symptoms,textual,0.21916575729846954,>,0.0940028764307499
B_DECISION_TREE,34,1,26,1,False,symptoms,textual,0.21916575729846954,>,0.16354601830244064
B_DECISION_TREE,34,1,32,2,False,symptoms,textual,0.21916575729846954,>,0.19326011836528778
B_DECISION_TREE,34,1,34,3,False,adhd,textual,0.24613213539123535,>,0.14157240837812424
