condition,class_label,feature,feature_group,weight_type,mean_weight_missing_as_zero,sample_std_weight_missing_as_zero,median_weight_missing_as_zero,mean_absolute_weight_missing_as_zero,minimum_weight,maximum_weight,fold_presence_count,fold_presence_fraction,nonzero_fold_count,positive_fold_fraction,negative_fold_fraction,sign_consistency_nonzero,top_k_fold_count,top_k_fold_fraction
B_LOGISTIC_REGRESSION,1,symptoms,textual,coefficient,1.7776520540172818,0.9191436767603776,1.522867210713511,1.7776520540172818,1.0931080832145172,3.356058224416152,5,1.0,5,1.0,0.0,1.0,5,1.0
B_LOGISTIC_REGRESSION,1,music,textual,coefficient,1.235477923799998,0.7837012081752002,0.8913126934681415,1.235477923799998,0.7922494978819167,2.6250710050196533,5,1.0,5,1.0,0.0,1.0,5,1.0
B_LOGISTIC_REGRESSION,1,dopamine,textual,coefficient,-1.215982749657901,1.0497527907634903,-0.7929923116092996,1.215982749657901,-3.091442279034576,-0.6645880752936373,5,1.0,5,0.0,1.0,1.0,5,1.0
B_LOGISTIC_REGRESSION,1,tasks,textual,coefficient,1.1550068841966763,0.5504032487483601,0.8774683992166201,1.1550068841966763,0.8413457864738191,2.128787329704606,5,1.0,5,1.0,0.0,1.0,5,1.0
B_LOGISTIC_REGRESSION,1,stimulant,textual,coefficient,1.0827319160844964,0.7033008167001553,0.7779930453096109,1.0827319160844964,0.6538047462341662,2.329590316461747,5,1.0,5,1.0,0.0,1.0,5,1.0
B_LOGISTIC_REGRESSION,1,need,textual,coefficient,-1.0262821077241733,0.628093334567642,-0.8941330718931246,1.0262821077241733,-2.1110955462711223,-0.5445583509614584,5,1.0,5,0.0,1.0,1.0,4,0.8
B_LOGISTIC_REGRESSION,1,having,textual,coefficient,0.9822936483753983,0.33435810393468957,0.8206028644810656,0.9822936483753983,0.739501782568033,1.5503339183918134,5,1.0,5,1.0,0.0,1.0,4,0.8
B_LOGISTIC_REGRESSION,1,higher,textual,coefficient,0.9584459923134931,0.5279458616066919,0.7366565747125697,0.9584459923134931,0.6052155141804272,1.8924236273745008,5,1.0,5,1.0,0.0,1.0,4,0.8
B_LOGISTIC_REGRESSION,1,good,textual,coefficient,-0.908492491164481,0.5232345673710239,-0.6975812946740845,0.908492491164481,-1.8361988689262676,-0.5789311384749036,5,1.0,5,0.0,1.0,1.0,4,0.8
B_LOGISTIC_REGRESSION,1,diet,textual,coefficient,-0.8766381848589753,0.928239409323548,-0.6040963715823997,0.8766381848589753,-2.4551764110244596,0.0,4,0.8,4,0.0,0.8,1.0,4,0.8
B_LOGISTIC_REGRESSION,1,trouble,textual,coefficient,0.824087603019749,0.2694976400546505,0.7373428130621271,0.824087603019749,0.6644150058521212,1.3017856044094602,5,1.0,5,1.0,0.0,1.0,4,0.8
B_LOGISTIC_REGRESSION,1,actually,textual,coefficient,-1.0093643964283843,0.9499258802855108,-0.6242517107775288,1.0093643964283843,-2.7044961469624123,-0.48178900000926994,5,1.0,5,0.0,1.0,1.0,3,0.6
B_LOGISTIC_REGRESSION,1,test,textual,coefficient,-0.9449948073415098,0.7515852269499282,-0.7112475246348572,0.9449948073415098,-2.275470560298897,-0.4599517475679997,5,1.0,5,0.0,1.0,1.0,3,0.6
B_LOGISTIC_REGRESSION,1,impulsivity,textual,coefficient,0.9027087146256841,0.6928747117154735,0.6811980819133309,0.9027087146256841,0.4490890237016287,2.109751979536875,5,1.0,5,1.0,0.0,1.0,3,0.6
B_LOGISTIC_REGRESSION,1,way,textual,coefficient,-0.7872797926954455,0.35840617730640756,-0.6552743275573583,0.7872797926954455,-1.4168471782351908,-0.5182717920463563,5,1.0,5,0.0,1.0,1.0,3,0.6
B_LOGISTIC_REGRESSION,1,common,textual,coefficient,0.6647783831240887,0.11840741471850898,0.7104948360635849,0.6647783831240887,0.46939778105565844,0.7789637293489072,5,1.0,5,1.0,0.0,1.0,3,0.6
B_LOGISTIC_REGRESSION,1,problems,textual,coefficient,0.82462834763596,0.648974838450253,0.7812217901036215,0.82462834763596,0.12384887507418685,1.8746058526154548,5,1.0,5,1.0,0.0,1.0,2,0.4
B_LOGISTIC_REGRESSION,1,brain,textual,coefficient,-0.8232818991921725,0.4974805081285711,-0.6378798134731665,0.8232818991921725,-1.6997455780702446,-0.5139550671765628,5,1.0,5,0.0,1.0,1.0,2,0.4
B_LOGISTIC_REGRESSION,1,impulsive,textual,coefficient,0.8069495935559778,0.646429660820876,0.5410610288131624,0.8069495935559778,0.4045255154768865,1.9545119686114918,5,1.0,5,1.0,0.0,1.0,2,0.4
