condition,row_index,predicted_class,rank,feature,feature_group,transformed_value,model_weight,contribution,contribution_type
B_LOGISTIC_REGRESSION,2,4,1,number,textual,0.7757955936599895,0.574063368465803,0.4453558317373809,input_times_coefficient
B_LOGISTIC_REGRESSION,2,4,2,seven,textual,0.3992829316524525,-0.2314608394331577,-0.09241836253160879,input_times_coefficient
B_LOGISTIC_REGRESSION,2,4,3,10,textual,0.21923153091291728,0.3848666557845728,0.08437490614498666,input_times_coefficient
B_LOGISTIC_REGRESSION,2,4,4,hedge_score,handcrafted_linguistic,-0.47779580950737,-0.17526772064260415,0.08374218246494464,input_times_coefficient
B_LOGISTIC_REGRESSION,2,4,5,life,textual,0.0861372203620998,0.7167391583977936,0.061737918829056694,input_times_coefficient
B_LOGISTIC_REGRESSION,2,4,6,new,textual,0.11882680775847242,0.47963439419066534,0.05699342395284557,input_times_coefficient
B_LOGISTIC_REGRESSION,2,4,7,later,textual,0.12857128440114068,0.4170949942585991,0.05362643912911448,input_times_coefficient
B_LOGISTIC_REGRESSION,2,4,8,time,textual,0.06932172121744767,-0.6353303020017405,-0.04404219007636149,input_times_coefficient
B_LOGISTIC_REGRESSION,2,4,9,feel,textual,0.07956069395004614,0.43334663580807853,0.03447735906580864,input_times_coefficient
B_LOGISTIC_REGRESSION,2,4,10,brain,textual,0.06431131427680073,0.472685029020979,0.030398995455306853,input_times_coefficient
B_LOGISTIC_REGRESSION,9,2,1,fast,textual,0.30535551050412,0.9894081158189343,0.3021212203028102,input_times_coefficient
B_LOGISTIC_REGRESSION,9,2,2,hyper,textual,0.3302710271118304,0.5813457660088479,0.192001663246856,input_times_coefficient
B_LOGISTIC_REGRESSION,9,2,3,stimulants,textual,0.15756709259448803,0.746633169779875,0.11764481779682168,input_times_coefficient
B_LOGISTIC_REGRESSION,9,2,4,adhd,textual,0.25744658047511493,0.42606844394814775,0.1096898639428038,input_times_coefficient
B_LOGISTIC_REGRESSION,9,2,5,thinking,textual,0.3117450298477509,0.2847829865641944,0.08877968064658641,input_times_coefficient
B_LOGISTIC_REGRESSION,9,2,6,kind,textual,0.12390425340755418,0.714857988571252,0.08857394536634688,input_times_coefficient
B_LOGISTIC_REGRESSION,9,2,7,emotional,textual,0.12547090682155126,-0.576507573684566,-0.07233492805969477,input_times_coefficient
B_LOGISTIC_REGRESSION,9,2,8,people adhd,textual,0.4071471903624951,-0.17254556879287125,-0.07025144354351615,input_times_coefficient
B_LOGISTIC_REGRESSION,9,2,9,actually,textual,0.08840358784046974,0.5979201617929785,0.05285828754465345,input_times_coefficient
B_LOGISTIC_REGRESSION,9,2,10,calm,textual,0.31513418518897607,-0.1665928973861533,-0.052499116976056116,input_times_coefficient
B_LOGISTIC_REGRESSION,16,4,1,medication,textual,0.38000672622670206,-0.6382535850548398,-0.2425406553591456,input_times_coefficient
B_LOGISTIC_REGRESSION,16,4,2,going,textual,0.27003171045010416,0.5959522954346954,0.1609260176828966,input_times_coefficient
B_LOGISTIC_REGRESSION,16,4,3,don,textual,0.2800018439171092,0.5014203116191039,0.1403986118308406,input_times_coefficient
B_LOGISTIC_REGRESSION,16,4,4,ve,textual,0.18297458598165128,0.6175655446836439,0.1129987998550227,input_times_coefficient
B_LOGISTIC_REGRESSION,16,4,5,diagnosed,textual,0.31875961320983554,-0.33301437009710694,-0.10615153180547082,input_times_coefficient
B_LOGISTIC_REGRESSION,16,4,6,sure,textual,0.18378195176426015,-0.5484888324747665,-0.10080234815311291,input_times_coefficient
B_LOGISTIC_REGRESSION,16,4,7,certainty_score,handcrafted_linguistic,1.1621171236038208,0.08026200478012693,0.09327385012975722,input_times_coefficient
B_LOGISTIC_REGRESSION,16,4,8,actually,textual,0.15962034439262757,0.5820988890558516,0.09291482514166094,input_times_coefficient
B_LOGISTIC_REGRESSION,16,4,9,life,textual,0.12706896292960132,0.7167391583977936,0.09107530154864288,input_times_coefficient
B_LOGISTIC_REGRESSION,16,4,10,didn,textual,0.16803789553640786,0.431488999031873,0.07250650334442707,input_times_coefficient
B_LOGISTIC_REGRESSION,27,4,1,hedge_score,handcrafted_linguistic,-1.4262844324111938,-0.17526772064260415,0.24998162145674035,input_times_coefficient
B_LOGISTIC_REGRESSION,27,4,2,certainty_score,handcrafted_linguistic,2.6375744342803955,0.08026200478012693,0.2116970118521537,input_times_coefficient
B_LOGISTIC_REGRESSION,27,4,3,um,textual,0.7601351463982129,0.12373435784041405,0.09405483421151199,input_times_coefficient
B_LOGISTIC_REGRESSION,27,4,4,say,textual,0.09653013200493973,0.7248767952609925,0.06997245273386128,input_times_coefficient
B_LOGISTIC_REGRESSION,27,4,5,sure,textual,0.12682444851054833,-0.5484888324747665,-0.0695617936928068,input_times_coefficient
B_LOGISTIC_REGRESSION,27,4,6,doctor,textual,0.13088586211341238,-0.4539418890587295,-0.05941457549884281,input_times_coefficient
B_LOGISTIC_REGRESSION,27,4,7,know,textual,0.2653683120845385,0.19937081117001698,0.052906695639112655,input_times_coefficient
B_LOGISTIC_REGRESSION,27,4,8,ve,textual,0.08417820043734967,0.6175655446836439,0.05198555620358079,input_times_coefficient
B_LOGISTIC_REGRESSION,27,4,9,like,textual,0.1527533582549588,0.32897093313540837,0.05025141480470113,input_times_coefficient
B_LOGISTIC_REGRESSION,27,4,10,right,textual,0.18227796325662676,0.2522793469811439,0.04598496553943474,input_times_coefficient
B_LOGISTIC_REGRESSION,34,1,1,symptoms,textual,0.2191657528925952,1.6261414070310753,0.35639450578178977,input_times_coefficient
B_LOGISTIC_REGRESSION,34,1,2,people,textual,0.40993581689593617,-0.47733312052448645,-0.1956759426936917,input_times_coefficient
B_LOGISTIC_REGRESSION,34,1,3,hedge_score,handcrafted_linguistic,0.46504712104797363,0.2988416483533423,0.13897544821595276,input_times_coefficient
B_LOGISTIC_REGRESSION,34,1,4,good,textual,0.1355712584506235,-0.7653415320871152,-0.10375831464957846,input_times_coefficient
B_LOGISTIC_REGRESSION,34,1,5,need,textual,0.10913985538511432,-0.8843785925611266,-0.0965209516978123,input_times_coefficient
B_LOGISTIC_REGRESSION,34,1,6,times,textual,0.16858199134861196,0.42554732999275025,0.07173961630326274,input_times_coefficient
B_LOGISTIC_REGRESSION,34,1,7,strategies,textual,0.19719349839202505,0.3501785120414228,0.06905292585116203,input_times_coefficient
B_LOGISTIC_REGRESSION,34,1,8,end,textual,0.17175812942133256,0.3673036894611534,0.06308739463140173,input_times_coefficient
B_LOGISTIC_REGRESSION,34,1,9,means,textual,0.1529986660237532,-0.41221984335181266,-0.06306908614134785,input_times_coefficient
B_LOGISTIC_REGRESSION,34,1,10,diagnosis,textual,0.1656044955686674,0.3773183718963627,0.062485618646687995,input_times_coefficient
B_LOGISTIC_REGRESSION,39,4,1,need,textual,0.25097897216060505,0.5453597235505871,0.13687382287451808,input_times_coefficient
B_LOGISTIC_REGRESSION,39,4,2,ve,textual,0.17823687957318562,0.6175655446836439,0.11007295561632742,input_times_coefficient
B_LOGISTIC_REGRESSION,39,4,3,information,textual,0.42523109571958834,0.20051717297404797,0.08526613717434865,input_times_coefficient
B_LOGISTIC_REGRESSION,39,4,4,say,textual,0.10219527991782915,0.7248767952609925,0.07407898699763606,input_times_coefficient
B_LOGISTIC_REGRESSION,39,4,5,got,textual,0.21792716274256962,0.3387485376483734,0.07382250769290455,input_times_coefficient
B_LOGISTIC_REGRESSION,39,4,6,just,textual,0.1813270489066211,0.38943556376668814,0.07061520151709982,input_times_coefficient
B_LOGISTIC_REGRESSION,39,4,7,doctor,textual,0.1385672746752494,-0.4539418890587295,-0.06290149042780256,input_times_coefficient
B_LOGISTIC_REGRESSION,39,4,8,like,textual,0.16171812760449875,0.32897093313540837,0.053200563342963,input_times_coefficient
B_LOGISTIC_REGRESSION,39,4,9,certainty_score,handcrafted_linguistic,0.6199724078178406,0.08026200478012693,0.04976022835982232,input_times_coefficient
B_LOGISTIC_REGRESSION,39,4,10,thing,textual,0.17745599842588608,0.267045831037589,0.04738888457224583,input_times_coefficient
B_LOGISTIC_REGRESSION,42,4,1,start,textual,0.6397396772224702,-0.3756653886794527,-0.24032805449744687,input_times_coefficient
