condition,fold,class_label,feature_index,feature,feature_group,weight_type,weight,absolute_weight,direction,absolute_rank,positive_rank,negative_rank,ranking_view
B_LOGISTIC_REGRESSION,final_training_fit,1,253,symptoms,textual,coefficient,1.6261414070310753,1.6261414070310753,positive,1,1,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,185,music,textual,coefficient,1.0785963489655574,1.0785963489655574,positive,2,2,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,258,tasks,textual,coefficient,0.9921673162600609,0.9921673162600609,positive,3,3,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,240,stimulant,textual,coefficient,0.9481162429522231,0.9481162429522231,positive,4,4,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,118,having,textual,coefficient,0.9146610517275268,0.9146610517275268,positive,6,5,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,125,higher,textual,coefficient,0.824376196914298,0.824376196914298,positive,8,6,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,273,trouble,textual,coefficient,0.7660948899254275,0.7660948899254275,positive,12,7,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,133,impulsivity,textual,coefficient,0.7473075328380291,0.7473075328380291,positive,14,8,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,49,common,textual,coefficient,0.7125792517549938,0.7125792517549938,positive,17,9,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,207,problems,textual,coefficient,0.7002437617725734,0.7002437617725734,positive,18,10,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,176,medication,textual,coefficient,0.6235612310002479,0.6235612310002479,positive,21,11,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,132,impulsive,textual,coefficient,0.6070430679381698,0.6070430679381698,positive,22,12,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,137,instead,textual,coefficient,0.5834519018974332,0.5834519018974332,positive,24,13,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,80,easily,textual,coefficient,0.5832440620668463,0.5832440620668463,positive,25,14,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,66,difference,textual,coefficient,0.5657901222925725,0.5657901222925725,positive,27,15,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,21,anxiety,textual,coefficient,0.5438798013934449,0.5438798013934449,positive,31,16,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,134,inattentive,textual,coefficient,0.5388661923801745,0.5388661923801745,positive,32,17,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,210,real,textual,coefficient,0.5358086060554124,0.5358086060554124,positive,34,18,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,251,support,textual,coefficient,0.5250341776994538,0.5250341776994538,positive,38,19,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,117,harder,textual,coefficient,0.5223730485237317,0.5223730485237317,positive,39,20,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,1,78,dopamine,textual,coefficient,-0.9393066053156633,0.9393066053156633,negative,5,,1,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,1,186,need,textual,coefficient,-0.8843785925611266,0.8843785925611266,negative,7,,2,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,1,7,actually,textual,coefficient,-0.7979485028459484,0.7979485028459484,negative,9,,3,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,1,65,diet,textual,coefficient,-0.7967745428604531,0.7967745428604531,negative,10,,4,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,1,262,test,textual,coefficient,-0.7773440564415824,0.7773440564415824,negative,11,,5,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,1,111,good,textual,coefficient,-0.7653415320871152,0.7653415320871152,negative,13,,6,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,1,288,way,textual,coefficient,-0.7207432805007228,0.7207432805007228,negative,15,,7,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,1,36,brain,textual,coefficient,-0.7176786465266236,0.7176786465266236,negative,16,,8,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,1,215,rejection,textual,coefficient,-0.6464456135163354,0.6464456135163354,negative,19,,9,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,1,284,ve,textual,coefficient,-0.6252385582951557,0.6252385582951557,negative,20,,10,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,1,295,worse,textual,coefficient,-0.5937373726191322,0.5937373726191322,negative,23,,11,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,1,250,sugar,textual,coefficient,-0.5746670684433033,0.5746670684433033,negative,26,,12,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,1,34,bit,textual,coefficient,-0.5579689926860568,0.5579689926860568,negative,28,,13,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,1,276,type,textual,coefficient,-0.5578777540666338,0.5578777540666338,negative,29,,14,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,1,24,attention deficit,textual,coefficient,-0.5525785194446927,0.5525785194446927,negative,30,,15,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,1,263,thing,textual,coefficient,-0.536082446046412,0.536082446046412,negative,33,,16,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,1,232,sit,textual,coefficient,-0.5357657327726429,0.5357657327726429,negative,35,,17,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,1,270,time,textual,coefficient,-0.5321925190014377,0.5321925190014377,negative,36,,18,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,1,135,increase,textual,coefficient,-0.5291549198882609,0.5291549198882609,negative,37,,19,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,1,184,motivation,textual,coefficient,-0.5157719492531038,0.5157719492531038,negative,40,,20,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,2,65,diet,textual,coefficient,1.2636844644106362,1.2636844644106362,positive,1,1,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,2,130,hyperactivity,textual,coefficient,1.0963372184088702,1.0963372184088702,positive,2,2,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,2,94,fast,textual,coefficient,0.9894081158189343,0.9894081158189343,positive,3,3,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,2,288,way,textual,coefficient,0.9592130170837342,0.9592130170837342,positive,4,4,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,2,135,increase,textual,coefficient,0.9589720268249192,0.9589720268249192,positive,5,5,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,2,215,rejection,textual,coefficient,0.8622842143563858,0.8622842143563858,positive,7,6,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,2,103,foods,textual,coefficient,0.8428571815702155,0.8428571815702155,positive,8,7,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,2,196,patients,textual,coefficient,0.7893992957813177,0.7893992957813177,positive,9,8,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,2,184,motivation,textual,coefficient,0.7842341526655836,0.7842341526655836,positive,10,9,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,2,269,thoughts,textual,coefficient,0.7809306440686692,0.7809306440686692,positive,11,10,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,2,283,usually,textual,coefficient,0.7787054380237323,0.7787054380237323,positive,12,11,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,2,241,stimulants,textual,coefficient,0.746633169779875,0.746633169779875,positive,13,12,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,2,111,good,textual,coefficient,0.7420771753967357,0.7420771753967357,positive,14,13,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,2,262,test,textual,coefficient,0.7391404769629455,0.7391404769629455,positive,15,14,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,2,25,autism,textual,coefficient,0.7313986246039293,0.7313986246039293,positive,17,15,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,2,23,attention,textual,coefficient,0.7215281547703426,0.7215281547703426,positive,18,16,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,2,143,kind,textual,coefficient,0.714857988571252,0.714857988571252,positive,19,17,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,2,255,talk,textual,coefficient,0.7133644337868601,0.7133644337868601,positive,20,18,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,2,124,high,textual,coefficient,0.7000121445686471,0.7000121445686471,positive,21,19,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,2,232,sit,textual,coefficient,0.6943527786087782,0.6943527786087782,positive,22,20,,largest_positive
B_LOGISTIC_REGRESSION,final_training_fit,2,153,life,textual,coefficient,-0.9016886320002676,0.9016886320002676,negative,6,,1,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,2,137,instead,textual,coefficient,-0.7389884812920957,0.7389884812920957,negative,16,,2,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,2,206,problem,textual,coefficient,-0.6354414055891752,0.6354414055891752,negative,25,,3,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,2,31,best,textual,coefficient,-0.6244263031533108,0.6244263031533108,negative,26,,4,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,2,244,stress,textual,coefficient,-0.5953583531727323,0.5953583531727323,negative,30,,5,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,2,263,thing,textual,coefficient,-0.5799829186220767,0.5799829186220767,negative,33,,6,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,2,83,emotional,textual,coefficient,-0.576507573684566,0.576507573684566,negative,34,,7,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,2,211,really,textual,coefficient,-0.572508388187959,0.572508388187959,negative,35,,8,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,2,166,love,textual,coefficient,-0.5717891306208113,0.5717891306208113,negative,36,,9,largest_negative
B_LOGISTIC_REGRESSION,final_training_fit,2,189,neurotypical,textual,coefficient,-0.5681509869946767,0.5681509869946767,negative,37,,10,largest_negative
