condition,row_index,predicted_class,rank,feature,feature_group,transformed_value,model_weight,contribution,contribution_type
B_RIDGE,2,4,1,number,textual,0.7757955936599895,0.15405522983848047,0.11951536848897008,input_times_coefficient
B_RIDGE,2,4,2,hedge_score,handcrafted_linguistic,-0.47779580950737,-0.07629877471186601,0.03645523482787647,input_times_coefficient
B_RIDGE,2,4,3,seven,textual,0.3992829316524525,-0.06395317938056685,-0.025535412951567908,input_times_coefficient
B_RIDGE,2,4,4,10,textual,0.21923153091291728,0.09555824281021699,0.020949379862632143,input_times_coefficient
B_RIDGE,2,4,5,life,textual,0.0861372203620998,0.1943156418381951,0.01673780926081947,input_times_coefficient
B_RIDGE,2,4,6,new,textual,0.11882680775847242,0.13137231861901671,0.015610553249326685,input_times_coefficient
B_RIDGE,2,4,7,later,textual,0.12857128440114068,0.10656875274865724,0.013701681417922452,input_times_coefficient
B_RIDGE,2,4,8,certainty_score,handcrafted_linguistic,0.3160836100578308,0.03624958785557978,0.011457900592500158,input_times_coefficient
B_RIDGE,2,4,9,time,textual,0.06932172121744767,-0.16158428752209703,-0.01120130093272672,input_times_coefficient
B_RIDGE,2,4,10,brain,textual,0.06431131427680073,0.16082038256742034,0.010342570165408696,input_times_coefficient
B_RIDGE,9,2,1,fast,textual,0.30535551050412,0.23959473457190286,0.07316157248930254,input_times_coefficient
B_RIDGE,9,2,2,hyper,textual,0.3302710271118304,0.15318546620786141,0.05059272126307497,input_times_coefficient
B_RIDGE,9,2,3,adhd,textual,0.25744658047511493,0.1395858155185241,0.03593589088807426,input_times_coefficient
B_RIDGE,9,2,4,stimulants,textual,0.15756709259448803,0.18117661151042552,0.028547471921818803,input_times_coefficient
B_RIDGE,9,2,5,kind,textual,0.12390425340755418,0.16917732727203066,0.020961790429126412,input_times_coefficient
B_RIDGE,9,2,6,thinking,textual,0.3117450298477509,0.06722099398622092,0.020955810776629922,input_times_coefficient
B_RIDGE,9,2,7,people adhd,textual,0.4071471903624951,-0.05009453429910349,-0.020395848892397626,input_times_coefficient
B_RIDGE,9,2,8,emotional,textual,0.12547090682155126,-0.14855662409692053,-0.018639534339788932,input_times_coefficient
B_RIDGE,9,2,9,actually,textual,0.08840358784046974,0.15881438717746438,0.014039761627173344,input_times_coefficient
B_RIDGE,9,2,10,brain,textual,0.23644502406719317,0.05737696267730427,0.013566497321137653,input_times_coefficient
B_RIDGE,16,4,1,medication,textual,0.38000672622670206,-0.1715748174738891,-0.06519958469119656,input_times_coefficient
B_RIDGE,16,4,2,going,textual,0.27003171045010416,0.19469997666093045,0.052575167722346404,input_times_coefficient
B_RIDGE,16,4,3,certainty_score,handcrafted_linguistic,1.1621171236038208,0.03624958785557978,0.04212626677055037,input_times_coefficient
B_RIDGE,16,4,4,don,textual,0.2800018439171092,0.14855727123658594,0.04159630987353819,input_times_coefficient
B_RIDGE,16,4,5,ve,textual,0.18297458598165128,0.17920539733834345,0.032790033383660704,input_times_coefficient
B_RIDGE,16,4,6,diagnosed,textual,0.31875961320983554,-0.0922214831544076,-0.029396484299936333,input_times_coefficient
B_RIDGE,16,4,7,hedge_score,handcrafted_linguistic,-0.36207109689712524,-0.07629877471186601,0.02762558105183197,input_times_coefficient
B_RIDGE,16,4,8,actually,textual,0.15962034439262757,0.16255988296875992,0.02594786450389869,input_times_coefficient
B_RIDGE,16,4,9,sure,textual,0.18378195176426015,-0.13702399747567115,-0.0251825376946199,input_times_coefficient
B_RIDGE,16,4,10,life,textual,0.12706896292960132,0.1943156418381951,0.0246914870893793,input_times_coefficient
B_RIDGE,27,4,1,hedge_score,handcrafted_linguistic,-1.4262844324111938,-0.07629877471186601,0.10882375458358336,input_times_coefficient
B_RIDGE,27,4,2,certainty_score,handcrafted_linguistic,2.6375744342803955,0.03624958785557978,0.09561098618107833,input_times_coefficient
B_RIDGE,27,4,3,like,textual,0.1527533582549588,0.14316807467419887,0.021869404201380595,input_times_coefficient
B_RIDGE,27,4,4,say,textual,0.09653013200493973,0.20935576899582028,0.020209140017162203,input_times_coefficient
B_RIDGE,27,4,5,know,textual,0.2653683120845385,0.07049497285194628,0.01870713195616635,input_times_coefficient
B_RIDGE,27,4,6,sure,textual,0.12682444851054833,-0.13702399747567115,-0.01737799291256276,input_times_coefficient
B_RIDGE,27,4,7,ve,textual,0.08417820043734967,0.17920539733834345,0.015085187856601963,input_times_coefficient
B_RIDGE,27,4,8,doctor,textual,0.13088586211341238,-0.11463909576836785,-0.015004636881544872,input_times_coefficient
B_RIDGE,27,4,9,going,textual,0.07453751019495794,0.19469997666093045,0.014512451495322177,input_times_coefficient
B_RIDGE,27,4,10,adhd,textual,0.10692625306083157,-0.11154640547661465,-0.011927239180018628,input_times_coefficient
B_RIDGE,34,1,1,symptoms,textual,0.2191657528925952,0.5258272466092688,0.11524332439456074,input_times_coefficient
B_RIDGE,34,1,2,hedge_score,handcrafted_linguistic,0.46504712104797363,0.13178969945587696,0.061288420315733276,input_times_coefficient
B_RIDGE,34,1,3,people,textual,0.40993581689593617,-0.14761886551625245,-0.06051426022465629,input_times_coefficient
