condition,fold,class_label,feature_index,feature,feature_group,weight_type,weight,absolute_weight,direction,absolute_rank,positive_rank,negative_rank,ranking_view
B_RIDGE,final_training_fit,1,253,symptoms,textual,coefficient,0.5258272466092688,0.5258272466092688,positive,1,1,,largest_positive
B_RIDGE,final_training_fit,1,258,tasks,textual,coefficient,0.29866213476208725,0.29866213476208725,positive,2,2,,largest_positive
B_RIDGE,final_training_fit,1,185,music,textual,coefficient,0.28623718771983214,0.28623718771983214,positive,3,3,,largest_positive
B_RIDGE,final_training_fit,1,240,stimulant,textual,coefficient,0.2737521621985325,0.2737521621985325,positive,4,4,,largest_positive
B_RIDGE,final_training_fit,1,273,trouble,textual,coefficient,0.2442269742639781,0.2442269742639781,positive,7,5,,largest_positive
B_RIDGE,final_training_fit,1,118,having,textual,coefficient,0.2334635655200891,0.2334635655200891,positive,9,6,,largest_positive
B_RIDGE,final_training_fit,1,133,impulsivity,textual,coefficient,0.21320104030437256,0.21320104030437256,positive,11,7,,largest_positive
B_RIDGE,final_training_fit,1,49,common,textual,coefficient,0.2090998389083102,0.2090998389083102,positive,12,8,,largest_positive
B_RIDGE,final_training_fit,1,125,higher,textual,coefficient,0.20508861223508792,0.20508861223508792,positive,13,9,,largest_positive
B_RIDGE,final_training_fit,1,176,medication,textual,coefficient,0.20345933567876387,0.20345933567876387,positive,14,10,,largest_positive
B_RIDGE,final_training_fit,1,207,problems,textual,coefficient,0.19574570123232357,0.19574570123232357,positive,18,11,,largest_positive
B_RIDGE,final_training_fit,1,21,anxiety,textual,coefficient,0.1648799493658208,0.1648799493658208,positive,22,12,,largest_positive
B_RIDGE,final_training_fit,1,132,impulsive,textual,coefficient,0.15670254582388116,0.15670254582388116,positive,23,13,,largest_positive
B_RIDGE,final_training_fit,1,80,easily,textual,coefficient,0.1566081566055401,0.1566081566055401,positive,24,14,,largest_positive
B_RIDGE,final_training_fit,1,5,activities,textual,coefficient,0.15443739402393028,0.15443739402393028,positive,25,15,,largest_positive
B_RIDGE,final_training_fit,1,266,think,textual,coefficient,0.1456438927077319,0.1456438927077319,positive,30,16,,largest_positive
B_RIDGE,final_training_fit,1,117,harder,textual,coefficient,0.14418870186175595,0.14418870186175595,positive,31,17,,largest_positive
B_RIDGE,final_training_fit,1,177,medications,textual,coefficient,0.14128871485148972,0.14128871485148972,positive,33,18,,largest_positive
B_RIDGE,final_training_fit,1,134,inattentive,textual,coefficient,0.13992449509930424,0.13992449509930424,positive,37,19,,largest_positive
B_RIDGE,final_training_fit,1,69,difficulty,textual,coefficient,0.13897225637879132,0.13897225637879132,positive,40,20,,largest_positive
B_RIDGE,final_training_fit,1,78,dopamine,textual,coefficient,-0.2658376793280479,0.2658376793280479,negative,5,,1,largest_negative
B_RIDGE,final_training_fit,1,36,brain,textual,coefficient,-0.2523019080365885,0.2523019080365885,negative,6,,2,largest_negative
B_RIDGE,final_training_fit,1,186,need,textual,coefficient,-0.24048184902192943,0.24048184902192943,negative,8,,3,largest_negative
B_RIDGE,final_training_fit,1,7,actually,textual,coefficient,-0.22322608298976993,0.22322608298976993,negative,10,,4,largest_negative
B_RIDGE,final_training_fit,1,65,diet,textual,coefficient,-0.20330722137337082,0.20330722137337082,negative,15,,5,largest_negative
B_RIDGE,final_training_fit,1,111,good,textual,coefficient,-0.19970470075171864,0.19970470075171864,negative,16,,6,largest_negative
B_RIDGE,final_training_fit,1,288,way,textual,coefficient,-0.19931184969387994,0.19931184969387994,negative,17,,7,largest_negative
B_RIDGE,final_training_fit,1,215,rejection,textual,coefficient,-0.18632416018571354,0.18632416018571354,negative,19,,8,largest_negative
