condition,class_label,feature,feature_group,weight_type,mean_weight_missing_as_zero,sample_std_weight_missing_as_zero,median_weight_missing_as_zero,mean_absolute_weight_missing_as_zero,minimum_weight,maximum_weight,fold_presence_count,fold_presence_fraction,nonzero_fold_count,positive_fold_fraction,negative_fold_fraction,sign_consistency_nonzero,top_k_fold_count,top_k_fold_fraction
C_COMPLEMENT_NB,1,music,textual,complement_log_weight,6.977579972845811,0.16545862377961684,6.894751771723916,6.977579972845811,6.825652611816837,7.185613127627475,5,1.0,5,1.0,0.0,1.0,5,1.0
C_COMPLEMENT_NB,1,trouble,textual,complement_log_weight,6.940525253317498,0.25121271676211615,6.9079852909843185,6.940525253317498,6.691109769928556,7.351258170948723,5,1.0,5,1.0,0.0,1.0,5,1.0
C_COMPLEMENT_NB,1,impulsive,textual,complement_log_weight,6.746388401904854,0.12023174726091065,6.7723607220334685,6.746388401904854,6.581616028916839,6.902637233254039,5,1.0,5,1.0,0.0,1.0,3,0.6
C_COMPLEMENT_NB,1,adhd medication,textual,complement_log_weight,5.394175683562702,3.019102391300027,6.639540008195275,5.394175683562702,0.0,6.961730315935786,4,0.8,4,0.8,0.0,1.0,3,0.6
C_COMPLEMENT_NB,1,inattentive,textual,complement_log_weight,5.3920294598869365,3.0147150990920393,6.713737112595808,5.3920294598869365,0.0,6.827409342708422,4,0.8,4,0.8,0.0,1.0,3,0.6
C_COMPLEMENT_NB,1,activities,textual,complement_log_weight,4.332064989980835,3.9593870063665255,6.976695124623219,4.332064989980835,0.0,7.51809589139734,3,0.6,3,0.6,0.0,1.0,3,0.6
C_COMPLEMENT_NB,1,impact,textual,complement_log_weight,4.202984551666721,3.8408042673038825,6.732960765532107,4.202984551666721,0.0,7.220118644193814,3,0.6,3,0.6,0.0,1.0,3,0.6
C_COMPLEMENT_NB,1,therapy,textual,complement_log_weight,4.15669708156615,3.7961544950080004,6.746654406661603,4.15669708156615,0.0,7.02710396312118,3,0.6,3,0.6,0.0,1.0,3,0.6
C_COMPLEMENT_NB,1,know adhd,textual,complement_log_weight,4.106946492154934,3.751931182240753,6.6807270289022584,4.106946492154934,0.0,7.075580884454008,3,0.6,3,0.6,0.0,1.0,3,0.6
C_COMPLEMENT_NB,1,treatment,textual,complement_log_weight,4.078715873128378,3.7245279341266455,6.64884813167763,4.078715873128378,0.0,6.904376332658734,3,0.6,3,0.6,0.0,1.0,3,0.6
C_COMPLEMENT_NB,1,thinking,textual,complement_log_weight,4.059824468098958,3.7108767554293687,6.5991582401175775,4.059824468098958,0.0,7.073478225653654,3,0.6,3,0.6,0.0,1.0,3,0.6
C_COMPLEMENT_NB,1,adult,textual,complement_log_weight,4.031099495745292,3.6819627702926456,6.614242833476822,4.031099495745292,0.0,6.920990460273589,3,0.6,3,0.6,0.0,1.0,3,0.6
