condition,fold,class_label,feature_index,feature,feature_group,weight_type,weight,absolute_weight,direction,absolute_rank,positive_rank,negative_rank,ranking_view
C_COMPLEMENT_NB,final_training_fit,1,5,activities,textual,complement_log_weight,7.68485588984349,7.68485588984349,positive,1,1,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,1,185,music,textual,complement_log_weight,7.225181222727498,7.225181222727498,positive,2,2,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,1,273,trouble,textual,complement_log_weight,7.167804717313607,7.167804717313607,positive,3,3,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,1,134,inattentive,textual,complement_log_weight,7.0350948983871815,7.0350948983871815,positive,4,4,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,1,278,um,textual,complement_log_weight,7.029938554499158,7.029938554499158,positive,5,5,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,1,267,thinking,textual,complement_log_weight,7.011748106532399,7.011748106532399,positive,6,6,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,1,209,quickly,textual,complement_log_weight,6.999232601290157,6.999232601290157,positive,7,7,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,1,272,treatment,textual,complement_log_weight,6.99353537454742,6.99353537454742,positive,8,8,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,1,12,adhd medication,textual,complement_log_weight,6.992138667048786,6.992138667048786,positive,9,9,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,1,29,based,textual,complement_log_weight,6.964476562071027,6.964476562071027,positive,10,10,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,1,243,strategies,textual,complement_log_weight,6.945869820577439,6.945869820577439,positive,11,11,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,1,132,impulsive,textual,complement_log_weight,6.923764168642902,6.923764168642902,positive,12,12,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,1,149,learning,textual,complement_log_weight,6.9208295274011284,6.9208295274011284,positive,13,13,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,1,163,looking,textual,complement_log_weight,6.9020713099698225,6.9020713099698225,positive,14,14,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,1,16,adult,textual,complement_log_weight,6.899087421027687,6.899087421027687,positive,15,15,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,1,18,affect,textual,complement_log_weight,6.878602044811104,6.878602044811104,positive,16,16,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,1,178,meds,textual,complement_log_weight,6.878078226535408,6.878078226535408,positive,17,17,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,1,80,easily,textual,complement_log_weight,6.859137556025598,6.859137556025598,positive,18,18,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,1,51,condition,textual,complement_log_weight,6.854486367980134,6.854486367980134,positive,19,19,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,1,247,studies,textual,complement_log_weight,6.8460043045055015,6.8460043045055015,positive,20,20,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,2,269,thoughts,textual,complement_log_weight,7.062162411741711,7.062162411741711,positive,1,1,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,2,158,little bit,textual,complement_log_weight,7.047024233418782,7.047024233418782,positive,2,2,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,2,149,learning,textual,complement_log_weight,6.94670365900417,6.94670365900417,positive,3,3,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,2,277,uh,textual,complement_log_weight,6.9311722135660725,6.9311722135660725,positive,4,4,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,2,172,manage,textual,complement_log_weight,6.927518540322208,6.927518540322208,positive,5,5,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,2,136,information,textual,complement_log_weight,6.887407586798285,6.887407586798285,positive,6,6,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,2,128,hyper,textual,complement_log_weight,6.857642975853234,6.857642975853234,positive,7,7,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,2,77,don know,textual,complement_log_weight,6.853829708662207,6.853829708662207,positive,8,8,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,2,215,rejection,textual,complement_log_weight,6.835184419930092,6.835184419930092,positive,9,9,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,2,43,certain,textual,complement_log_weight,6.833263552103034,6.833263552103034,positive,10,10,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,2,103,foods,textual,complement_log_weight,6.83045359382013,6.83045359382013,positive,11,11,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,2,29,based,textual,complement_log_weight,6.815637023820826,6.815637023820826,positive,12,12,,strongest_weight
C_COMPLEMENT_NB,final_training_fit,2,231,single,textual,complement_log_weight,6.809014064375494,6.809014064375494,positive,13,13,,strongest_weight
