condition,class_label,feature,feature_group,weight_type,mean_weight_missing_as_zero,sample_std_weight_missing_as_zero,median_weight_missing_as_zero,mean_absolute_weight_missing_as_zero,minimum_weight,maximum_weight,fold_presence_count,fold_presence_fraction,nonzero_fold_count,positive_fold_fraction,negative_fold_fraction,sign_consistency_nonzero,top_k_fold_count,top_k_fold_fraction
C_DECISION_TREE,all,symptoms,textual,gini_importance,0.24319126012479647,0.19127639233427704,0.1796828649641013,0.24319126012479647,0.0,0.4597293819106878,5,1.0,4,0.8,0.0,1.0,4,0.8
C_DECISION_TREE,all,adhd,textual,gini_importance,0.04793166570846752,0.05804815673984612,0.018459533763219543,0.04793166570846752,0.0,0.11955397998434643,5,1.0,3,0.6,0.0,1.0,3,0.6
C_DECISION_TREE,all,away,textual,gini_importance,0.04775876345023662,0.045994701229193344,0.06389784169066247,0.04775876345023662,0.0,0.10308947571733412,4,0.8,3,0.6,0.0,1.0,3,0.6
C_DECISION_TREE,all,thoughts,textual,gini_importance,0.05828404023845122,0.07981415098265991,0.0,0.05828404023845122,0.0,0.14702818432844933,4,0.8,2,0.4,0.0,1.0,2,0.4
C_DECISION_TREE,all,hyperactivity,textual,gini_importance,0.05281639047807746,0.0800841262601152,0.0,0.05281639047807746,0.0,0.18068296341759577,5,1.0,2,0.4,0.0,1.0,2,0.4
C_DECISION_TREE,all,sit,textual,gini_importance,0.047225784086918625,0.07440220588325691,0.0,0.047225784086918625,0.0,0.17010143188887,5,1.0,2,0.4,0.0,1.0,2,0.4
C_DECISION_TREE,all,dopamine,textual,gini_importance,0.03682451829826071,0.05290028355583242,0.0,0.03682451829826071,0.0,0.1146823190636613,5,1.0,2,0.4,0.0,1.0,2,0.4
C_DECISION_TREE,all,way,textual,gini_importance,0.03274118935044494,0.054440895834572525,0.0,0.03274118935044494,0.0,0.12552993215571626,5,1.0,2,0.4,0.0,1.0,2,0.4
C_DECISION_TREE,all,trouble,textual,gini_importance,0.0289181772911297,0.04064285602900939,0.0,0.0289181772911297,0.0,0.08524553301457995,5,1.0,2,0.4,0.0,1.0,2,0.4
C_DECISION_TREE,all,likes_within_platform_percentile,engagement_or_format,gini_importance,0.026064688812540742,0.05446035502760119,0.0,0.026064688812540742,0.0,0.1233358617208224,5,1.0,2,0.4,0.0,1.0,2,0.4
C_DECISION_TREE,all,hedge_score,handcrafted_linguistic,gini_importance,0.016442955777809586,0.022617900344928412,0.0,0.016442955777809586,0.0,0.0441484997450506,5,1.0,2,0.4,0.0,1.0,2,0.4
C_DECISION_TREE,all,think,textual,gini_importance,0.013170824912050802,0.018251955827201013,0.0,0.013170824912050802,0.0,0.03689605771935043,5,1.0,2,0.4,0.0,1.0,2,0.4
C_DECISION_TREE,all,talking,textual,gini_importance,0.02947460840491471,0.06590722800357593,0.0,0.02947460840491471,0.0,0.14737304202457355,5,1.0,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,diagnosis,textual,gini_importance,0.02701540201305063,0.06040827534066587,0.0,0.02701540201305063,0.0,0.13507701006525316,5,1.0,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,person,textual,gini_importance,0.024103665126091484,0.0538974337288316,0.0,0.024103665126091484,0.0,0.12051832563045742,5,1.0,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,really,textual,gini_importance,0.02331543238353994,0.052134891734395256,0.0,0.02331543238353994,0.0,0.1165771619176997,5,1.0,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,thing,textual,gini_importance,0.02042828699788935,0.045679038391155696,0.0,0.02042828699788935,0.0,0.10214143498944676,5,1.0,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,easily,textual,gini_importance,0.01795793500614833,0.04015516340927077,0.0,0.01795793500614833,0.0,0.08978967503074164,5,1.0,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,body,textual,gini_importance,0.0159832211047996,0.0357395688897412,0.0,0.0159832211047996,0.0,0.07991610552399799,5,1.0,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,don,textual,gini_importance,0.014980620411996142,0.03349768558634428,0.0,0.014980620411996142,0.0,0.07490310205998071,5,1.0,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,talk,textual,gini_importance,0.014750132892625925,0.032982299825067174,0.0,0.014750132892625925,0.0,0.07375066446312963,5,1.0,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,foods,textual,gini_importance,0.014554189916108115,0.03254415800985971,0.0,0.014554189916108115,0.0,0.07277094958054058,4,0.8,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,comments_within_platform_percentile,engagement_or_format,gini_importance,0.014327277392728547,0.03203676618263698,0.0,0.014327277392728547,0.0,0.07163638696364273,5,1.0,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,fast,textual,gini_importance,0.014076822822990193,0.031476732739426555,0.0,0.014076822822990193,0.0,0.07038411411495096,5,1.0,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,duration_sec_within_platform_percentile,engagement_or_format,gini_importance,0.013793579430477801,0.0308433812595912,0.0,0.013793579430477801,0.0,0.068967897152389,5,1.0,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,difficulty,textual,gini_importance,0.01241744196451968,0.027766244339324536,0.0,0.01241744196451968,0.0,0.0620872098225984,5,1.0,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,good,textual,gini_importance,0.012258782386421646,0.027411470737415896,0.0,0.012258782386421646,0.0,0.06129391193210823,5,1.0,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,important,textual,gini_importance,0.010713867226678464,0.023956935420760193,0.0,0.010713867226678464,0.0,0.05356933613339232,5,1.0,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,inattentive,textual,gini_importance,0.009448668343854393,0.02112786471370878,0.0,0.009448668343854393,0.0,0.04724334171927196,4,0.8,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,does,textual,gini_importance,0.009304432210254626,0.02080534291416796,0.0,0.009304432210254626,0.0,0.04652216105127313,5,1.0,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,certainty_score,handcrafted_linguistic,gini_importance,0.009289560824937534,0.020772089485679348,0.0,0.009289560824937534,0.0,0.046447804124687665,5,1.0,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,impulsivity,textual,gini_importance,0.009054412092908599,0.02024628093603977,0.0,0.009054412092908599,0.0,0.04527206046454299,5,1.0,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,problems,textual,gini_importance,0.009013512436041864,0.020154826523029332,0.0,0.009013512436041864,0.0,0.04506756218020932,5,1.0,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,mean,textual,gini_importance,0.00778838474474019,0.017415357724161414,0.0,0.00778838474474019,0.0,0.03894192372370095,5,1.0,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,stimulants,textual,gini_importance,0.005762199946097979,0.012884670779420704,0.0,0.005762199946097979,0.0,0.028810999730489895,5,1.0,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,different,textual,gini_importance,0.00474627978367965,0.010613004236540694,0.0,0.00474627978367965,0.0,0.023731398918398247,5,1.0,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,going,textual,gini_importance,0.002239086571554663,0.005006749781503173,0.0,0.002239086571554663,0.0,0.011195432857773314,5,1.0,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,add,textual,gini_importance,0.0011651650788204447,0.002605388321251415,0.0,0.0011651650788204447,0.0,0.005825825394102223,5,1.0,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,people,textual,gini_importance,0.0006667739569450981,0.0014909518933557573,0.0,0.0006667739569450981,0.0,0.0033338697847254905,5,1.0,1,0.2,0.0,1.0,1,0.2
C_DECISION_TREE,all,10,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,ability,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,4,0.8,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,able,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,actually,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,adhd brain,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,adhd brains,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,adhd medication,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,4,0.8,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,adhd people,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,adhd symptoms,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,adhders,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,3,0.6,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,adult,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,3,0.6,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,adults,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,affect,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,3,0.6,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,alcohol,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,anger,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,4,0.8,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,anxiety,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,aren,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,2,0.4,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,ask,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,4,0.8,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,attention,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,attention deficit,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,4,0.8,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,autism,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,avoid,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,4,0.8,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,bad,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,based,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,3,0.6,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,behavior,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,best,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,better,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,big,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,bit,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,0,0.0,0.0,0.0,0,0.0
C_DECISION_TREE,all,brain,textual,gini_importance,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,0,0.0,0.0,0.0,0,0.0
