condition,row_index,predicted_class,node_id,depth,is_leaf,feature,feature_group,transformed_value,operator,threshold
C_DECISION_TREE,2,1,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
C_DECISION_TREE,2,1,1,1,False,talking,textual,0.0,<=,0.022087890654802322
C_DECISION_TREE,2,1,2,2,False,way,textual,0.0,<=,0.07509763911366463
C_DECISION_TREE,2,1,3,3,False,away,textual,0.0,<=,0.05768333934247494
C_DECISION_TREE,2,1,4,4,False,dopamine,textual,0.0,<=,0.07126924395561218
C_DECISION_TREE,2,1,5,5,False,adults,textual,0.0,<=,0.034870099276304245
C_DECISION_TREE,2,1,6,6,False,thing,textual,0.0,<=,0.0608743317425251
C_DECISION_TREE,2,1,7,7,True,,,,leaf,
C_DECISION_TREE,9,1,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
C_DECISION_TREE,9,1,1,1,False,talking,textual,0.0,<=,0.022087890654802322
C_DECISION_TREE,9,1,2,2,False,way,textual,0.0,<=,0.07509763911366463
C_DECISION_TREE,9,1,3,3,False,away,textual,0.0,<=,0.05768333934247494
C_DECISION_TREE,9,1,4,4,False,dopamine,textual,0.0,<=,0.07126924395561218
C_DECISION_TREE,9,1,5,5,False,adults,textual,0.0,<=,0.034870099276304245
C_DECISION_TREE,9,1,6,6,False,thing,textual,0.0,<=,0.0608743317425251
C_DECISION_TREE,9,1,7,7,True,,,,leaf,
C_DECISION_TREE,16,1,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
C_DECISION_TREE,16,1,1,1,False,talking,textual,0.0,<=,0.022087890654802322
C_DECISION_TREE,16,1,2,2,False,way,textual,0.05993941053748131,<=,0.07509763911366463
C_DECISION_TREE,16,1,3,3,False,away,textual,0.0,<=,0.05768333934247494
C_DECISION_TREE,16,1,4,4,False,dopamine,textual,0.0,<=,0.07126924395561218
C_DECISION_TREE,16,1,5,5,False,adults,textual,0.0,<=,0.034870099276304245
C_DECISION_TREE,16,1,6,6,False,thing,textual,0.06072431430220604,<=,0.0608743317425251
C_DECISION_TREE,16,1,7,7,True,,,,leaf,
C_DECISION_TREE,27,1,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
C_DECISION_TREE,27,1,1,1,False,talking,textual,0.0,<=,0.022087890654802322
C_DECISION_TREE,27,1,2,2,False,way,textual,0.0,<=,0.07509763911366463
C_DECISION_TREE,27,1,3,3,False,away,textual,0.0,<=,0.05768333934247494
C_DECISION_TREE,27,1,4,4,False,dopamine,textual,0.0,<=,0.07126924395561218
C_DECISION_TREE,27,1,5,5,False,adults,textual,0.0,<=,0.034870099276304245
C_DECISION_TREE,27,1,6,6,False,thing,textual,0.0,<=,0.0608743317425251
C_DECISION_TREE,27,1,7,7,True,,,,leaf,
C_DECISION_TREE,34,1,0,0,False,symptoms,textual,0.21916575729846954,>,0.0940028764307499
C_DECISION_TREE,34,1,42,1,False,symptoms,textual,0.21916575729846954,>,0.16354601830244064
C_DECISION_TREE,34,1,56,2,False,issues,textual,0.0,<=,0.06517340242862701
C_DECISION_TREE,34,1,57,3,False,duration_sec_within_platform_percentile,engagement_or_format,0.49484536051750183,>,0.1275903321802616
C_DECISION_TREE,34,1,59,4,False,certainty_score,handcrafted_linguistic,0.5952380895614624,<=,1.431901454925537
C_DECISION_TREE,34,1,60,5,True,,,,leaf,
C_DECISION_TREE,39,3,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
C_DECISION_TREE,39,3,1,1,False,talking,textual,0.0,<=,0.022087890654802322
C_DECISION_TREE,39,3,2,2,False,way,textual,0.08758112788200378,>,0.07509763911366463
C_DECISION_TREE,39,3,20,3,False,duration_sec_within_platform_percentile,engagement_or_format,0.49484536051750183,>,0.3380323797464371
C_DECISION_TREE,39,3,26,4,False,comments_within_platform_percentile,engagement_or_format,0.5979381203651428,>,0.38530927896499634
C_DECISION_TREE,39,3,28,5,False,sense,textual,0.0,<=,0.04173421859741211
C_DECISION_TREE,39,3,29,6,False,just,textual,0.18132704496383667,>,0.11952247843146324
C_DECISION_TREE,39,3,31,7,True,,,,leaf,
C_DECISION_TREE,42,4,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
C_DECISION_TREE,42,4,1,1,False,talking,textual,0.0,<=,0.022087890654802322
C_DECISION_TREE,42,4,2,2,False,way,textual,0.0,<=,0.07509763911366463
C_DECISION_TREE,42,4,3,3,False,away,textual,0.1291894018650055,>,0.05768333934247494
C_DECISION_TREE,42,4,17,4,False,views_within_platform_percentile,engagement_or_format,0.1340206116437912,<=,0.34416328370571136
C_DECISION_TREE,42,4,18,5,True,,,,leaf,
C_DECISION_TREE,45,3,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
C_DECISION_TREE,45,3,1,1,False,talking,textual,0.0,<=,0.022087890654802322
C_DECISION_TREE,45,3,2,2,False,way,textual,0.0887807235121727,>,0.07509763911366463
C_DECISION_TREE,45,3,20,3,False,duration_sec_within_platform_percentile,engagement_or_format,0.4819587767124176,>,0.3380323797464371
C_DECISION_TREE,45,3,26,4,False,comments_within_platform_percentile,engagement_or_format,0.623711347579956,>,0.38530927896499634
C_DECISION_TREE,45,3,28,5,False,sense,textual,0.0,<=,0.04173421859741211
C_DECISION_TREE,45,3,29,6,False,just,textual,0.12254045903682709,>,0.11952247843146324
C_DECISION_TREE,45,3,31,7,True,,,,leaf,
C_DECISION_TREE,49,1,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
C_DECISION_TREE,49,1,1,1,False,talking,textual,0.0,<=,0.022087890654802322
C_DECISION_TREE,49,1,2,2,False,way,textual,0.0,<=,0.07509763911366463
C_DECISION_TREE,49,1,3,3,False,away,textual,0.0,<=,0.05768333934247494
C_DECISION_TREE,49,1,4,4,False,dopamine,textual,0.0,<=,0.07126924395561218
C_DECISION_TREE,49,1,5,5,False,adults,textual,0.0,<=,0.034870099276304245
C_DECISION_TREE,49,1,6,6,False,thing,textual,0.0,<=,0.0608743317425251
C_DECISION_TREE,49,1,7,7,True,,,,leaf,
C_DECISION_TREE,60,2,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
