condition,fold,class_label,feature_index,feature,feature_group,weight_type,weight,absolute_weight,direction,absolute_rank,positive_rank,negative_rank,ranking_view
C_DECISION_TREE,final_training_fit,all,253,symptoms,textual,gini_importance,0.1336250484900053,0.1336250484900053,positive,1,1,,strongest_weight
C_DECISION_TREE,final_training_fit,all,305,duration_sec_within_platform_percentile,engagement_or_format,gini_importance,0.07688578652343404,0.07688578652343404,positive,2,2,,strongest_weight
C_DECISION_TREE,final_training_fit,all,17,adults,textual,gini_importance,0.04822547891299998,0.04822547891299998,positive,3,3,,strongest_weight
C_DECISION_TREE,final_training_fit,all,27,away,textual,gini_importance,0.04808630740680424,0.04808630740680424,positive,4,4,,strongest_weight
C_DECISION_TREE,final_training_fit,all,263,thing,textual,gini_importance,0.04786621174555435,0.04786621174555435,positive,5,5,,strongest_weight
C_DECISION_TREE,final_training_fit,all,78,dopamine,textual,gini_importance,0.04709843656678545,0.04709843656678545,positive,6,6,,strongest_weight
C_DECISION_TREE,final_training_fit,all,288,way,textual,gini_importance,0.04478299810441757,0.04478299810441757,positive,7,7,,strongest_weight
C_DECISION_TREE,final_training_fit,all,175,means,textual,gini_importance,0.04403763276659746,0.04403763276659746,positive,8,8,,strongest_weight
C_DECISION_TREE,final_training_fit,all,256,talking,textual,gini_importance,0.041651071966483565,0.041651071966483565,positive,9,9,,strongest_weight
C_DECISION_TREE,final_training_fit,all,270,time,textual,gini_importance,0.03920750004893788,0.03920750004893788,positive,10,10,,strongest_weight
C_DECISION_TREE,final_training_fit,all,300,certainty_score,handcrafted_linguistic,gini_importance,0.03693650211166293,0.03693650211166293,positive,11,11,,strongest_weight
C_DECISION_TREE,final_training_fit,all,200,person,textual,gini_importance,0.03322221134734009,0.03322221134734009,positive,12,12,,strongest_weight
C_DECISION_TREE,final_training_fit,all,264,things,textual,gini_importance,0.03316083558061412,0.03316083558061412,positive,13,13,,strongest_weight
C_DECISION_TREE,final_training_fit,all,154,like,textual,gini_importance,0.03309360889456987,0.03309360889456987,positive,14,14,,strongest_weight
C_DECISION_TREE,final_training_fit,all,139,issues,textual,gini_importance,0.031563565797904404,0.031563565797904404,positive,15,15,,strongest_weight
C_DECISION_TREE,final_training_fit,all,225,sense,textual,gini_importance,0.031040045464159297,0.031040045464159297,positive,16,16,,strongest_weight
C_DECISION_TREE,final_training_fit,all,7,actually,textual,gini_importance,0.03076314385759531,0.03076314385759531,positive,17,17,,strongest_weight
C_DECISION_TREE,final_training_fit,all,284,ve,textual,gini_importance,0.030216653250713748,0.030216653250713748,positive,18,18,,strongest_weight
C_DECISION_TREE,final_training_fit,all,303,comments_within_platform_percentile,engagement_or_format,gini_importance,0.0292335152347218,0.0292335152347218,positive,19,19,,strongest_weight
C_DECISION_TREE,final_training_fit,all,95,feel,textual,gini_importance,0.02750632983924821,0.02750632983924821,positive,20,20,,strongest_weight
