condition,row_index,predicted_class,rank,feature,feature_group,transformed_value,model_weight,contribution,contribution_type
C_LOGISTIC_REGRESSION,2,4,1,number,textual,0.7757955936599895,1.8381686131598447,1.4260431104935014,input_times_coefficient
C_LOGISTIC_REGRESSION,2,4,2,views_within_platform_percentile,engagement_or_format,0.969072163105011,0.9496055520306362,0.9202363064028567,input_times_coefficient
C_LOGISTIC_REGRESSION,2,4,3,likes_within_platform_percentile,engagement_or_format,0.9587628841400146,-0.9466774311666171,-0.907639184255566,input_times_coefficient
C_LOGISTIC_REGRESSION,2,4,4,duration_sec_within_platform_percentile,engagement_or_format,0.8247422575950623,-1.0208367982916144,-0.8419272456591413,input_times_coefficient
C_LOGISTIC_REGRESSION,2,4,5,comments_within_platform_percentile,engagement_or_format,0.969072163105011,-0.40777340936108475,-0.3951618598662515,input_times_coefficient
C_LOGISTIC_REGRESSION,2,4,6,10,textual,0.21923153091291728,1.3438971514577842,0.29462462990359867,input_times_coefficient
C_LOGISTIC_REGRESSION,2,4,7,life,textual,0.0861372203620998,2.441335863698757,0.21028988526931705,input_times_coefficient
C_LOGISTIC_REGRESSION,2,4,8,new,textual,0.11882680775847242,1.467030064698216,0.17432249947379425,input_times_coefficient
C_LOGISTIC_REGRESSION,2,4,9,people,textual,0.17493758637580378,0.7106257194473715,0.12431514817669226,input_times_coefficient
C_LOGISTIC_REGRESSION,2,4,10,time,textual,0.06932172121744767,-1.6527880617800847,-0.11457411325024472,input_times_coefficient
C_LOGISTIC_REGRESSION,9,2,1,fast,textual,0.30535551050412,3.3716278784825255,1.0295451520639547,input_times_coefficient
C_LOGISTIC_REGRESSION,9,2,2,views_within_platform_percentile,engagement_or_format,0.9742268323898315,-0.6393982623214496,-0.6229189437369884,input_times_coefficient
C_LOGISTIC_REGRESSION,9,2,3,hyper,textual,0.3302710271118304,1.6412183889684082,0.5420468830394197,input_times_coefficient
C_LOGISTIC_REGRESSION,9,2,4,comments_within_platform_percentile,engagement_or_format,0.9639175534248352,0.4542797390991794,0.43788821468295347,input_times_coefficient
C_LOGISTIC_REGRESSION,9,2,5,likes_within_platform_percentile,engagement_or_format,0.9896907210350037,0.4335846272018101,0.42911468232505273,input_times_coefficient
C_LOGISTIC_REGRESSION,9,2,6,stimulants,textual,0.15756709259448803,2.521870922481598,0.3973638691540049,input_times_coefficient
C_LOGISTIC_REGRESSION,9,2,7,duration_sec_within_platform_percentile,engagement_or_format,0.35824742913246155,1.0910914108709666,0.3908806928930341,input_times_coefficient
C_LOGISTIC_REGRESSION,9,2,8,kind,textual,0.12390425340755418,2.2457968897819787,0.2782637869334433,input_times_coefficient
C_LOGISTIC_REGRESSION,9,2,9,thinking,textual,0.3117450298477509,0.8329948039281992,0.25968199001361786,input_times_coefficient
C_LOGISTIC_REGRESSION,9,2,10,emotional,textual,0.12547090682155126,-1.8978299738456785,-0.2381224478115382,input_times_coefficient
C_LOGISTIC_REGRESSION,16,3,1,taking,textual,0.17687881772895697,3.0073048235396347,0.5319285217382802,input_times_coefficient
C_LOGISTIC_REGRESSION,16,3,2,want,textual,0.24835963748005827,1.4138618881268559,0.35114622598205664,input_times_coefficient
C_LOGISTIC_REGRESSION,16,3,3,did,textual,0.17375478336955452,1.8594833955102343,0.3230941345661644,input_times_coefficient
C_LOGISTIC_REGRESSION,16,3,4,just,textual,0.12409792997728193,-2.58352824032146,-0.32061050666174296,input_times_coefficient
C_LOGISTIC_REGRESSION,16,3,5,duration_sec_within_platform_percentile,engagement_or_format,0.969072163105011,-0.2395257664358902,-0.23211775259941375,input_times_coefficient
C_LOGISTIC_REGRESSION,16,3,6,medication,textual,0.38000672622670206,0.594514081524178,0.22591934981567752,input_times_coefficient
