condition,class_label,feature,feature_group,weight_type,mean_weight_missing_as_zero,sample_std_weight_missing_as_zero,median_weight_missing_as_zero,mean_absolute_weight_missing_as_zero,minimum_weight,maximum_weight,fold_presence_count,fold_presence_fraction,nonzero_fold_count,positive_fold_fraction,negative_fold_fraction,sign_consistency_nonzero,top_k_fold_count,top_k_fold_fraction
C_RIDGE,1,symptoms,textual,coefficient,1.033538513425905,0.48341524273412856,1.2254737987129756,1.033538513425905,0.30158520903147623,1.5517113715316275,5,1.0,5,1.0,0.0,1.0,5,1.0
C_RIDGE,1,music,textual,coefficient,0.8548596828013754,0.37276094188487574,0.9319655940464966,0.8548596828013754,0.20727482357508517,1.1306336630359137,5,1.0,5,1.0,0.0,1.0,5,1.0
C_RIDGE,1,stimulant,textual,coefficient,0.6672858682090119,0.26261163398985565,0.7067722815176405,0.6672858682090119,0.21897829367815075,0.8842546902556655,5,1.0,5,1.0,0.0,1.0,5,1.0
C_RIDGE,1,tasks,textual,coefficient,0.6631016519789886,0.21061345627332115,0.7321438518595679,0.6631016519789886,0.29486736232681876,0.831871655721476,5,1.0,5,1.0,0.0,1.0,5,1.0
C_RIDGE,1,having,textual,coefficient,0.6825687349617009,0.34888705977948004,0.8310894116799332,0.6825687349617009,0.17771243236944317,1.0628091833213744,5,1.0,5,1.0,0.0,1.0,4,0.8
C_RIDGE,1,need,textual,coefficient,-0.6714320540154843,0.32363586662914595,-0.7715969121856165,0.6714320540154843,-0.9998831636919826,-0.17183952418293352,5,1.0,5,0.0,1.0,1.0,4,0.8
C_RIDGE,1,test,textual,coefficient,-0.6519971032161207,0.30929283661938595,-0.7558489253605194,0.6519971032161207,-0.8723707275626897,-0.11194247224647613,5,1.0,5,0.0,1.0,1.0,4,0.8
C_RIDGE,1,good,textual,coefficient,-0.5822552273393031,0.25342472955568346,-0.6240541359882757,0.5822552273393031,-0.8041748760622596,-0.16673305781617434,5,1.0,5,0.0,1.0,1.0,4,0.8
C_RIDGE,1,dopamine,textual,coefficient,-0.5383863809473937,0.24326443763230998,-0.6264213157544622,0.5383863809473937,-0.8248429734726097,-0.1940772592411638,5,1.0,5,0.0,1.0,1.0,4,0.8
C_RIDGE,1,trouble,textual,coefficient,0.5300011778102116,0.19065766041467636,0.6112144996348567,0.5300011778102116,0.20703635993955558,0.670528973760107,5,1.0,5,1.0,0.0,1.0,4,0.8
C_RIDGE,1,diet,textual,coefficient,-0.6000870694299903,0.36404844524254304,-0.6393855675657774,0.6000870694299903,-0.9114222709064312,0.0,4,0.8,4,0.0,0.8,1.0,3,0.6
C_RIDGE,1,higher,textual,coefficient,0.5904035791508621,0.2529301809756045,0.6092227903811399,0.5904035791508621,0.19780046997121872,0.8377360051713446,5,1.0,5,1.0,0.0,1.0,3,0.6
C_RIDGE,1,worse,textual,coefficient,-0.590311033131153,0.2926035427944846,-0.7302083032820769,0.590311033131153,-0.7839048360905283,-0.0824049245281557,5,1.0,5,0.0,1.0,1.0,3,0.6
C_RIDGE,1,problems,textual,coefficient,0.5183012036713691,0.2345895394191421,0.6181112215836964,0.5183012036713691,0.2240683210395065,0.7716840979868868,5,1.0,5,1.0,0.0,1.0,3,0.6
C_RIDGE,1,ve,textual,coefficient,-0.4987131228649915,0.20367971939248286,-0.5884450916537586,0.4987131228649915,-0.6838674644029034,-0.19038462113866525,5,1.0,5,0.0,1.0,1.0,3,0.6
