condition,fold,class_label,feature_index,feature,feature_group,weight_type,weight,absolute_weight,direction,absolute_rank,positive_rank,negative_rank,ranking_view
C_RIDGE,final_training_fit,1,253,symptoms,textual,coefficient,1.2148677952888367,1.2148677952888367,positive,1,1,,largest_positive
C_RIDGE,final_training_fit,1,185,music,textual,coefficient,1.114478687765046,1.114478687765046,positive,2,2,,largest_positive
C_RIDGE,final_training_fit,1,118,having,textual,coefficient,0.9213462935246479,0.9213462935246479,positive,3,3,,largest_positive
C_RIDGE,final_training_fit,1,240,stimulant,textual,coefficient,0.907288422071994,0.907288422071994,positive,5,4,,largest_positive
C_RIDGE,final_training_fit,1,125,higher,textual,coefficient,0.8719051418607606,0.8719051418607606,positive,8,5,,largest_positive
C_RIDGE,final_training_fit,1,258,tasks,textual,coefficient,0.851508374663122,0.851508374663122,positive,10,6,,largest_positive
C_RIDGE,final_training_fit,1,66,difference,textual,coefficient,0.8118491098446065,0.8118491098446065,positive,11,7,,largest_positive
C_RIDGE,final_training_fit,1,137,instead,textual,coefficient,0.7351331068913711,0.7351331068913711,positive,14,8,,largest_positive
C_RIDGE,final_training_fit,1,80,easily,textual,coefficient,0.7204543288793926,0.7204543288793926,positive,17,9,,largest_positive
C_RIDGE,final_training_fit,1,207,problems,textual,coefficient,0.717118028015149,0.717118028015149,positive,18,10,,largest_positive
C_RIDGE,final_training_fit,1,251,support,textual,coefficient,0.6765243662034457,0.6765243662034457,positive,20,11,,largest_positive
C_RIDGE,final_training_fit,1,237,start,textual,coefficient,0.6728192195946037,0.6728192195946037,positive,21,12,,largest_positive
C_RIDGE,final_training_fit,1,133,impulsivity,textual,coefficient,0.6632849857646468,0.6632849857646468,positive,24,13,,largest_positive
C_RIDGE,final_training_fit,1,132,impulsive,textual,coefficient,0.6439871608441068,0.6439871608441068,positive,26,14,,largest_positive
C_RIDGE,final_training_fit,1,134,inattentive,textual,coefficient,0.6243844624053035,0.6243844624053035,positive,27,15,,largest_positive
C_RIDGE,final_training_fit,1,273,trouble,textual,coefficient,0.6139565149073443,0.6139565149073443,positive,29,16,,largest_positive
C_RIDGE,final_training_fit,1,117,harder,textual,coefficient,0.6113800672836432,0.6113800672836432,positive,30,17,,largest_positive
C_RIDGE,final_training_fit,1,49,common,textual,coefficient,0.541223813970549,0.541223813970549,positive,40,18,,largest_positive
C_RIDGE,final_training_fit,1,4,absolutely,textual,coefficient,0.538652248962891,0.538652248962891,positive,41,19,,largest_positive
C_RIDGE,final_training_fit,1,210,real,textual,coefficient,0.5292475800051955,0.5292475800051955,positive,44,20,,largest_positive
C_RIDGE,final_training_fit,1,65,diet,textual,coefficient,-0.9211338002386762,0.9211338002386762,negative,4,,1,largest_negative
C_RIDGE,final_training_fit,1,186,need,textual,coefficient,-0.9002466198608725,0.9002466198608725,negative,6,,2,largest_negative
C_RIDGE,final_training_fit,1,295,worse,textual,coefficient,-0.890139210824564,0.890139210824564,negative,7,,3,largest_negative
C_RIDGE,final_training_fit,1,262,test,textual,coefficient,-0.855950725645453,0.855950725645453,negative,9,,4,largest_negative
C_RIDGE,final_training_fit,1,276,type,textual,coefficient,-0.8110975559438194,0.8110975559438194,negative,12,,5,largest_negative
C_RIDGE,final_training_fit,1,24,attention deficit,textual,coefficient,-0.7456667890259271,0.7456667890259271,negative,13,,6,largest_negative
C_RIDGE,final_training_fit,1,111,good,textual,coefficient,-0.7280708297187376,0.7280708297187376,negative,15,,7,largest_negative
C_RIDGE,final_training_fit,1,215,rejection,textual,coefficient,-0.726229392433458,0.726229392433458,negative,16,,8,largest_negative
C_RIDGE,final_training_fit,1,34,bit,textual,coefficient,-0.7071634438118695,0.7071634438118695,negative,19,,9,largest_negative
C_RIDGE,final_training_fit,1,78,dopamine,textual,coefficient,-0.6719415809929123,0.6719415809929123,negative,22,,10,largest_negative
C_RIDGE,final_training_fit,1,60,depression,textual,coefficient,-0.6652572275903182,0.6652572275903182,negative,23,,11,largest_negative
C_RIDGE,final_training_fit,1,284,ve,textual,coefficient,-0.6495153221979444,0.6495153221979444,negative,25,,12,largest_negative
C_RIDGE,final_training_fit,1,288,way,textual,coefficient,-0.6149771460808139,0.6149771460808139,negative,28,,13,largest_negative
C_RIDGE,final_training_fit,1,250,sugar,textual,coefficient,-0.6095282579255213,0.6095282579255213,negative,31,,14,largest_negative
C_RIDGE,final_training_fit,1,190,new,textual,coefficient,-0.599694635622574,0.599694635622574,negative,32,,15,largest_negative
C_RIDGE,final_training_fit,1,232,sit,textual,coefficient,-0.589523715993147,0.589523715993147,negative,33,,16,largest_negative
C_RIDGE,final_training_fit,1,168,lower,textual,coefficient,-0.5782821664479894,0.5782821664479894,negative,34,,17,largest_negative
C_RIDGE,final_training_fit,1,59,deficit,textual,coefficient,-0.577299556062465,0.577299556062465,negative,35,,18,largest_negative
