condition,fold,class_label,feature_index,feature,feature_group,weight_type,weight,absolute_weight,direction,absolute_rank,positive_rank,negative_rank
D_FROZEN_MINILM,final_training_fit,1,386,likes_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-0.4490981101989746,0.4490981101989746,negative,1,,1
D_FROZEN_MINILM,final_training_fit,1,385,hedge_score,handcrafted_linguistic,auxiliary_coefficient,0.2419465333223343,0.2419465333223343,positive,2,1,
D_FROZEN_MINILM,final_training_fit,1,387,comments_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-0.2269270271062851,0.2269270271062851,negative,3,,2
D_FROZEN_MINILM,final_training_fit,1,384,certainty_score,handcrafted_linguistic,auxiliary_coefficient,-0.05180079862475395,0.05180079862475395,negative,4,,3
D_FROZEN_MINILM,final_training_fit,1,388,views_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-0.04600584879517555,0.04600584879517555,negative,5,,4
D_FROZEN_MINILM,final_training_fit,1,389,duration_sec_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.04432324320077896,0.04432324320077896,positive,6,2,
D_FROZEN_MINILM,final_training_fit,2,389,duration_sec_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.5251985192298889,0.5251985192298889,positive,1,1,
D_FROZEN_MINILM,final_training_fit,2,386,likes_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.432699590921402,0.432699590921402,positive,2,2,
D_FROZEN_MINILM,final_training_fit,2,384,certainty_score,handcrafted_linguistic,auxiliary_coefficient,-0.09654680639505386,0.09654680639505386,negative,3,,1
D_FROZEN_MINILM,final_training_fit,2,388,views_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-0.08329839259386063,0.08329839259386063,negative,4,,2
D_FROZEN_MINILM,final_training_fit,2,385,hedge_score,handcrafted_linguistic,auxiliary_coefficient,0.03832806274294853,0.03832806274294853,positive,5,3,
D_FROZEN_MINILM,final_training_fit,2,387,comments_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.0026604002341628075,0.0026604002341628075,positive,6,4,
D_FROZEN_MINILM,final_training_fit,3,386,likes_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.37516313791275024,0.37516313791275024,positive,1,1,
D_FROZEN_MINILM,final_training_fit,3,385,hedge_score,handcrafted_linguistic,auxiliary_coefficient,-0.16973231732845306,0.16973231732845306,negative,2,,1
D_FROZEN_MINILM,final_training_fit,3,387,comments_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.12528938055038452,0.12528938055038452,positive,3,2,
D_FROZEN_MINILM,final_training_fit,3,389,duration_sec_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-0.12127685546875,0.12127685546875,negative,4,,2
D_FROZEN_MINILM,final_training_fit,3,384,certainty_score,handcrafted_linguistic,auxiliary_coefficient,0.05166425183415413,0.05166425183415413,positive,5,3,
D_FROZEN_MINILM,final_training_fit,3,388,views_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-0.030624594539403915,0.030624594539403915,negative,6,,3
D_FROZEN_MINILM,final_training_fit,4,389,duration_sec_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-0.44824671745300293,0.44824671745300293,negative,1,,1
D_FROZEN_MINILM,final_training_fit,4,386,likes_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-0.35876768827438354,0.35876768827438354,negative,2,,2
D_FROZEN_MINILM,final_training_fit,4,388,views_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.1599268615245819,0.1599268615245819,positive,3,1,
D_FROZEN_MINILM,final_training_fit,4,385,hedge_score,handcrafted_linguistic,auxiliary_coefficient,-0.1105421930551529,0.1105421930551529,negative,4,,3
D_FROZEN_MINILM,final_training_fit,4,387,comments_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.09897125512361526,0.09897125512361526,positive,5,2,
D_FROZEN_MINILM,final_training_fit,4,384,certainty_score,handcrafted_linguistic,auxiliary_coefficient,0.09668252617120743,0.09668252617120743,positive,6,3,
