condition,class_label,feature,feature_group,weight_type,mean_weight_missing_as_zero,sample_std_weight_missing_as_zero,median_weight_missing_as_zero,mean_absolute_weight_missing_as_zero,minimum_weight,maximum_weight,fold_presence_count,fold_presence_fraction,nonzero_fold_count,positive_fold_fraction,negative_fold_fraction,sign_consistency_nonzero,top_k_fold_count,top_k_fold_fraction
D_FROZEN_MINILM,1,likes_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-0.24894217550754547,0.6200250943629299,-0.4145834147930145,0.5410410851240158,-0.8314919471740723,0.6704321503639221,5,1.0,5,0.4,0.6,0.6,5,1.0
D_FROZEN_MINILM,1,duration_sec_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.31632659970782695,0.3445906789540094,0.3580966293811798,0.3434345984365791,-0.06776999682188034,0.7230335474014282,5,1.0,5,0.8,0.2,0.8,5,1.0
D_FROZEN_MINILM,1,views_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-0.24316909462213515,0.4012545175454215,-0.18328693509101868,0.31974507719278333,-0.8989672064781189,0.19143995642662048,5,1.0,5,0.2,0.8,0.8,5,1.0
D_FROZEN_MINILM,1,hedge_score,handcrafted_linguistic,auxiliary_coefficient,0.28855561912059785,0.07694325847950845,0.26623114943504333,0.28855561912059785,0.2073303759098053,0.39289605617523193,5,1.0,5,1.0,0.0,1.0,5,1.0
D_FROZEN_MINILM,1,comments_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-0.1987156644463539,0.20961617557080064,-0.14562560617923737,0.22587027102708818,-0.4438265562057495,0.06788651645183563,5,1.0,5,0.2,0.8,0.8,5,1.0
D_FROZEN_MINILM,1,certainty_score,handcrafted_linguistic,auxiliary_coefficient,-0.04976798444986343,0.06616367253133508,-0.04439731687307358,0.06168758943676948,-0.15056341886520386,0.02979901246726513,5,1.0,5,0.2,0.8,0.8,5,1.0
D_FROZEN_MINILM,2,likes_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.909233820438385,0.5496292372684249,0.7271088361740112,0.909233820438385,0.4538702368736267,1.8230581283569336,5,1.0,5,1.0,0.0,1.0,5,1.0
D_FROZEN_MINILM,2,duration_sec_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.8209588885307312,0.40996006724567197,0.8000922799110413,0.8209588885307312,0.29947006702423096,1.3048603534698486,5,1.0,5,1.0,0.0,1.0,5,1.0
D_FROZEN_MINILM,2,views_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-0.5004055723547935,0.6247424613101124,-0.29159101843833923,0.5582913681864738,-1.4287760257720947,0.14471448957920074,5,1.0,5,0.2,0.8,0.8,5,1.0
D_FROZEN_MINILM,2,comments_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-0.0749913938343525,0.5917678917812974,-0.121424600481987,0.4057914026081562,-0.8237462043762207,0.8270000219345093,5,1.0,5,0.2,0.8,0.8,5,1.0
D_FROZEN_MINILM,2,hedge_score,handcrafted_linguistic,auxiliary_coefficient,-0.014987918175756931,0.13117979215757786,-0.01156753022223711,0.09804564360529185,-0.20685000717639923,0.1298951655626297,5,1.0,5,0.4,0.6,0.6,5,1.0
D_FROZEN_MINILM,2,certainty_score,handcrafted_linguistic,auxiliary_coefficient,-0.052844420075416565,0.09370057279369721,-0.07939896732568741,0.08712640404701233,-0.16763515770435333,0.05728308483958244,5,1.0,5,0.4,0.6,0.6,5,1.0
D_FROZEN_MINILM,3,likes_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.5223540097475052,0.2688146198994539,0.45669227838516235,0.5223540097475052,0.16132961213588715,0.8380661606788635,5,1.0,5,1.0,0.0,1.0,5,1.0
D_FROZEN_MINILM,3,duration_sec_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-0.4042108342051506,0.37874722588314896,-0.5175992250442505,0.4518448725342751,-0.8554312586784363,0.11908509582281113,5,1.0,5,0.2,0.8,0.8,5,1.0
D_FROZEN_MINILM,3,comments_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.06398634687066078,0.5915844488291626,0.2534840404987335,0.4401191212236881,-0.9403319358825684,0.5044151544570923,5,1.0,5,0.8,0.2,0.8,5,1.0
D_FROZEN_MINILM,3,views_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-0.037863973528146744,0.36395708446852715,0.05425543710589409,0.24852051064372063,-0.6065112948417664,0.3822654187679291,5,1.0,5,0.6,0.4,0.6,5,1.0
D_FROZEN_MINILM,3,hedge_score,handcrafted_linguistic,auxiliary_coefficient,-0.17183816358447074,0.09556058999557875,-0.19517120718955994,0.17183816358447074,-0.26413601636886597,-0.04254261776804924,5,1.0,5,0.0,1.0,1.0,5,1.0
D_FROZEN_MINILM,3,certainty_score,handcrafted_linguistic,auxiliary_coefficient,0.01073795459815301,0.11360670806349328,0.00010877175373025239,0.07730582631775178,-0.14581115543842316,0.1661994904279709,5,1.0,5,0.6,0.4,0.6,5,1.0
D_FROZEN_MINILM,4,likes_within_platform_percentile,engagement_or_format,auxiliary_coefficient,-1.1826469331979752,0.909112972032774,-1.4482589960098267,1.1826469331979752,-2.1312105655670166,-0.20061883330345154,5,1.0,5,0.0,1.0,1.0,5,1.0
D_FROZEN_MINILM,4,views_within_platform_percentile,engagement_or_format,auxiliary_coefficient,0.7814386680722236,0.6886468733260269,0.814590334892273,0.7814386680722236,0.04589772969484329,1.6245816946029663,5,1.0,5,1.0,0.0,1.0,5,1.0
