condition,class_label,feature,feature_group,weight_type,mean_weight_missing_as_zero,sample_std_weight_missing_as_zero,median_weight_missing_as_zero,mean_absolute_weight_missing_as_zero,minimum_weight,maximum_weight,fold_presence_count,fold_presence_fraction,nonzero_fold_count,positive_fold_fraction,negative_fold_fraction,sign_consistency_nonzero,top_k_fold_count,top_k_fold_fraction
A_LOGISTIC_REGRESSION,1,symptoms,textual,coefficient,1.8277747618074969,2.146881160961996,0.3329754030457094,1.8277747618074969,0.2184839285484027,4.628373644966476,5,1.0,5,1.0,0.0,1.0,5,1.0
A_LOGISTIC_REGRESSION,1,dopamine,textual,coefficient,-1.1637075855618535,1.4135015462902396,-0.1526550486460067,1.1637075855618535,-3.069030329533081,-0.1472970033303454,5,1.0,5,0.0,1.0,1.0,5,1.0
A_LOGISTIC_REGRESSION,1,tasks,textual,coefficient,1.0344027640136957,1.168324611133554,0.194958618070708,1.0344027640136957,0.1707830372329027,2.439838505453371,5,1.0,5,1.0,0.0,1.0,5,1.0
A_LOGISTIC_REGRESSION,1,music,textual,coefficient,1.1960452567299282,1.4589375982004018,0.1736295447920927,1.1960452567299282,0.1023360930814798,2.916913190658729,5,1.0,5,1.0,0.0,1.0,4,0.8
A_LOGISTIC_REGRESSION,1,stimulant,textual,coefficient,0.941665490863891,1.1063200285905783,0.1448279604678671,0.941665490863891,0.1330682247597912,2.3030119792678265,5,1.0,5,1.0,0.0,1.0,4,0.8
A_LOGISTIC_REGRESSION,1,good,textual,coefficient,-0.9406445632817768,1.1504598860169868,-0.1310017694203758,0.9406445632817768,-2.499372103750967,-0.0960343601006062,5,1.0,5,0.0,1.0,1.0,4,0.8
A_LOGISTIC_REGRESSION,1,need,textual,coefficient,-0.8592690065150632,1.0292392660922904,-0.1595487739585804,0.8592690065150632,-2.3292529552033487,-0.1042902385596225,5,1.0,5,0.0,1.0,1.0,4,0.8
A_LOGISTIC_REGRESSION,1,having,textual,coefficient,0.8425420046493782,1.085000813885031,0.1346703921759753,0.8425420046493782,0.0958905610289468,2.538218695901987,5,1.0,5,1.0,0.0,1.0,4,0.8
A_LOGISTIC_REGRESSION,1,trouble,textual,coefficient,0.8211666674890171,1.0199598340902,0.1570405350884541,0.8211666674890171,0.1363525811965539,2.4510324860239363,5,1.0,5,1.0,0.0,1.0,4,0.8
A_LOGISTIC_REGRESSION,1,brain,textual,coefficient,-0.6584260336142881,0.7724111094892138,-0.1910527898051472,0.6584260336142881,-1.9454360702489688,-0.1516252830240646,5,1.0,5,0.0,1.0,1.0,4,0.8
A_LOGISTIC_REGRESSION,1,diet,textual,coefficient,-0.9928255767794134,1.2801707604128834,-0.1090153541385044,0.9928255767794134,-2.651295908296486,0.0,4,0.8,4,0.0,0.8,1.0,3,0.6
