condition,configuration,model_family,feature_set,experimental_condition,folds,quadratic_weighted_kappa_mean,quadratic_weighted_kappa_sample_std,quadratic_weighted_kappa_minimum,quadratic_weighted_kappa_maximum,accuracy_mean,accuracy_sample_std,accuracy_minimum,accuracy_maximum,weighted_f1_mean,weighted_f1_sample_std,weighted_f1_minimum,weighted_f1_maximum,mean_absolute_error_mean,mean_absolute_error_sample_std,mean_absolute_error_minimum,mean_absolute_error_maximum,quadratic_weighted_kappa_rank,accuracy_rank,weighted_f1_rank,mean_absolute_error_rank
A_LOGISTIC_REGRESSION,A,LOGISTIC_REGRESSION,A,True,5,0.3812104011386105,0.08616604092582285,0.3070266528210453,0.4921946740128559,0.4183057448880233,0.041988959072213325,0.3461538461538461,0.4487179487179487,0.4030560694619478,0.03316943891357286,0.3501807155956953,0.4382256128912304,0.9263226225251543,0.05741001496450801,0.8481012658227848,0.9871794871794872,8,9,8,9
A_RIDGE,A,RIDGE,A,True,5,0.3843848144877249,0.0765907480026587,0.3026877379167146,0.4853276908513837,0.418370658876988,0.030490794042776048,0.3717948717948718,0.4487179487179487,0.4052215081047404,0.0196828168029324,0.3775405880669038,0.4266270109992673,0.923693605972087,0.046233618681677,0.8481012658227848,0.9615384615384616,7,8,6,8
A_COMPLEMENT_NB,A,COMPLEMENT_NB,A,True,5,0.38851269417175327,0.09537381539888413,0.2635083506167449,0.4802370548942796,0.4414151249594288,0.04544631218583772,0.3670886075949367,0.4810126582278481,0.3931578229842959,0.03046745934314394,0.3416537182595316,0.4212121212121212,0.9236611489776048,0.07143789278159851,0.8481012658227848,1.0128205128205128,6,3,10,7
A_DECISION_TREE,A,DECISION_TREE,A,True,5,0.1800428590150706,0.11496190260248279,0.0078824793980653,0.3121655084271907,0.3009737098344693,0.028728932400395195,0.2564102564102564,0.3291139240506329,0.2569705923800142,0.053655208081678854,0.1756410256410256,0.3114774603492269,1.0950665368386887,0.1849405270282486,0.8987341772151899,1.3333333333333333,14,15,14,13
B_LOGISTIC_REGRESSION,B,LOGISTIC_REGRESSION,B,True,5,0.40548012216316176,0.06339212220832695,0.3488850771869639,0.4758893280632412,0.42362869198312225,0.04727433948120133,0.379746835443038,0.4743589743589743,0.41664150579093373,0.04877548736380696,0.3651161496731117,0.4712059869954606,0.8953261927945473,0.047960083140996826,0.8481012658227848,0.9746835443037974,4,5,3,4
B_RIDGE,B,RIDGE,B,True,5,0.36145713738099006,0.04857741428961037,0.3015179643988205,0.420602289143238,0.4132099967543005,0.05256234640994897,0.3333333333333333,0.4615384615384615,0.4035183707437879,0.045561828949685634,0.3371794871794871,0.4549010042431095,0.9491398896462189,0.03692038405840662,0.9113924050632912,1.0,10,10,7,10
B_COMPLEMENT_NB,B,COMPLEMENT_NB,B,True,5,0.39924070420781355,0.11174316398118869,0.265037799934261,0.5345118792928725,0.436319376825706,0.036578723186030004,0.379746835443038,0.4743589743589743,0.3942693541380192,0.03887188116350834,0.3467304439129673,0.4536180988029398,0.9209672184355728,0.09816819057949806,0.7692307692307693,1.0256410256410255,5,4,9,6
B_DECISION_TREE,B,DECISION_TREE,B,True,5,0.19244550772530272,0.14262716842200723,0.0152152800258982,0.4104477611940298,0.30613437195715676,0.037411103833154345,0.2564102564102564,0.358974358974359,0.24998876217060198,0.0546534492561327,0.1756410256410256,0.3277449046679815,1.1051931191171698,0.17631388072721815,0.9113924050632912,1.3076923076923077,13,14,15,14
C_LOGISTIC_REGRESSION,C,LOGISTIC_REGRESSION,C,True,5,0.37559709329516816,0.054793544931947574,0.3070463672873311,0.4437788986969315,0.4184031158714703,0.0533178873586668,0.3461538461538461,0.4743589743589743,0.4136505662564701,0.04581481364585719,0.3488401700914114,0.4655337941628263,0.9108081791626097,0.025119491123613766,0.8860759493670886,0.9487179487179488,9,7,4,5
C_RIDGE,C,RIDGE,C,True,5,0.34818186744363216,0.07061304061569695,0.2395362442163485,0.4133654839820875,0.39052255761116517,0.05189880014667424,0.3291139240506329,0.4615384615384615,0.38736890955395803,0.056591930720480944,0.3056840687943762,0.4552969479798748,0.9665692956832197,0.09272828984520325,0.8974358974358975,1.1265822784810129,11,11,11,11
