condition,metric,observed,bootstrap_mean,ci_low,ci_high,confidence_level,valid_resamples,resampling_unit,bootstrap_resamples_requested,bootstrap_seed,higher_is_better
A_LOGISTIC_REGRESSION,quadratic_weighted_kappa,0.49500998003992014,0.4911635481233994,0.32990846624536063,0.638121993756255,0.95,10000,content_group,10000,42,True
A_RIDGE,quadratic_weighted_kappa,0.45222072678331093,0.4477436198331549,0.27213620342530614,0.6083647476038895,0.95,10000,content_group,10000,42,True
A_COMPLEMENT_NB,quadratic_weighted_kappa,0.4185323383084577,0.4147462599472845,0.2343339180394763,0.582538451242213,0.95,10000,content_group,10000,42,True
A_DECISION_TREE,quadratic_weighted_kappa,0.12122905027932973,0.12132476514949285,-0.0276732313035516,0.2730932060115978,0.95,10000,content_group,10000,42,True
B_LOGISTIC_REGRESSION,quadratic_weighted_kappa,0.4124958011420893,0.40866925777389124,0.23107478792694394,0.5766148147032915,0.95,10000,content_group,10000,42,True
B_RIDGE,quadratic_weighted_kappa,0.39424280350438046,0.3910371529294057,0.2111562002335605,0.5623204322590099,0.95,10000,content_group,10000,42,True
B_COMPLEMENT_NB,quadratic_weighted_kappa,0.393056416615003,0.38937883971869924,0.2043451132435441,0.5603581822475444,0.95,10000,content_group,10000,42,True
B_DECISION_TREE,quadratic_weighted_kappa,0.15909732016925238,0.15848679686437894,0.014451898785193488,0.30570678042216054,0.95,10000,content_group,10000,42,True
C_LOGISTIC_REGRESSION,quadratic_weighted_kappa,0.3851397409679619,0.3808831500118245,0.20284896826832852,0.550464201376785,0.95,10000,content_group,10000,42,True
C_RIDGE,quadratic_weighted_kappa,0.3658780406531156,0.3619410468219248,0.17800866708346405,0.5336454289683602,0.95,10000,content_group,10000,42,True
C_COMPLEMENT_NB,quadratic_weighted_kappa,0.3955293387146849,0.39186449328520245,0.20714207375399946,0.5631344316782935,0.95,10000,content_group,10000,42,True
C_DECISION_TREE,quadratic_weighted_kappa,0.11377418423332364,0.11397836211356735,-0.029714146126781412,0.26437185315843514,0.95,10000,content_group,10000,42,True
D_FROZEN_MINILM,quadratic_weighted_kappa,0.40718562874251496,0.4051337593427702,0.22609602318136188,0.5718176035710887,0.95,10000,content_group,10000,42,True
E_FINETUNED_BERT,quadratic_weighted_kappa,0.6227259170891739,0.6198217787115825,0.4907150149497561,0.7342115122971945,0.95,10000,content_group,10000,42,True
BASELINE_MOST_FREQUENT,quadratic_weighted_kappa,0.0,0.0,0.0,0.0,0.95,10000,content_group,10000,42,True
BASELINE_STRATIFIED_RANDOM,quadratic_weighted_kappa,-0.10841836734693877,-0.106924515905721,-0.2860726077125809,0.07621899119459306,0.95,10000,content_group,10000,42,True
A_LOGISTIC_REGRESSION,accuracy,0.47474747474747475,0.47448725846113293,0.37623762376237624,0.5714285714285714,0.95,10000,content_group,10000,42,True
A_RIDGE,accuracy,0.48484848484848486,0.4840620808141155,0.3838383838383838,0.5858585858585859,0.95,10000,content_group,10000,42,True
A_COMPLEMENT_NB,accuracy,0.4444444444444444,0.44429299085467955,0.3465346534653465,0.5454545454545454,0.95,10000,content_group,10000,42,True
A_DECISION_TREE,accuracy,0.32323232323232326,0.3231131571239293,0.23232323232323232,0.41836734693877553,0.95,10000,content_group,10000,42,True
B_LOGISTIC_REGRESSION,accuracy,0.48484848484848486,0.4841074007691135,0.3838383838383838,0.5858585858585859,0.95,10000,content_group,10000,42,True
B_RIDGE,accuracy,0.494949494949495,0.49441250092207484,0.39603960396039606,0.5918367346938775,0.95,10000,content_group,10000,42,True
B_COMPLEMENT_NB,accuracy,0.4444444444444444,0.44426077772840755,0.3469387755102041,0.5445544554455446,0.95,10000,content_group,10000,42,True
B_DECISION_TREE,accuracy,0.30303030303030304,0.3027984551403088,0.21428571428571427,0.39603960396039606,0.95,10000,content_group,10000,42,True
C_LOGISTIC_REGRESSION,accuracy,0.45454545454545453,0.4536660517489721,0.356363136313632,0.5510204081632653,0.95,10000,content_group,10000,42,True
C_RIDGE,accuracy,0.41414141414141414,0.41316640509105773,0.3163265306122449,0.5102040816326531,0.95,10000,content_group,10000,42,True
C_COMPLEMENT_NB,accuracy,0.45454545454545453,0.4543908565498469,0.35714285714285715,0.5544554455445545,0.95,10000,content_group,10000,42,True
C_DECISION_TREE,accuracy,0.31313131313131315,0.31319689431884706,0.22448979591836735,0.40594059405940597,0.95,10000,content_group,10000,42,True
D_FROZEN_MINILM,accuracy,0.46464646464646464,0.4650679779069306,0.37,0.5612244897959183,0.95,10000,content_group,10000,42,True
E_FINETUNED_BERT,accuracy,0.48484848484848486,0.4851856452096023,0.3877551020408163,0.5816326530612245,0.95,10000,content_group,10000,42,True
BASELINE_MOST_FREQUENT,accuracy,0.3333333333333333,0.3325573651917631,0.24242424242424243,0.42424242424242425,0.95,10000,content_group,10000,42,True
BASELINE_STRATIFIED_RANDOM,accuracy,0.2222222222222222,0.22183416771227285,0.14285714285714285,0.30303030303030304,0.95,10000,content_group,10000,42,True
A_LOGISTIC_REGRESSION,weighted_f1,0.4736251402918069,0.4729859965217851,0.3705463436628998,0.5741307385551212,0.95,10000,content_group,10000,42,True
A_RIDGE,weighted_f1,0.4906251453539338,0.4894907570486753,0.38552900066218115,0.5912931244141094,0.95,10000,content_group,10000,42,True
A_COMPLEMENT_NB,weighted_f1,0.4229296307557177,0.42245949558993506,0.3196029010443589,0.5281416631173951,0.95,10000,content_group,10000,42,True
A_DECISION_TREE,weighted_f1,0.30461326113500026,0.30363802437657544,0.2055613822360681,0.4032264707239954,0.95,10000,content_group,10000,42,True
B_LOGISTIC_REGRESSION,weighted_f1,0.48799880957275804,0.4871679592433578,0.3855210142525761,0.5877654178567899,0.95,10000,content_group,10000,42,True
B_RIDGE,weighted_f1,0.49039849039849037,0.48946835448863424,0.3866086781589283,0.5891037518498166,0.95,10000,content_group,10000,42,True
B_COMPLEMENT_NB,weighted_f1,0.425881027939347,0.42531323642885027,0.32247938564418716,0.5292387846308219,0.95,10000,content_group,10000,42,True
B_DECISION_TREE,weighted_f1,0.2793318696644639,0.2782907055650267,0.18313768836129798,0.37942107062926933,0.95,10000,content_group,10000,42,True
