condition,rows,correct,underestimates_severity,overestimates_severity,errors_distance_1,errors_distance_2,errors_distance_3,severe_errors_distance_at_least_2,mean_signed_error,mean_absolute_error
A_LOGISTIC_REGRESSION,99,47,26,26,30,18,4,22,0.0,0.7878787878787878
A_RIDGE,99,48,26,25,27,19,5,24,-0.020202020202020204,0.8080808080808081
A_COMPLEMENT_NB,99,44,27,28,30,17,8,25,0.020202020202020204,0.8888888888888888
A_DECISION_TREE,99,32,52,15,29,17,21,38,-0.8484848484848485,1.2727272727272727
B_LOGISTIC_REGRESSION,99,48,25,26,25,20,6,26,-0.030303030303030304,0.8383838383838383
B_RIDGE,99,49,27,23,23,18,9,27,-0.16161616161616163,0.8686868686868687
B_COMPLEMENT_NB,99,44,27,28,29,17,9,26,0.0,0.9090909090909091
B_DECISION_TREE,99,30,50,19,30,22,17,39,-0.7777777777777778,1.2626262626262625
C_LOGISTIC_REGRESSION,99,45,22,32,29,18,7,25,0.10101010101010101,0.8686868686868687
C_RIDGE,99,41,26,32,33,17,8,25,0.010101010101010102,0.9191919191919192
C_COMPLEMENT_NB,99,45,26,28,28,17,9,26,0.010101010101010102,0.898989898989899
C_DECISION_TREE,99,31,54,14,31,17,20,37,-0.8787878787878788,1.2626262626262625
D_FROZEN_MINILM,99,46,31,22,30,15,8,23,-0.2222222222222222,0.8484848484848485
E_FINETUNED_BERT,99,48,32,19,33,16,2,18,-0.21212121212121213,0.7171717171717171
BASELINE_MOST_FREQUENT,99,33,0,66,30,12,24,36,1.2727272727272727,1.2727272727272727
BASELINE_STRATIFIED_RANDOM,99,22,40,37,29,29,19,48,-0.04040404040404041,1.4545454545454546
