condition,platform,rows,quadratic_weighted_kappa,accuracy,weighted_f1,mean_absolute_error
A_LOGISTIC_REGRESSION,tiktok,50,0.4050020169423154,0.52,0.5645387117761874,0.7
A_LOGISTIC_REGRESSION,youtube,49,0.38192559476289323,0.42857142857142855,0.4286143931256713,0.8775510204081632
A_RIDGE,tiktok,50,0.3354548858105578,0.5,0.5545254745254745,0.78
A_RIDGE,youtube,49,0.38839358080726205,0.46938775510204084,0.47590540978296075,0.8367346938775511
A_COMPLEMENT_NB,tiktok,50,0.29130921298023127,0.44,0.457985347985348,0.84
A_COMPLEMENT_NB,youtube,49,0.32304526748971196,0.4489795918367347,0.44658380098450856,0.9387755102040817
A_DECISION_TREE,tiktok,50,0.049261083743842415,0.2,0.2665208065208065,1.62
A_DECISION_TREE,youtube,49,0.11013473930872875,0.4489795918367347,0.44232008592910843,0.9183673469387755
B_LOGISTIC_REGRESSION,tiktok,50,0.3535188216039279,0.5,0.5543420126671359,0.82
B_LOGISTIC_REGRESSION,youtube,49,0.3993257738277659,0.46938775510204084,0.4780578898225957,0.8571428571428571
B_RIDGE,tiktok,50,0.2703862660944206,0.46,0.5097052154195011,0.96
B_RIDGE,youtube,49,0.4344978165938863,0.5306122448979592,0.5420852551546935,0.7755102040816326
B_COMPLEMENT_NB,tiktok,50,0.3001119820828667,0.46,0.487043771043771,0.82
B_COMPLEMENT_NB,youtube,49,0.2633192234710262,0.42857142857142855,0.4338741214772758,1.0
B_DECISION_TREE,tiktok,50,0.042165011149401854,0.2,0.26520735785953176,1.62
B_DECISION_TREE,youtube,49,0.22372488408037094,0.40816326530612246,0.3952277880849309,0.8979591836734694
C_LOGISTIC_REGRESSION,tiktok,50,0.32032066922272573,0.5,0.5512272214159006,0.8
C_LOGISTIC_REGRESSION,youtube,49,0.3649789029535865,0.40816326530612246,0.40685941043083895,0.9387755102040817
C_RIDGE,tiktok,50,0.32109817964786624,0.46,0.5054666666666666,0.9
C_RIDGE,youtube,49,0.3945147679324895,0.3673469387755102,0.3647407598067658,0.9387755102040817
C_COMPLEMENT_NB,tiktok,50,0.3001119820828667,0.46,0.487043771043771,0.82
C_COMPLEMENT_NB,youtube,49,0.27586206896551724,0.4489795918367347,0.4571996572251717,0.9795918367346939
C_DECISION_TREE,tiktok,50,0.044395779414692305,0.16,0.2034285714285714,1.64
C_DECISION_TREE,youtube,49,0.07866868381240544,0.46938775510204084,0.44535147392290253,0.8775510204081632
D_FROZEN_MINILM,tiktok,50,0.3137919349373094,0.44,0.4804900594574508,0.86
D_FROZEN_MINILM,youtube,49,0.31057842626367904,0.4897959183673469,0.5133751962323391,0.8367346938775511
E_FINETUNED_BERT,tiktok,50,0.49664429530201337,0.56,0.5745758661887694,0.62
E_FINETUNED_BERT,youtube,49,0.4661218930881852,0.40816326530612246,0.36279529993815707,0.8163265306122449
BASELINE_MOST_FREQUENT,tiktok,50,0.0,0.58,0.4258227848101266,0.54
BASELINE_MOST_FREQUENT,youtube,49,0.0,0.08163265306122448,0.012321909896033885,2.020408163265306
BASELINE_STRATIFIED_RANDOM,tiktok,50,0.16292974588938725,0.36,0.39714285714285713,1.08
BASELINE_STRATIFIED_RANDOM,youtube,49,-0.3659469800491939,0.08163265306122448,0.07941661513090084,1.836734693877551
