ablation_contrast,condition_a,condition_b,metric,mean_a_minus_b,sample_std_a_minus_b,minimum_a_minus_b,maximum_a_minus_b,condition_a_fold_wins,condition_b_fold_wins,ties,higher_is_better,inferential_test_performed
A_minus_B,A_LOGISTIC_REGRESSION,B_LOGISTIC_REGRESSION,quadratic_weighted_kappa,-0.024269721024551227,0.0774277365239945,-0.1317876946694117,0.07440775518482917,2,3,0,True,False
A_minus_B,A_LOGISTIC_REGRESSION,B_LOGISTIC_REGRESSION,accuracy,-0.005322947095098984,0.043704611562482794,-0.03846153846153849,0.06329113924050628,2,3,0,True,False
A_minus_B,A_LOGISTIC_REGRESSION,B_LOGISTIC_REGRESSION,weighted_f1,-0.013585436328985966,0.03643517745075675,-0.051372368486049313,0.04497024775505781,1,4,0,True,False
A_minus_B,A_LOGISTIC_REGRESSION,B_LOGISTIC_REGRESSION,mean_absolute_error,0.030996429730606966,0.07786297004800494,-0.08860759493670889,0.10256410256410264,1,3,1,False,False
B_minus_C,B_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,quadratic_weighted_kappa,0.0298830288679936,0.059094185278182776,-0.06436351901435788,0.0859242215778605,4,1,0,True,False
B_minus_C,B_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,accuracy,0.0052255761116520635,0.04076429241271621,-0.06329113924050628,0.03846153846153849,3,1,1,True,False
B_minus_C,B_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,weighted_f1,0.002990939534463588,0.034628556757427285,-0.05479678049084613,0.030305587873345308,3,2,0,True,False
B_minus_C,B_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,mean_absolute_error,-0.015481986368062372,0.06315759177496595,-0.06410256410256421,0.08860759493670889,3,1,1,False,False
A_minus_B,A_RIDGE,B_RIDGE,quadratic_weighted_kappa,0.022927677106734812,0.04100158102770377,-0.018454571256793173,0.06940267797304439,3,2,0,True,False
A_minus_B,A_RIDGE,B_RIDGE,accuracy,0.005160662122687454,0.02487977357382799,-0.0253164556962025,0.03846153846153849,3,2,0,True,False
A_minus_B,A_RIDGE,B_RIDGE,weighted_f1,0.0017031373609525003,0.03134114406690235,-0.03291741065638931,0.040361100887416734,3,2,0,True,False
A_minus_B,A_RIDGE,B_RIDGE,mean_absolute_error,-0.0254462836741318,0.02841456475219511,-0.06329113924050644,0.012820512820512775,4,1,0,False,False
B_minus_C,B_RIDGE,C_RIDGE,quadratic_weighted_kappa,0.01327526993735797,0.06718594647736097,-0.03878244180332785,0.1275919853979547,2,3,0,True,False
B_minus_C,B_RIDGE,C_RIDGE,accuracy,0.022687439143135323,0.06238927516192882,-0.03846153846153849,0.1265822784810126,2,1,2,True,False
B_minus_C,B_RIDGE,C_RIDGE,weighted_f1,0.016149461189829774,0.06544962489065999,-0.0402422291524176,0.128205742834414,2,3,0,True,False
B_minus_C,B_RIDGE,C_RIDGE,mean_absolute_error,-0.017429406037001004,0.10480698486457181,-0.20253164556962044,0.03846153846153855,1,3,1,False,False
A_minus_B,A_COMPLEMENT_NB,B_COMPLEMENT_NB,quadratic_weighted_kappa,-0.010728010036060286,0.05143740567074809,-0.09085380122143605,0.050888153251691104,2,3,0,True,False
A_minus_B,A_COMPLEMENT_NB,B_COMPLEMENT_NB,accuracy,0.005095748133722833,0.01445411675822386,-0.012658227848101278,0.02531645569620261,2,1,2,True,False
A_minus_B,A_COMPLEMENT_NB,B_COMPLEMENT_NB,weighted_f1,-0.0011115311537233108,0.01897696350021447,-0.03240597759081859,0.015072122929795206,3,2,0,True,False
A_minus_B,A_COMPLEMENT_NB,B_COMPLEMENT_NB,mean_absolute_error,0.002693930542031775,0.0559293208608346,-0.06329113924050644,0.08974358974358965,3,2,0,False,False
B_minus_C,B_COMPLEMENT_NB,C_COMPLEMENT_NB,quadratic_weighted_kappa,-0.03283677688128559,0.05273790535006459,-0.1227859471225839,0.01572332068378668,1,4,0,True,False
B_minus_C,B_COMPLEMENT_NB,C_COMPLEMENT_NB,accuracy,-0.010256410256410253,0.021066252211737132,-0.038461538461538436,0.012820512820512775,1,2,2,True,False
