condition,fold,class_label,feature_index,feature,feature_group,weight_type,weight,absolute_weight,direction,absolute_rank,positive_rank,negative_rank
C_DECISION_TREE,final_training_fit,all,253,symptoms,textual,gini_importance,0.1336250484900053,0.1336250484900053,positive,1.0,1.0,
C_DECISION_TREE,final_training_fit,all,305,duration_sec_within_platform_percentile,engagement_or_format,gini_importance,0.076885786523434,0.076885786523434,positive,2.0,2.0,
C_DECISION_TREE,final_training_fit,all,17,adults,textual,gini_importance,0.0482254789129999,0.0482254789129999,positive,3.0,3.0,
C_DECISION_TREE,final_training_fit,all,27,away,textual,gini_importance,0.0480863074068042,0.0480863074068042,positive,4.0,4.0,
C_DECISION_TREE,final_training_fit,all,263,thing,textual,gini_importance,0.0478662117455543,0.0478662117455543,positive,5.0,5.0,
C_DECISION_TREE,final_training_fit,all,78,dopamine,textual,gini_importance,0.0470984365667854,0.0470984365667854,positive,6.0,6.0,
C_DECISION_TREE,final_training_fit,all,288,way,textual,gini_importance,0.0447829981044175,0.0447829981044175,positive,7.0,7.0,
C_DECISION_TREE,final_training_fit,all,175,means,textual,gini_importance,0.0440376327665974,0.0440376327665974,positive,8.0,8.0,
C_DECISION_TREE,final_training_fit,all,256,talking,textual,gini_importance,0.0416510719664835,0.0416510719664835,positive,9.0,9.0,
C_DECISION_TREE,final_training_fit,all,270,time,textual,gini_importance,0.0392075000489378,0.0392075000489378,positive,10.0,10.0,
C_DECISION_TREE,final_training_fit,all,300,certainty_score,handcrafted_linguistic,gini_importance,0.0369365021116629,0.0369365021116629,positive,11.0,11.0,
C_DECISION_TREE,final_training_fit,all,200,person,textual,gini_importance,0.03322221134734,0.03322221134734,positive,12.0,12.0,
C_DECISION_TREE,final_training_fit,all,264,things,textual,gini_importance,0.0331608355806141,0.0331608355806141,positive,13.0,13.0,
C_DECISION_TREE,final_training_fit,all,154,like,textual,gini_importance,0.0330936088945698,0.0330936088945698,positive,14.0,14.0,
C_DECISION_TREE,final_training_fit,all,139,issues,textual,gini_importance,0.0315635657979044,0.0315635657979044,positive,15.0,15.0,
C_DECISION_TREE,final_training_fit,all,225,sense,textual,gini_importance,0.0310400454641592,0.0310400454641592,positive,16.0,16.0,
C_DECISION_TREE,final_training_fit,all,7,actually,textual,gini_importance,0.0307631438575953,0.0307631438575953,positive,17.0,17.0,
C_DECISION_TREE,final_training_fit,all,284,ve,textual,gini_importance,0.0302166532507137,0.0302166532507137,positive,18.0,18.0,
C_DECISION_TREE,final_training_fit,all,303,comments_within_platform_percentile,engagement_or_format,gini_importance,0.0292335152347218,0.0292335152347218,positive,19.0,19.0,
C_DECISION_TREE,final_training_fit,all,95,feel,textual,gini_importance,0.0275063298392482,0.0275063298392482,positive,20.0,20.0,
