ablation_contrast,condition_a,condition_b,metric,observed_a_minus_b,bootstrap_mean_a_minus_b,ci_low,ci_high,confidence_level,valid_resamples,resampling_unit,bootstrap_resamples_requested,bootstrap_seed,higher_is_better
A_minus_B,A_LOGISTIC_REGRESSION,B_LOGISTIC_REGRESSION,quadratic_weighted_kappa,0.08251417889783086,0.08249429034950828,-0.037869538099169334,0.22010069051960013,0.95,10000,content_group,10000,42,True
A_minus_B,A_LOGISTIC_REGRESSION,B_LOGISTIC_REGRESSION,accuracy,-0.01010101010101011,-0.00962014230798054,-0.08163265306122441,0.06060606060606061,0.95,10000,content_group,10000,42,True
A_minus_B,A_LOGISTIC_REGRESSION,B_LOGISTIC_REGRESSION,weighted_f1,-0.014373669280951129,-0.014181962721572693,-0.08898042782256607,0.059530220375993176,0.95,10000,content_group,10000,42,True
A_minus_B,A_LOGISTIC_REGRESSION,B_LOGISTIC_REGRESSION,mean_absolute_error,-0.0505050505050505,-0.05118119868948621,-0.202020202020202,0.08999999999999997,0.95,10000,content_group,10000,42,False
B_minus_C,B_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,quadratic_weighted_kappa,0.027356060174127395,0.027786107762066685,-0.15765377567371897,0.212464267951515,0.95,10000,content_group,10000,42,True
B_minus_C,B_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,accuracy,0.03030303030303033,0.03044134902014128,-0.0505050505050505,0.11224489795918369,0.95,10000,content_group,10000,42,True
B_minus_C,B_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,weighted_f1,0.038548137794436166,0.03891065024216258,-0.03795563974599143,0.1189600172560652,0.95,10000,content_group,10000,42,True
B_minus_C,B_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,mean_absolute_error,-0.030303030303030387,-0.0309978422758027,-0.2142857142857143,0.1515151515151515,0.95,10000,content_group,10000,42,False
A_minus_B,A_RIDGE,B_RIDGE,quadratic_weighted_kappa,0.05797792327893048,0.05670646690374924,-0.11206363291631484,0.23138149412026862,0.95,10000,content_group,10000,42,True
A_minus_B,A_RIDGE,B_RIDGE,accuracy,-0.01010101010101011,-0.010350420107959337,-0.08910891089108908,0.06862745098039214,0.95,10000,content_group,10000,42,True
A_minus_B,A_RIDGE,B_RIDGE,weighted_f1,0.0002266549554434394,2.2402560041188036e-05,-0.07622673899686018,0.07497095713695721,0.95,10000,content_group,10000,42,True
A_minus_B,A_RIDGE,B_RIDGE,mean_absolute_error,-0.06060606060606066,-0.05996262406093256,-0.24242424242424243,0.11224489795918369,0.95,10000,content_group,10000,42,False
B_minus_C,B_RIDGE,C_RIDGE,quadratic_weighted_kappa,0.02836476285126488,0.029096106107480927,-0.15791085160217114,0.2229602031109828,0.95,10000,content_group,10000,42,True
B_minus_C,B_RIDGE,C_RIDGE,accuracy,0.08080808080808083,0.08124609583101716,0.0,0.1616161616161616,0.95,10000,content_group,10000,42,True
B_minus_C,B_RIDGE,C_RIDGE,weighted_f1,0.07789761392109151,0.07829243150826314,0.005889087264910931,0.15473025917136654,0.95,10000,content_group,10000,42,True
B_minus_C,B_RIDGE,C_RIDGE,mean_absolute_error,-0.0505050505050505,-0.05160441571049018,-0.24742523221394302,0.14,0.95,10000,content_group,10000,42,False
A_minus_B,A_COMPLEMENT_NB,B_COMPLEMENT_NB,quadratic_weighted_kappa,0.025475921693454695,0.025367420228585253,-0.017754868049874792,0.09305948902033614,0.95,10000,content_group,10000,42,True
A_minus_B,A_COMPLEMENT_NB,B_COMPLEMENT_NB,accuracy,0.0,3.22131262719937e-05,-0.030303030303030276,0.03030303030303033,0.95,10000,content_group,10000,42,True
A_minus_B,A_COMPLEMENT_NB,B_COMPLEMENT_NB,weighted_f1,-0.0029513971836293007,-0.0028537408389151322,-0.0382315129848438,0.027044504368084137,0.95,10000,content_group,10000,42,True
A_minus_B,A_COMPLEMENT_NB,B_COMPLEMENT_NB,mean_absolute_error,-0.02020202020202022,-0.02029798980367933,-0.1010101010101011,0.039999999999999925,0.95,10000,content_group,10000,42,False
B_minus_C,B_COMPLEMENT_NB,C_COMPLEMENT_NB,quadratic_weighted_kappa,-0.0024729220996818624,-0.0024856535665032367,-0.008748853347813808,0.0,0.95,10000,content_group,10000,42,True
B_minus_C,B_COMPLEMENT_NB,C_COMPLEMENT_NB,accuracy,-0.01010101010101011,-0.010130078821439386,-0.030927835051546393,0.0,0.95,10000,content_group,10000,42,True
B_minus_C,B_COMPLEMENT_NB,C_COMPLEMENT_NB,weighted_f1,-0.011439065984520491,-0.011434236562511978,-0.038559209672569615,0.0,0.95,10000,content_group,10000,42,True
B_minus_C,B_COMPLEMENT_NB,C_COMPLEMENT_NB,mean_absolute_error,0.010101010101010055,0.010130078821439386,0.0,0.030927835051546393,0.95,10000,content_group,10000,42,False
A_minus_B,A_DECISION_TREE,B_DECISION_TREE,quadratic_weighted_kappa,-0.037868269889922646,-0.037162031714886086,-0.11278205121705473,0.03282793173314803,0.95,10000,content_group,10000,42,True
A_minus_B,A_DECISION_TREE,B_DECISION_TREE,accuracy,0.02020202020202022,0.020314701983620512,-0.030927835051546365,0.07920792079207922,0.95,10000,content_group,10000,42,True
A_minus_B,A_DECISION_TREE,B_DECISION_TREE,weighted_f1,0.025281391470536374,0.025347318811548756,-0.04074051421426458,0.09197612826040974,0.95,10000,content_group,10000,42,True
A_minus_B,A_DECISION_TREE,B_DECISION_TREE,mean_absolute_error,0.010101010101010166,0.009639646034456172,-0.08080808080808088,0.10103586889301157,0.95,10000,content_group,10000,42,False
B_minus_C,B_DECISION_TREE,C_DECISION_TREE,quadratic_weighted_kappa,0.04532313593592874,0.04450843475081159,-0.039199820102183425,0.13550589967035087,0.95,10000,content_group,10000,42,True
B_minus_C,B_DECISION_TREE,C_DECISION_TREE,accuracy,-0.01010101010101011,-0.010398439178538296,-0.08082869511440924,0.06060606060606061,0.95,10000,content_group,10000,42,True
B_minus_C,B_DECISION_TREE,C_DECISION_TREE,weighted_f1,-0.010161667101800165,-0.010861897902179684,-0.09333393399230576,0.07091691320553942,0.95,10000,content_group,10000,42,True
B_minus_C,B_DECISION_TREE,C_DECISION_TREE,mean_absolute_error,0.0,0.000632089302621492,-0.11227382705659558,0.11111111111111094,0.95,10000,content_group,10000,42,False
