condition,fold,class_label,feature_index,feature,feature_group,weight_type,weight,absolute_weight,direction,absolute_rank,positive_rank,negative_rank
C_LOGISTIC_REGRESSION,final_training_fit,1,304,views_within_platform_percentile,engagement_or_format,coefficient,-0.7990343236895314,0.7990343236895314,negative,160.0,,99.0
C_LOGISTIC_REGRESSION,final_training_fit,1,301,hedge_score,handcrafted_linguistic,coefficient,0.4294084129245523,0.4294084129245523,positive,224.0,85.0,
C_LOGISTIC_REGRESSION,final_training_fit,1,303,comments_within_platform_percentile,engagement_or_format,coefficient,0.3417495815328566,0.3417495815328566,positive,242.0,94.0,
C_LOGISTIC_REGRESSION,final_training_fit,1,305,duration_sec_within_platform_percentile,engagement_or_format,coefficient,0.1692711538565519,0.1692711538565519,positive,279.0,105.0,
C_LOGISTIC_REGRESSION,final_training_fit,1,302,likes_within_platform_percentile,engagement_or_format,coefficient,0.167731636978476,0.167731636978476,positive,280.0,106.0,
C_LOGISTIC_REGRESSION,final_training_fit,1,300,certainty_score,handcrafted_linguistic,coefficient,-0.0495178820430637,0.0495178820430637,negative,301.0,,184.0
C_LOGISTIC_REGRESSION,final_training_fit,2,305,duration_sec_within_platform_percentile,engagement_or_format,coefficient,1.0910914108709666,1.0910914108709666,positive,108.0,56.0,
C_LOGISTIC_REGRESSION,final_training_fit,2,304,views_within_platform_percentile,engagement_or_format,coefficient,-0.6393982623214496,0.6393982623214496,negative,196.0,,100.0
C_LOGISTIC_REGRESSION,final_training_fit,2,303,comments_within_platform_percentile,engagement_or_format,coefficient,0.4542797390991794,0.4542797390991794,positive,220.0,104.0,
C_LOGISTIC_REGRESSION,final_training_fit,2,302,likes_within_platform_percentile,engagement_or_format,coefficient,0.4335846272018101,0.4335846272018101,positive,231.0,108.0,
C_LOGISTIC_REGRESSION,final_training_fit,2,301,hedge_score,handcrafted_linguistic,coefficient,-0.0545786791386638,0.0545786791386638,negative,297.0,,161.0
C_LOGISTIC_REGRESSION,final_training_fit,2,300,certainty_score,handcrafted_linguistic,coefficient,-0.0281267070648873,0.0281267070648873,negative,303.0,,166.0
C_LOGISTIC_REGRESSION,final_training_fit,3,304,views_within_platform_percentile,engagement_or_format,coefficient,0.4888270339803593,0.4888270339803593,positive,200.0,109.0,
C_LOGISTIC_REGRESSION,final_training_fit,3,303,comments_within_platform_percentile,engagement_or_format,coefficient,-0.388255911270953,0.388255911270953,negative,224.0,,106.0
C_LOGISTIC_REGRESSION,final_training_fit,3,302,likes_within_platform_percentile,engagement_or_format,coefficient,0.3453611669863275,0.3453611669863275,positive,237.0,123.0,
C_LOGISTIC_REGRESSION,final_training_fit,3,305,duration_sec_within_platform_percentile,engagement_or_format,coefficient,-0.2395257664358902,0.2395257664358902,negative,264.0,,128.0
C_LOGISTIC_REGRESSION,final_training_fit,3,301,hedge_score,handcrafted_linguistic,coefficient,-0.2327900731235545,0.2327900731235545,negative,267.0,,131.0
C_LOGISTIC_REGRESSION,final_training_fit,3,300,certainty_score,handcrafted_linguistic,coefficient,0.0126252776464745,0.0126252776464745,positive,302.0,151.0,
