class_label,feature,models_in_top_k,mean_reciprocal_rank,mean_absolute_weight,positive_model_count,negative_model_count,contributing_conditions
1,music,3,0.6666666666666666,3.9023791537843278,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
1,symptoms,2,0.75,2.1372977547658905,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
1,having,2,0.3333333333333333,1.914894409892762,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
1,diet,2,0.20833333333333331,1.8592065455621407,0,2,C_LOGISTIC_REGRESSION|C_RIDGE
1,need,2,0.18333333333333335,1.8713466149845843,0,2,C_LOGISTIC_REGRESSION|C_RIDGE
1,test,2,0.18055555555555555,1.8803589688116713,0,2,C_LOGISTIC_REGRESSION|C_RIDGE
1,stimulant,2,0.1625,1.7316390936993926,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
1,higher,2,0.10795454545454546,1.6774468434173637,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
1,instead,2,0.10714285714285714,1.660920423886504,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
1,worse,2,0.10714285714285714,1.6809617942515702,0,2,C_LOGISTIC_REGRESSION|C_RIDGE
1,type,2,0.09722222222222221,1.6652519813811417,0,2,C_LOGISTIC_REGRESSION|C_RIDGE
1,tasks,2,0.08125,1.6014800511595806,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
1,difference,2,0.0787878787878788,1.6001505744692617,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
1,support,2,0.07500000000000001,1.5959446396988466,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
1,good,2,0.075,1.604305680833416,0,2,C_LOGISTIC_REGRESSION|C_RIDGE
1,impulsive,2,0.07107843137254902,4.633439149545288,2,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION
1,easily,2,0.05718954248366013,3.789795942452495,2,0,C_COMPLEMENT_NB|C_RIDGE
1,activities,1,1.0,7.68485588984349,1,0,C_COMPLEMENT_NB
1,trouble,1,0.3333333333333333,7.167804717313607,1,0,C_COMPLEMENT_NB
1,inattentive,1,0.25,7.0350948983871815,1,0,C_COMPLEMENT_NB
1,um,1,0.2,7.029938554499158,1,0,C_COMPLEMENT_NB
1,thinking,1,0.16666666666666666,7.011748106532399,1,0,C_COMPLEMENT_NB
1,quickly,1,0.14285714285714285,6.999232601290157,1,0,C_COMPLEMENT_NB
1,treatment,1,0.125,6.99353537454742,1,0,C_COMPLEMENT_NB
1,adhd medication,1,0.1111111111111111,6.992138667048786,1,0,C_COMPLEMENT_NB
1,based,1,0.1,6.964476562071027,1,0,C_COMPLEMENT_NB
1,strategies,1,0.09090909090909091,6.945869820577439,1,0,C_COMPLEMENT_NB
1,attention deficit,1,0.07692307692307693,0.7456667890259271,0,1,C_RIDGE
1,dopamine,1,0.07692307692307693,2.476233370493493,0,1,C_LOGISTIC_REGRESSION
1,learning,1,0.07692307692307693,6.920829527401128,1,0,C_COMPLEMENT_NB
1,looking,1,0.07142857142857142,6.902071309969823,1,0,C_COMPLEMENT_NB
1,adult,1,0.06666666666666667,6.899087421027687,1,0,C_COMPLEMENT_NB
1,affect,1,0.0625,6.878602044811104,1,0,C_COMPLEMENT_NB
1,rejection,1,0.0625,0.726229392433458,0,1,C_RIDGE
1,meds,1,0.058823529411764705,6.878078226535408,1,0,C_COMPLEMENT_NB
1,problems,1,0.05555555555555555,0.717118028015149,1,0,C_RIDGE
1,start,1,0.05555555555555555,2.2128598148011136,1,0,C_LOGISTIC_REGRESSION
1,bit,1,0.05263157894736842,0.7071634438118695,0,1,C_RIDGE
1,condition,1,0.05263157894736842,6.854486367980134,1,0,C_COMPLEMENT_NB
1,ve,1,0.05263157894736842,2.211593149492438,0,1,C_LOGISTIC_REGRESSION
1,studies,1,0.05,6.8460043045055015,1,0,C_COMPLEMENT_NB
1,way,1,0.05,2.184102513006626,0,1,C_LOGISTIC_REGRESSION
2,rejection,3,0.17592592592592593,3.478619237880176,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
2,foods,3,0.08624708624708625,3.345215008110048,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
2,patients,3,0.07302664655605832,3.2990512347178096,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
2,diet,2,1.0,2.61171420861868,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
2,fast,2,0.41666666666666663,2.169525064007194,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
2,way,2,0.41666666666666663,2.1504751991585542,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
