condition,interpretability_level,named_feature_rows,fold_stability_rows,substantive_feature_ranking_allowed,named_auxiliary_inspection_allowed,configuration,model_family,feature_set,experimental_condition,quadratic_weighted_kappa,accuracy,weighted_f1,mean_absolute_error,quadratic_weighted_kappa_rank,accuracy_rank,weighted_f1_rank,mean_absolute_error_rank
A_LOGISTIC_REGRESSION,inherent_named_features,1200,1456,True,True,A,LOGISTIC_REGRESSION,A,True,0.49500998003992014,0.47474747474747475,0.4736251402918069,0.7878787878787878,2,5,4,2
A_RIDGE,inherent_named_features,1200,1456,True,True,A,RIDGE,A,True,0.45222072678331093,0.48484848484848486,0.4906251453539338,0.8080808080808081,3,2,1,3
A_COMPLEMENT_NB,inherent_named_features,1200,1456,True,True,A,COMPLEMENT_NB,A,True,0.4185323383084577,0.4444444444444444,0.4229296307557177,0.8888888888888888,4,9,10,8
A_DECISION_TREE,inherent_named_features,300,364,True,True,A,DECISION_TREE,A,True,0.12122905027932973,0.32323232323232326,0.30461326113500026,1.2727272727272727,13,13,12,14
B_LOGISTIC_REGRESSION,inherent_named_features,1208,1464,True,True,B,LOGISTIC_REGRESSION,B,True,0.4124958011420893,0.48484848484848486,0.48799880957275804,0.8383838383838383,5,2,3,4
B_RIDGE,inherent_named_features,1208,1464,True,True,B,RIDGE,B,True,0.39424280350438046,0.494949494949495,0.49039849039849037,0.8686868686868687,8,1,2,6
B_COMPLEMENT_NB,inherent_named_features,1208,1464,True,True,B,COMPLEMENT_NB,B,True,0.393056416615003,0.4444444444444444,0.425881027939347,0.9090909090909091,9,9,9,10
B_DECISION_TREE,inherent_named_features,302,366,True,True,B,DECISION_TREE,B,True,0.15909732016925238,0.30303030303030304,0.2793318696644639,1.2626262626262625,12,15,14,12
C_LOGISTIC_REGRESSION,inherent_named_features,1224,1480,True,True,C,LOGISTIC_REGRESSION,C,True,0.3851397409679619,0.45454545454545453,0.4494506717783219,0.8686868686868687,10,7,7,6
C_RIDGE,inherent_named_features,1224,1480,True,True,C,RIDGE,C,True,0.3658780406531156,0.41414141414141414,0.41250087647739886,0.9191919191919192,11,11,11,11
C_COMPLEMENT_NB,inherent_named_features,1224,1480,True,True,C,COMPLEMENT_NB,C,True,0.3955293387146849,0.45454545454545453,0.4373200939238675,0.898989898989899,7,7,8,9
C_DECISION_TREE,inherent_named_features,306,370,True,True,C,DECISION_TREE,C,True,0.11377418423332364,0.31313131313131315,0.28949353676626405,1.2626262626262625,14,14,13,12
D_FROZEN_MINILM,named_auxiliary_coefficients_with_unnamed_text_embedding,24,24,False,True,D,FROZEN_MINILM,,True,0.40718562874251496,0.46464646464646464,0.4654691422245487,0.8484848484848485,6,6,5,5
E_FINETUNED_BERT,opaque_end_to_end_transformer,0,0,False,False,E,FINETUNED_BERT,,True,0.6227259170891739,0.48484848484848486,0.45446553176315807,0.7171717171717171,1,2,6,1
