condition,class_label,feature,feature_group,weight_type,mean_weight_missing_as_zero,sample_std_weight_missing_as_zero,median_weight_missing_as_zero,mean_absolute_weight_missing_as_zero,minimum_weight,maximum_weight,fold_presence_count,fold_presence_fraction,nonzero_fold_count,positive_fold_fraction,negative_fold_fraction,sign_consistency_nonzero,top_k_fold_count,top_k_fold_fraction
A_LOGISTIC_REGRESSION,1,brain,textual,coefficient,-1.0543113043893395,1.0833767915236674,-0.6727290857444517,1.0543113043893395,-2.38417723210012,-0.085795568843259,5,1.0,5,0.0,1.0,1.0,5,1.0
A_LOGISTIC_REGRESSION,1,adhd,textual,coefficient,1.0063274048606416,0.9735855094003248,0.7749501164870011,1.0063274048606416,0.0881246928186628,2.030255333926614,5,1.0,5,1.0,0.0,1.0,5,1.0
A_LOGISTIC_REGRESSION,1,common,textual,coefficient,0.8855196834927478,0.9243499221554684,0.57279995080753,0.8855196834927478,0.0731199322246719,2.1101584578453965,5,1.0,5,1.0,0.0,1.0,5,1.0
A_LOGISTIC_REGRESSION,1,tasks,textual,coefficient,0.67804550493455,0.6831407991339086,0.4562368513935488,0.67804550493455,0.0580675405576383,1.4109429423131494,5,1.0,5,1.0,0.0,1.0,5,1.0
A_LOGISTIC_REGRESSION,1,don,textual,coefficient,-1.119055519304374,1.1474589567387212,-0.8002376242905405,1.119055519304374,-2.3936455957013174,-0.0550307204026256,5,1.0,5,0.0,1.0,1.0,4,0.8
A_LOGISTIC_REGRESSION,1,problems,textual,coefficient,0.8566272598449803,0.8234502784750637,0.767880944633067,0.8566272598449803,0.0549623601769668,1.7232552649588524,5,1.0,5,1.0,0.0,1.0,4,0.8
A_LOGISTIC_REGRESSION,1,school,textual,coefficient,0.8475316995081847,0.8603289897785852,0.6045381955940419,0.8475316995081847,0.0339917023168482,1.8917840994421748,5,1.0,5,1.0,0.0,1.0,4,0.8
A_LOGISTIC_REGRESSION,1,want,textual,coefficient,-0.7550039526350624,0.8082559024114716,-0.5263106337910911,0.7550039526350624,-1.9760180287010756,-0.0646916590286861,5,1.0,5,0.0,1.0,1.0,4,0.8
A_LOGISTIC_REGRESSION,1,adhd medication,textual,coefficient,0.7420691964325232,0.7884325302707506,0.4627881154353065,0.7420691964325232,5.516078596148914e-05,1.665480843083077,5,1.0,5,1.0,0.0,1.0,4,0.8
A_LOGISTIC_REGRESSION,1,autism,textual,coefficient,0.5918694342181144,0.5534299699115239,0.5133549521511693,0.5918694342181144,0.062286464199063,1.337642309844477,5,1.0,5,1.0,0.0,1.0,4,0.8
A_LOGISTIC_REGRESSION,1,thing,textual,coefficient,-0.6963185695489454,0.7154396558467663,-0.4252483762980831,0.6963185695489454,-1.6202442418767478,-0.0718358748976515,5,1.0,5,0.0,1.0,1.0,3,0.6
A_LOGISTIC_REGRESSION,1,signs,textual,coefficient,0.6754358409099005,0.6575229294857747,0.4831009073245358,0.6754358409099005,0.0567263814972889,1.5776641039993615,5,1.0,5,1.0,0.0,1.0,3,0.6
A_LOGISTIC_REGRESSION,1,anxiety,textual,coefficient,0.6330187467391593,0.6965252989210405,0.3442117879989793,0.6330187467391593,0.0697391891077465,1.686376044673665,5,1.0,5,1.0,0.0,1.0,3,0.6
A_LOGISTIC_REGRESSION,1,symptoms,textual,coefficient,0.5333915836608188,0.4141696424571765,0.7275199351739967,0.5333915836608188,0.0748201363188271,0.8857453885461042,5,1.0,5,1.0,0.0,1.0,3,0.6
A_LOGISTIC_REGRESSION,1,depression,textual,coefficient,-0.6656035587041647,0.7537966003419644,-0.4307120132507258,0.6656035587041647,-1.793082629879724,-0.0305408881909011,5,1.0,5,0.0,1.0,1.0,2,0.4
A_LOGISTIC_REGRESSION,1,function,textual,coefficient,0.6042499819233251,0.7980951280682212,0.032742377868626,0.6042499819233251,0.0,1.4983767190279436,4,0.8,4,0.8,0.0,1.0,2,0.4
A_LOGISTIC_REGRESSION,1,dopamine,textual,coefficient,-0.6034548079995389,0.6270471742369652,-0.3608270240174108,0.6034548079995389,-1.4642233060448633,-0.0475628594681737,5,1.0,5,0.0,1.0,1.0,2,0.4
A_LOGISTIC_REGRESSION,1,doesn,textual,coefficient,-0.5604810117920456,0.5868202847246166,-0.427740752607477,0.5604810117920456,-1.4086528118831367,-0.0309214392164831,5,1.0,5,0.0,1.0,1.0,2,0.4
A_LOGISTIC_REGRESSION,1,difficulty,textual,coefficient,0.513082435106117,0.5948302555489977,0.2134628226659403,0.513082435106117,0.0187687834403326,1.3616651993266706,5,1.0,5,1.0,0.0,1.0,2,0.4
A_LOGISTIC_REGRESSION,1,diet,textual,coefficient,-0.506988552276167,0.4916314349886775,-0.3753490197745016,0.506988552276167,-1.1427687654501706,-0.0556009615106807,5,1.0,5,0.0,1.0,1.0,2,0.4
A_LOGISTIC_REGRESSION,1,diagnosis,textual,coefficient,0.4162962106684595,0.3468620005154195,0.3876456026593599,0.4162962106684595,0.0652153750133327,0.8604490581173391,5,1.0,5,1.0,0.0,1.0,2,0.4
A_LOGISTIC_REGRESSION,1,ve,textual,coefficient,-0.3826827869484782,0.4551988436021205,-0.2033261435725873,0.3826827869484782,-1.1499365920035285,-0.0456830404561701,5,1.0,5,0.0,1.0,1.0,2,0.4
A_LOGISTIC_REGRESSION,1,girls,textual,coefficient,0.1102520160395142,0.1838926770025573,0.0576251416241343,0.1102520160395142,0.0,0.4350795453763442,3,0.6,3,0.6,0.0,1.0,2,0.4
A_LOGISTIC_REGRESSION,1,best,textual,coefficient,0.6194650177288608,0.8588716100816146,0.0336375179181203,0.6194650177288608,0.0,1.8650081104632643,4,0.8,4,0.8,0.0,1.0,1,0.2
A_LOGISTIC_REGRESSION,1,harder,textual,coefficient,0.6178248099025533,0.6708776167524225,0.3585917314404887,0.6178248099025533,0.0318007266059801,1.506163895816521,5,1.0,5,1.0,0.0,1.0,1,0.2
A_LOGISTIC_REGRESSION,1,physical,textual,coefficient,-0.5946350659522984,0.6721308648122635,-0.3077978804835072,0.5946350659522984,-1.4799756766379863,0.0,4,0.8,4,0.0,0.8,1.0,1,0.2
A_LOGISTIC_REGRESSION,1,answer,textual,coefficient,0.5830868429259586,0.6554336499723288,0.3061253647727616,0.5830868429259586,0.0386457384034254,1.507390165580906,5,1.0,5,1.0,0.0,1.0,1,0.2
A_LOGISTIC_REGRESSION,1,adhd symptoms,textual,coefficient,0.5819174884298833,0.5757791509365646,0.511708844732777,0.5819174884298833,0.0424692305533253,1.3841826123619851,5,1.0,5,1.0,0.0,1.0,1,0.2
A_LOGISTIC_REGRESSION,1,adhd women,textual,coefficient,-0.5795145160861355,0.6778014064287211,-0.236193711293596,0.5795145160861355,-1.4230085778747754,0.0,4,0.8,4,0.0,0.8,1.0,1,0.2
A_LOGISTIC_REGRESSION,1,impulsivity,textual,coefficient,0.5720950482740659,0.6767614047840809,0.2969895371135991,0.5720950482740659,0.0452090119916186,1.638642874607043,5,1.0,5,1.0,0.0,1.0,1,0.2
A_LOGISTIC_REGRESSION,1,understanding,textual,coefficient,0.5642079519273268,0.7320347377456464,0.0487932094951194,0.5642079519273268,0.0,1.3781863546946251,4,0.8,4,0.8,0.0,1.0,1,0.2
A_LOGISTIC_REGRESSION,1,women,textual,coefficient,-0.5392160031619746,0.6577941946413093,-0.1528190778296727,0.5392160031619746,-1.4364352083892422,-0.0271349161176995,5,1.0,5,0.0,1.0,1.0,1,0.2
A_LOGISTIC_REGRESSION,1,child,textual,coefficient,-0.5375801921818534,0.6647735569180054,-0.1242738474065509,0.5375801921818534,-1.472051473119363,-0.0360227808946474,5,1.0,5,0.0,1.0,1.0,1,0.2
A_LOGISTIC_REGRESSION,1,impact,textual,coefficient,0.5311593203854826,0.7511868382870106,0.2767876314306108,0.5311593203854826,0.0419904175613581,1.840186823178624,5,1.0,5,1.0,0.0,1.0,1,0.2
A_LOGISTIC_REGRESSION,1,help,textual,coefficient,-0.5073828830811264,0.590541937615276,-0.2058656447553807,0.5073828830811264,-1.3853593940768307,-0.0380815610795211,5,1.0,5,0.0,1.0,1.0,1,0.2
A_LOGISTIC_REGRESSION,1,sleep,textual,coefficient,0.4777964332723912,0.5288596627676027,0.2931958471348631,0.4926237807658126,-0.0370683687335535,1.1170865331305768,5,1.0,5,0.8,0.2,0.8,1,0.2
A_LOGISTIC_REGRESSION,1,uh,textual,coefficient,-0.4809925995268635,0.4607140465998997,-0.453612388635834,0.4809925995268635,-1.024777725114007,-0.0239453697862648,5,1.0,5,0.0,1.0,1.0,1,0.2
