condition_a,condition_b,metric,mean_a_minus_b,sample_std_a_minus_b,minimum_a_minus_b,maximum_a_minus_b,condition_a_fold_wins,condition_b_fold_wins,ties,higher_is_better,inferential_test_performed
A_LOGISTIC_REGRESSION,A_RIDGE,quadratic_weighted_kappa,0.010805949282067837,0.05383252931077518,-0.0346066415301427,0.0928527469752951,2,3,0,True,False
A_LOGISTIC_REGRESSION,A_RIDGE,accuracy,-0.004999999999999993,0.04925563608088998,-0.07692307692307693,0.05128205128205132,2,2,1,True,False
A_LOGISTIC_REGRESSION,A_RIDGE,weighted_f1,-0.0018693967982762794,0.03831174432671253,-0.05989184576764234,0.041030177253087385,3,2,0,True,False
A_LOGISTIC_REGRESSION,A_RIDGE,mean_absolute_error,-0.005384615384615344,0.09471747671088639,-0.10256410256410231,0.1282051282051282,3,2,0,False,False
A_LOGISTIC_REGRESSION,A_COMPLEMENT_NB,quadratic_weighted_kappa,0.015917847105387108,0.18405964148169962,-0.20737087762785544,0.26468524458700887,2,3,0,True,False
A_LOGISTIC_REGRESSION,A_COMPLEMENT_NB,accuracy,-0.056282051282051285,0.04597633241864012,-0.10256410256410259,0.0,0,4,1,True,False
A_LOGISTIC_REGRESSION,A_COMPLEMENT_NB,weighted_f1,-0.012368031802705948,0.0546158047730984,-0.08428764218237911,0.041633074935400416,3,2,0,True,False
A_LOGISTIC_REGRESSION,A_COMPLEMENT_NB,mean_absolute_error,0.0005128205128205998,0.14230653730185008,-0.12820512820512808,0.17948717948717952,3,2,0,False,False
A_LOGISTIC_REGRESSION,A_DECISION_TREE,quadratic_weighted_kappa,0.07037893498413338,0.23393246912220647,-0.2126262417599703,0.3076334816462738,3,2,0,True,False
A_LOGISTIC_REGRESSION,A_DECISION_TREE,accuracy,0.07166666666666668,0.1000414936924851,-0.02564102564102566,0.17948717948717952,3,1,1,True,False
A_LOGISTIC_REGRESSION,A_DECISION_TREE,weighted_f1,0.1469281815488673,0.1251044744177493,0.008009911235717704,0.2795024469423002,5,0,0,True,False
A_LOGISTIC_REGRESSION,A_DECISION_TREE,mean_absolute_error,-0.0757692307692307,0.12906156250604706,-0.22499999999999987,0.10256410256410264,3,1,1,False,False
A_LOGISTIC_REGRESSION,B_LOGISTIC_REGRESSION,quadratic_weighted_kappa,-0.0606203753520991,0.0935629593527642,-0.1616985775936926,0.06971114561202807,1,4,0,True,False
A_LOGISTIC_REGRESSION,B_LOGISTIC_REGRESSION,accuracy,-1.1102230246251566e-17,0.06280742930213276,-0.05128205128205132,0.10256410256410253,1,2,2,True,False
A_LOGISTIC_REGRESSION,B_LOGISTIC_REGRESSION,weighted_f1,0.0010945887665751552,0.04985239074180709,-0.048043184885290136,0.07639611850138162,3,2,0,True,False
A_LOGISTIC_REGRESSION,B_LOGISTIC_REGRESSION,mean_absolute_error,0.03589743589743592,0.10664940688761756,-0.1282051282051282,0.15384615384615385,1,3,1,False,False
A_LOGISTIC_REGRESSION,B_RIDGE,quadratic_weighted_kappa,0.047507850863359694,0.07667983440942167,-0.04916139456434482,0.1222307858986418,3,2,0,True,False
A_LOGISTIC_REGRESSION,B_RIDGE,accuracy,0.035897435897435895,0.08619351955882881,-0.025641025641025716,0.17948717948717952,2,2,1,True,False
A_LOGISTIC_REGRESSION,B_RIDGE,weighted_f1,0.02378248653417364,0.06308364695317739,-0.028117336351631772,0.12419566195309889,3,2,0,True,False
A_LOGISTIC_REGRESSION,B_RIDGE,mean_absolute_error,-0.08705128205128201,0.15132577594976399,-0.33333333333333337,0.02564102564102566,3,2,0,False,False
A_LOGISTIC_REGRESSION,B_COMPLEMENT_NB,quadratic_weighted_kappa,0.004572807256189198,0.09983866330266823,-0.1531477699819629,0.11664213624894867,3,2,0,True,False
A_LOGISTIC_REGRESSION,B_COMPLEMENT_NB,accuracy,-0.046025641025641016,0.03353121736239345,-0.07692307692307693,0.0,0,4,1,True,False
A_LOGISTIC_REGRESSION,B_COMPLEMENT_NB,weighted_f1,-0.02907230106270604,0.031991337097537625,-0.06100082712985938,0.0054236086494151015,2,3,0,True,False
A_LOGISTIC_REGRESSION,B_COMPLEMENT_NB,mean_absolute_error,0.02564102564102566,0.06783977720678436,-0.05128205128205121,0.1282051282051282,1,2,2,False,False
A_LOGISTIC_REGRESSION,B_DECISION_TREE,quadratic_weighted_kappa,0.13095293811021191,0.15434307357189084,-0.02413730489779109,0.3076334816462738,3,2,0,True,False
A_LOGISTIC_REGRESSION,B_DECISION_TREE,accuracy,0.10243589743589745,0.09606876577771734,-0.02564102564102566,0.17948717948717952,4,1,0,True,False
A_LOGISTIC_REGRESSION,B_DECISION_TREE,weighted_f1,0.15248046552220393,0.09202647131866584,0.03754805988056603,0.2795024469423002,5,0,0,True,False
A_LOGISTIC_REGRESSION,B_DECISION_TREE,mean_absolute_error,-0.1885897435897435,0.13957323184620588,-0.41025641025641024,-0.05128205128205121,5,0,0,False,False
A_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,quadratic_weighted_kappa,-0.015509036061397738,0.10363565168782936,-0.1467787114845937,0.1216410375893135,2,3,0,True,False
A_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,accuracy,-0.04102564102564103,0.061751767070729706,-0.1282051282051282,0.025641025641025605,1,3,1,True,False
A_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,weighted_f1,-0.02912027781222032,0.05682351304614674,-0.11141032101761417,0.039558881664144785,1,4,0,True,False
A_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,mean_absolute_error,0.031025641025641048,0.09109062324770585,-0.04999999999999993,0.17948717948717952,2,2,1,False,False
A_LOGISTIC_REGRESSION,C_RIDGE,quadratic_weighted_kappa,-0.013545157333692964,0.08343313272552336,-0.10891317733990141,0.11522979729521038,2,3,0,True,False
A_LOGISTIC_REGRESSION,C_RIDGE,accuracy,-0.025256410256410244,0.05972831872618442,-0.07692307692307693,0.05128205128205132,2,3,0,True,False
A_LOGISTIC_REGRESSION,C_RIDGE,weighted_f1,-0.02499584224463537,0.05672426755023075,-0.07175985663082446,0.05702289912816222,2,3,0,True,False
A_LOGISTIC_REGRESSION,C_RIDGE,mean_absolute_error,0.024871794871794917,0.12062051925229916,-0.1282051282051282,0.15000000000000002,2,3,0,False,False
A_LOGISTIC_REGRESSION,C_COMPLEMENT_NB,quadratic_weighted_kappa,0.009379507858196596,0.16835063033273834,-0.14273969529854158,0.2821560301938585,2,3,0,True,False
A_LOGISTIC_REGRESSION,C_COMPLEMENT_NB,accuracy,-0.046153846153846156,0.04586806107691877,-0.10256410256410259,0.0,0,3,2,True,False
A_LOGISTIC_REGRESSION,C_COMPLEMENT_NB,weighted_f1,-0.02294714785723132,0.043137876689422205,-0.07809484422387647,0.03016666666666651,2,3,0,True,False
A_LOGISTIC_REGRESSION,C_COMPLEMENT_NB,mean_absolute_error,0.021025641025641084,0.0940784570532771,-0.09999999999999987,0.1282051282051282,2,3,0,False,False
A_LOGISTIC_REGRESSION,C_DECISION_TREE,quadratic_weighted_kappa,0.17443697823237583,0.145395658170128,-0.0318073808052618,0.3115546218487395,4,1,0,True,False
A_LOGISTIC_REGRESSION,C_DECISION_TREE,accuracy,0.0614102564102564,0.02318528688505155,0.025000000000000022,0.07692307692307693,5,0,0,True,False
A_LOGISTIC_REGRESSION,C_DECISION_TREE,weighted_f1,0.10136978657751691,0.033811786788802985,0.0643637064689696,0.1453333333333332,5,0,0,True,False
A_LOGISTIC_REGRESSION,C_DECISION_TREE,mean_absolute_error,-0.23987179487179483,0.13892402579869226,-0.4358974358974358,-0.07692307692307676,5,0,0,False,False
A_LOGISTIC_REGRESSION,D_FROZEN_MINILM,quadratic_weighted_kappa,-0.06378224885588922,0.09484877707962332,-0.2266069584252483,0.013854679802955683,1,4,0,True,False
A_LOGISTIC_REGRESSION,D_FROZEN_MINILM,accuracy,-0.040769230769230766,0.08225335693546612,-0.1538461538461539,0.05128205128205132,2,3,0,True,False
A_LOGISTIC_REGRESSION,D_FROZEN_MINILM,weighted_f1,-0.04042736043157948,0.07613390420723698,-0.15279972527724373,0.03406807617333918,2,3,0,True,False
A_LOGISTIC_REGRESSION,D_FROZEN_MINILM,mean_absolute_error,0.045769230769230826,0.12204730924368055,-0.10256410256410231,0.23076923076923073,1,3,1,False,False
A_LOGISTIC_REGRESSION,E_FINETUNED_BERT,quadratic_weighted_kappa,0.18382535164509659,0.21253378668839365,-0.036355844722211206,0.41971949730438657,3,2,0,True,False
A_LOGISTIC_REGRESSION,E_FINETUNED_BERT,accuracy,0.11230769230769229,0.08627738395575357,0.025641025641025605,0.2564102564102564,5,0,0,True,False
A_LOGISTIC_REGRESSION,E_FINETUNED_BERT,weighted_f1,0.1286814843123866,0.09488877257897906,0.029068132293938787,0.2864083285135916,5,0,0,True,False
A_LOGISTIC_REGRESSION,E_FINETUNED_BERT,mean_absolute_error,-0.13346153846153835,0.16442801262147583,-0.38461538461538425,0.025000000000000022,4,1,0,False,False
A_LOGISTIC_REGRESSION,BASELINE_MOST_FREQUENT,quadratic_weighted_kappa,0.23461425527797833,0.12079968703755617,0.0364520048602673,0.3294117647058824,5,0,0,True,False
A_LOGISTIC_REGRESSION,BASELINE_MOST_FREQUENT,accuracy,-0.025641025641025626,0.06280742930213278,-0.10256410256410259,0.05128205128205132,1,2,2,True,False
A_LOGISTIC_REGRESSION,BASELINE_MOST_FREQUENT,weighted_f1,0.14710430969422622,0.06110424574666999,0.07991578314158959,0.2147466568519199,5,0,0,True,False
A_LOGISTIC_REGRESSION,BASELINE_MOST_FREQUENT,mean_absolute_error,-0.16320512820512809,0.08007895922598288,-0.2820512820512818,-0.07692307692307676,5,0,0,False,False
A_LOGISTIC_REGRESSION,BASELINE_STRATIFIED_RANDOM,quadratic_weighted_kappa,0.22557039230431694,0.15426063142425742,-0.021585880917736222,0.39253378963784447,4,1,0,True,False
A_LOGISTIC_REGRESSION,BASELINE_STRATIFIED_RANDOM,accuracy,0.04589743589743591,0.07340457360882197,-0.07692307692307687,0.10256410256410262,4,1,0,True,False
A_LOGISTIC_REGRESSION,BASELINE_STRATIFIED_RANDOM,weighted_f1,0.05817292996284653,0.06569993501202537,-0.05245381858285081,0.11526053500808059,4,1,0,True,False
A_LOGISTIC_REGRESSION,BASELINE_STRATIFIED_RANDOM,mean_absolute_error,-0.16820512820512817,0.10468323591510151,-0.3076923076923076,-0.05128205128205121,5,0,0,False,False
A_RIDGE,A_COMPLEMENT_NB,quadratic_weighted_kappa,0.005111897823319273,0.19457551970683568,-0.20368946919564285,0.2991774144409465,2,3,0,True,False
A_RIDGE,A_COMPLEMENT_NB,accuracy,-0.05128205128205129,0.06537204504606137,-0.1538461538461539,0.0,0,3,2,True,False
A_RIDGE,A_COMPLEMENT_NB,weighted_f1,-0.010498635004429668,0.0685747945113976,-0.1253178194354665,0.05766482096714648,3,2,0,True,False
A_RIDGE,A_COMPLEMENT_NB,mean_absolute_error,0.005897435897435943,0.15751918785679334,-0.1499999999999999,0.2564102564102564,2,2,1,False,False
A_RIDGE,A_DECISION_TREE,quadratic_weighted_kappa,0.05957298570206555,0.2689206840488692,-0.30547898873526536,0.3421256515002114,3,2,0,True,False
A_RIDGE,A_DECISION_TREE,accuracy,0.07666666666666666,0.1189630299645917,-0.02564102564102566,0.2564102564102564,3,2,0,True,False
A_RIDGE,A_DECISION_TREE,weighted_f1,0.14879757834714358,0.14253691760494722,-0.008934434740886399,0.3393942927099425,4,1,0,True,False
A_RIDGE,A_DECISION_TREE,mean_absolute_error,-0.07038461538461535,0.20526858177528481,-0.2749999999999999,0.20512820512820495,3,2,0,False,False
A_RIDGE,B_LOGISTIC_REGRESSION,quadratic_weighted_kappa,-0.07142632463416694,0.1171085889201558,-0.16796008869179596,0.10420331546596567,1,4,0,True,False
A_RIDGE,B_LOGISTIC_REGRESSION,accuracy,0.004999999999999982,0.049255636080889925,-0.07692307692307687,0.05128205128205121,3,1,1,True,False
A_RIDGE,B_LOGISTIC_REGRESSION,weighted_f1,0.0029639855648514344,0.04005722419826368,-0.06498753086189424,0.03536594124829423,4,1,0,True,False
A_RIDGE,B_LOGISTIC_REGRESSION,mean_absolute_error,0.04128205128205127,0.100001643641982,-0.05128205128205132,0.1794871794871793,2,3,0,False,False
A_RIDGE,B_RIDGE,quadratic_weighted_kappa,0.03670190158129185,0.0740432838298316,-0.053382663847780065,0.11747127362002699,3,2,0,True,False
A_RIDGE,B_RIDGE,accuracy,0.040897435897435885,0.056221274351243966,-0.02564102564102566,0.1282051282051282,4,1,0,True,False
A_RIDGE,B_RIDGE,weighted_f1,0.025651883332449922,0.04271246192388907,-0.03671942092994729,0.0831654847000115,4,1,0,True,False
A_RIDGE,B_RIDGE,mean_absolute_error,-0.08166666666666667,0.11383178761285191,-0.2564102564102565,0.05128205128205143,4,1,0,False,False
A_RIDGE,B_COMPLEMENT_NB,quadratic_weighted_kappa,-0.006233142025878638,0.11139668670698524,-0.1494663615497503,0.15113430610288628,3,2,0,True,False
A_RIDGE,B_COMPLEMENT_NB,accuracy,-0.041025641025641026,0.06175176707072972,-0.12820512820512825,0.025641025641025605,1,3,1,True,False
A_RIDGE,B_COMPLEMENT_NB,weighted_f1,-0.027202904264429763,0.05600192284406916,-0.10078100359430286,0.028320750867169897,2,3,0,True,False
A_RIDGE,B_COMPLEMENT_NB,mean_absolute_error,0.031025641025641003,0.11064481379259439,-0.07692307692307687,0.20512820512820507,2,3,0,False,False
A_RIDGE,B_DECISION_TREE,quadratic_weighted_kappa,0.12014698882814408,0.18543307165970901,-0.1143717566077814,0.3421256515002114,3,2,0,True,False
A_RIDGE,B_DECISION_TREE,accuracy,0.10743589743589743,0.10495764776232427,-0.02564102564102566,0.2564102564102564,4,1,0,True,False
A_RIDGE,B_DECISION_TREE,weighted_f1,0.1543498623204802,0.11696112099475175,0.028945975302250515,0.3393942927099425,5,0,0,True,False
A_RIDGE,B_DECISION_TREE,mean_absolute_error,-0.1832051282051282,0.1349327760160315,-0.30769230769230793,0.02564102564102566,4,1,0,False,False
A_RIDGE,C_LOGISTIC_REGRESSION,quadratic_weighted_kappa,-0.026314985343465574,0.1259958089196352,-0.1807359307359307,0.1561332074432511,2,3,0,True,False
A_RIDGE,C_LOGISTIC_REGRESSION,accuracy,-0.03602564102564104,0.058863468767076314,-0.1282051282051282,0.024999999999999967,1,3,1,True,False
A_RIDGE,C_LOGISTIC_REGRESSION,weighted_f1,-0.027250881013944038,0.055584875764041704,-0.12001240559592968,0.015145509662750967,2,3,0,True,False
A_RIDGE,C_LOGISTIC_REGRESSION,mean_absolute_error,0.03641025641025639,0.12569857394751616,-0.09999999999999998,0.2051282051282053,2,3,0,False,False
A_RIDGE,C_RIDGE,quadratic_weighted_kappa,-0.024351106615760804,0.08484124719023477,-0.0834855603616422,0.11891120572742298,1,4,0,True,False
A_RIDGE,C_RIDGE,accuracy,-0.02025641025641025,0.02774093546239439,-0.051282051282051266,0.0,0,2,3,True,False
A_RIDGE,C_RIDGE,weighted_f1,-0.02312644544635909,0.03557628731664752,-0.06575675786202101,0.015992721875074833,1,4,0,True,False
A_RIDGE,C_RIDGE,mean_absolute_error,0.03025641025641026,0.07051048947195933,-0.05128205128205132,0.10256410256410275,2,3,0,False,False
A_RIDGE,C_COMPLEMENT_NB,quadratic_weighted_kappa,-0.0014264414238712385,0.1801961824237808,-0.11002660683791393,0.3166482000477961,1,4,0,True,False
A_RIDGE,C_COMPLEMENT_NB,accuracy,-0.041153846153846166,0.05884950551876169,-0.10256410256410259,0.024999999999999967,1,3,1,True,False
A_RIDGE,C_COMPLEMENT_NB,weighted_f1,-0.02107775105895504,0.05373672243685634,-0.08669692880219199,0.04619841269841257,2,3,0,True,False
A_RIDGE,C_COMPLEMENT_NB,mean_absolute_error,0.026410256410256426,0.11316817063775653,-0.1499999999999999,0.15384615384615385,1,3,1,False,False
A_RIDGE,C_DECISION_TREE,quadratic_weighted_kappa,0.16363102895030798,0.183327397026577,-0.12466012778055689,0.3421256515002114,4,1,0,True,False
A_RIDGE,C_DECISION_TREE,accuracy,0.0664102564102564,0.039017351456261166,0.025641025641025605,0.12820512820512814,5,0,0,True,False
A_RIDGE,C_DECISION_TREE,weighted_f1,0.10323918337579319,0.05376587985793725,0.02333352921588222,0.16136507936507927,5,0,0,True,False
A_RIDGE,C_DECISION_TREE,mean_absolute_error,-0.23448717948717945,0.20346703173881067,-0.4358974358974359,0.02564102564102555,4,1,0,False,False
A_RIDGE,D_FROZEN_MINILM,quadratic_weighted_kappa,-0.07458819813795706,0.09612773769978447,-0.1920003168951056,0.04834684965689329,1,4,0,True,False
A_RIDGE,D_FROZEN_MINILM,accuracy,-0.035769230769230775,0.04294489075944387,-0.07692307692307698,0.025641025641025716,1,4,0,True,False
A_RIDGE,D_FROZEN_MINILM,weighted_f1,-0.0385579636333032,0.04284433335798717,-0.09290787950960139,0.00960936713624888,1,4,0,True,False
A_RIDGE,D_FROZEN_MINILM,mean_absolute_error,0.051153846153846175,0.04064426097289593,0.0,0.10256410256410253,0,4,1,False,False
A_RIDGE,E_FINETUNED_BERT,quadratic_weighted_kappa,0.17301940236302876,0.22175537605795936,-0.0930979898214499,0.42340090573659916,3,2,0,True,False
A_RIDGE,E_FINETUNED_BERT,accuracy,0.1173076923076923,0.08220388453399649,0.0,0.2051282051282051,4,0,1,True,False
A_RIDGE,E_FINETUNED_BERT,weighted_f1,0.13055088111066288,0.08500797368444354,0.012123786317334684,0.24537815126050422,5,0,0,True,False
A_RIDGE,E_FINETUNED_BERT,mean_absolute_error,-0.12807692307692303,0.13212003437991376,-0.3076923076923074,0.02564102564102555,4,1,0,False,False
A_RIDGE,BASELINE_MOST_FREQUENT,quadratic_weighted_kappa,0.22380830599591048,0.16057243425610232,-0.0564007421150278,0.334061135371179,4,1,0,True,False
A_RIDGE,BASELINE_MOST_FREQUENT,accuracy,-0.020641025641025636,0.07976636248335778,-0.10256410256410259,0.07692307692307693,2,2,1,True,False
A_RIDGE,BASELINE_MOST_FREQUENT,weighted_f1,0.14897370649250252,0.07597249875635881,0.06297143716498549,0.23538548100882312,5,0,0,True,False
A_RIDGE,BASELINE_MOST_FREQUENT,mean_absolute_error,-0.15782051282051274,0.13173381055819133,-0.3076923076923075,0.02564102564102555,4,1,0,False,False
A_RIDGE,BASELINE_STRATIFIED_RANDOM,quadratic_weighted_kappa,0.21476444302224915,0.1589004452625984,-0.017904472485523626,0.42702595949178207,4,1,0,True,False
A_RIDGE,BASELINE_STRATIFIED_RANDOM,accuracy,0.050897435897435915,0.0958152156786987,-0.07692307692307687,0.1794871794871794,3,1,1,True,False
A_RIDGE,BASELINE_STRATIFIED_RANDOM,weighted_f1,0.06004232676112281,0.08841529825136647,-0.061055903161166325,0.17515238077572293,4,1,0,True,False
A_RIDGE,BASELINE_STRATIFIED_RANDOM,mean_absolute_error,-0.16282051282051282,0.14698929013211717,-0.33333333333333326,0.02564102564102566,4,1,0,False,False
A_COMPLEMENT_NB,A_DECISION_TREE,quadratic_weighted_kappa,0.05446108787874626,0.1634964015879734,-0.2089228062057301,0.2274414032210868,4,1,0,True,False
A_COMPLEMENT_NB,A_DECISION_TREE,accuracy,0.12794871794871795,0.1440822597247485,-0.02564102564102566,0.2820512820512821,4,1,0,True,False
A_COMPLEMENT_NB,A_DECISION_TREE,weighted_f1,0.15929621335157323,0.1716292614660792,-0.024270938716627388,0.3485347985347985,4,1,0,True,False
