condition,configuration,model_family,feature_set,experimental_condition,folds,quadratic_weighted_kappa_mean,quadratic_weighted_kappa_sample_std,quadratic_weighted_kappa_minimum,quadratic_weighted_kappa_maximum,accuracy_mean,accuracy_sample_std,accuracy_minimum,accuracy_maximum,weighted_f1_mean,weighted_f1_sample_std,weighted_f1_minimum,weighted_f1_maximum,mean_absolute_error_mean,mean_absolute_error_sample_std,mean_absolute_error_minimum,mean_absolute_error_maximum,quadratic_weighted_kappa_rank,accuracy_rank,weighted_f1_rank,mean_absolute_error_rank
A_LOGISTIC_REGRESSION,A,LOGISTIC_REGRESSION,A,True,5,0.23461425527797833,0.12079968703755617,0.0364520048602673,0.3294117647058824,0.38769230769230767,0.05482624517293987,0.3333333333333333,0.4615384615384615,0.38896578155569805,0.054163824856180126,0.3186104218362283,0.4534412955465586,0.8824358974358976,0.0695676750148307,0.7692307692307693,0.9487179487179488,5,9,8,8
A_RIDGE,A,RIDGE,A,True,5,0.22380830599591048,0.16057243425610232,-0.0564007421150278,0.334061135371179,0.3926923076923077,0.0725062059508058,0.3076923076923077,0.4871794871794871,0.39083517835397436,0.06902333905311074,0.3016660758596242,0.4740801197034618,0.8878205128205128,0.1125451914492271,0.7435897435897436,1.051282051282051,8,8,7,9
A_COMPLEMENT_NB,A,COMPLEMENT_NB,A,True,5,0.2186964081725912,0.19880582905030253,0.0348837209302325,0.5119771183410797,0.443974358974359,0.09393552211100405,0.3333333333333333,0.5641025641025641,0.40133381335840407,0.10022895660046363,0.2863295718838832,0.5377289377289377,0.8819230769230769,0.2038906982454869,0.5897435897435898,1.0256410256410255,9,1,6,7
A_DECISION_TREE,A,DECISION_TREE,A,True,5,0.16423532029384494,0.18099592310305176,-0.0080645161290324,0.440506329113924,0.31602564102564096,0.059255877684033995,0.2307692307692307,0.375,0.24203760000683078,0.07802876464235885,0.1346858269935193,0.3117075232459848,0.9582051282051282,0.15327779630539012,0.7692307692307693,1.15,11,14,14,10
B_LOGISTIC_REGRESSION,B,LOGISTIC_REGRESSION,B,True,5,0.29523463063007743,0.1370926215515719,0.1019736842105263,0.4634146341463414,0.38769230769230767,0.048460860122779274,0.3333333333333333,0.4615384615384615,0.3878711927891229,0.0431949977806907,0.3403263403263403,0.4547594112811504,0.8465384615384617,0.08154340010846482,0.717948717948718,0.925,2,9,9,2
B_RIDGE,B,RIDGE,B,True,5,0.18710640441461862,0.16279114244066054,-0.0857787810383745,0.3488372093023255,0.3517948717948718,0.06924026525567241,0.282051282051282,0.4358974358974359,0.3651832950215244,0.06432099141946543,0.275470049663598,0.4395698078562529,0.9694871794871794,0.1166046608965559,0.8461538461538461,1.1025641025641026,10,11,10,11
B_COMPLEMENT_NB,B,COMPLEMENT_NB,B,True,5,0.2300414480217891,0.16343609073552823,0.0075958982149638,0.4577540106951872,0.43371794871794866,0.07491448115804772,0.3333333333333333,0.5384615384615384,0.41803808261840414,0.07242584215724517,0.3131868131868132,0.5131921218877741,0.8567948717948719,0.1366419494654356,0.6410256410256411,1.0,6,3,3,4
B_DECISION_TREE,B,DECISION_TREE,B,True,5,0.10366131716776641,0.12992604999423263,-0.0080645161290324,0.3287435456110154,0.28525641025641024,0.08314821648123621,0.1794871794871795,0.375,0.23648531603349418,0.0663155592289476,0.1346858269935193,0.3117075232459848,1.071025641025641,0.20102384222115144,0.8205128205128205,1.358974358974359,12,15,16,15
C_LOGISTIC_REGRESSION,C,LOGISTIC_REGRESSION,C,True,5,0.25012329133937605,0.18594676296592597,0.0007763975155278,0.4761904761904761,0.4287179487179487,0.05058500634115975,0.358974358974359,0.4871794871794871,0.41808605936791843,0.051332501402215465,0.3388699423182181,0.4667924667924668,0.8514102564102565,0.11822744380266827,0.717948717948718,0.975,3,4,2,3
C_RIDGE,C,RIDGE,C,True,5,0.24815941261167124,0.1515652622305218,0.0270848182466144,0.4084821428571428,0.4129487179487179,0.07288605302688753,0.3076923076923077,0.4871794871794871,0.41396162380033347,0.07166116363969088,0.306959706959707,0.4810931899641577,0.8575641025641024,0.10704206931032005,0.7692307692307693,1.0256410256410255,4,7,4,5
