condition,metric,observed,bootstrap_mean,ci_low,ci_high,confidence_level,valid_resamples,higher_is_better
A_LOGISTIC_REGRESSION,quadratic_weighted_kappa,0.3708865660085172,0.37365808320803545,0.1452135738157845,0.5891838735328064,0.95,10000,True
A_RIDGE,quadratic_weighted_kappa,0.22832501134816163,0.2305147225936056,-0.05401878238865933,0.4978503752471143,0.95,10000,True
A_COMPLEMENT_NB,quadratic_weighted_kappa,0.21970004053506276,0.2180510655524072,-0.04123313543874832,0.47232178414974124,0.95,10000,True
A_DECISION_TREE,quadratic_weighted_kappa,-0.14315863524446004,-0.13994809601404964,-0.313276777851787,0.020715630885122294,0.95,10000,True
B_LOGISTIC_REGRESSION,quadratic_weighted_kappa,0.1862955032119914,0.18879927690739828,-0.05692758476349935,0.429361663605056,0.95,10000,True
B_RIDGE,quadratic_weighted_kappa,0.13542045868219876,0.13892698667778255,-0.07862386426799592,0.36195512185234574,0.95,10000,True
B_COMPLEMENT_NB,quadratic_weighted_kappa,0.3406830955469088,0.3401574444899605,0.10753133163399255,0.546222034613761,0.95,10000,True
B_DECISION_TREE,quadratic_weighted_kappa,-0.08930500540151254,-0.08695670110118536,-0.24786535303776683,0.047151277013752435,0.95,10000,True
C_LOGISTIC_REGRESSION,quadratic_weighted_kappa,0.295173002990175,0.29742655883133445,0.05183312262958284,0.5410951188986233,0.95,10000,True
C_RIDGE,quadratic_weighted_kappa,0.23413566739606118,0.23672169059682568,-0.008311518233381157,0.4827622596468755,0.95,10000,True
C_COMPLEMENT_NB,quadratic_weighted_kappa,0.33065595716198126,0.3310334979508297,0.0941101216606046,0.5428820200261211,0.95,10000,True
C_DECISION_TREE,quadratic_weighted_kappa,0.10489157841654051,0.1036267095459735,-0.07526881720430101,0.2743105950653121,0.95,10000,True
D_FROZEN_MINILM,quadratic_weighted_kappa,0.19687930243230833,0.2012842689165483,-0.0799414749324071,0.46437468858993525,0.95,10000,True
E_FINETUNED_BERT,quadratic_weighted_kappa,0.30287430287430295,0.30385951735534894,0.08602150537634412,0.5132113579415661,0.95,10000,True
BASELINE_MOST_FREQUENT,quadratic_weighted_kappa,0.0,0.0,0.0,0.0,0.95,10000,True
BASELINE_STRATIFIED_RANDOM,quadratic_weighted_kappa,-0.013372335979941585,-0.014605517105495937,-0.2601452370781716,0.2298819888123876,0.95,10000,True
A_LOGISTIC_REGRESSION,accuracy,0.38,0.379592,0.26,0.52,0.95,10000,True
A_RIDGE,accuracy,0.44,0.43952600000000003,0.3,0.58,0.95,10000,True
A_COMPLEMENT_NB,accuracy,0.44,0.440028,0.32,0.56,0.95,10000,True
A_DECISION_TREE,accuracy,0.36,0.359778,0.28,0.42,0.95,10000,True
B_LOGISTIC_REGRESSION,accuracy,0.34,0.340288,0.22,0.46,0.95,10000,True
B_RIDGE,accuracy,0.28,0.280476,0.16,0.4,0.95,10000,True
B_COMPLEMENT_NB,accuracy,0.38,0.38028599999999996,0.26,0.5,0.95,10000,True
B_DECISION_TREE,accuracy,0.38,0.37972399999999995,0.32,0.44,0.95,10000,True
C_LOGISTIC_REGRESSION,accuracy,0.42,0.4197179999999999,0.3,0.54,0.95,10000,True
C_RIDGE,accuracy,0.4,0.3999599999999999,0.28,0.54,0.95,10000,True
C_COMPLEMENT_NB,accuracy,0.4,0.40000199999999997,0.28,0.52,0.95,10000,True
C_DECISION_TREE,accuracy,0.16,0.15952,0.08,0.24,0.95,10000,True
D_FROZEN_MINILM,accuracy,0.4,0.400736,0.28,0.54,0.95,10000,True
E_FINETUNED_BERT,accuracy,0.36,0.36036599999999996,0.24,0.48,0.95,10000,True
BASELINE_MOST_FREQUENT,accuracy,0.4,0.39999999999999997,0.4,0.4,0.95,10000,True
BASELINE_STRATIFIED_RANDOM,accuracy,0.26,0.259624,0.14,0.38,0.95,10000,True
A_LOGISTIC_REGRESSION,weighted_f1,0.39829373814041746,0.39388342098472356,0.2672314795419634,0.5194529799929799,0.95,10000,True
A_RIDGE,weighted_f1,0.43095516569200776,0.4276450756486146,0.3007863300492611,0.5557512245506432,0.95,10000,True
A_COMPLEMENT_NB,weighted_f1,0.3921720430107527,0.3895570515049782,0.28100067613252194,0.5043964985994398,0.95,10000,True
A_DECISION_TREE,weighted_f1,0.25437939110070257,0.25235770202056673,0.1935483870967742,0.321714855433699,0.95,10000,True
B_LOGISTIC_REGRESSION,weighted_f1,0.33925925925925926,0.33608432567473284,0.21627629639970838,0.4580948857721226,0.95,10000,True
B_RIDGE,weighted_f1,0.29937334217506634,0.29549839875429434,0.17243170718788076,0.42343435635123616,0.95,10000,True
B_COMPLEMENT_NB,weighted_f1,0.36661654135338345,0.3639983935536998,0.24844237672896213,0.48181818181818187,0.95,10000,True
