condition,rows,correct,underestimates_severity,overestimates_severity,errors_distance_1,errors_distance_2,errors_distance_3,severe_errors_distance_at_least_2,mean_signed_error,mean_absolute_error
A_LOGISTIC_REGRESSION,50,19,13,18,23,6,2,8,0.22,0.82
A_RIDGE,50,22,15,13,18,8,2,10,-0.08,0.8
A_COMPLEMENT_NB,50,22,19,9,15,11,2,13,-0.34,0.86
A_DECISION_TREE,50,18,26,6,11,14,7,21,-0.68,1.2
B_LOGISTIC_REGRESSION,50,17,17,16,22,9,2,11,0.04,0.92
B_RIDGE,50,14,13,23,23,9,4,13,0.46,1.06
B_COMPLEMENT_NB,50,19,15,16,21,10,0,10,0.02,0.82
B_DECISION_TREE,50,19,26,5,11,14,6,20,-0.74,1.14
C_LOGISTIC_REGRESSION,50,21,16,13,20,7,2,9,0.0,0.8
C_RIDGE,50,20,16,14,20,8,2,10,0.04,0.84
C_COMPLEMENT_NB,50,20,15,15,20,10,0,10,0.0,0.8
C_DECISION_TREE,50,8,16,26,34,7,1,8,0.22,1.02
D_FROZEN_MINILM,50,20,15,15,20,8,2,10,0.08,0.84
E_FINETUNED_BERT,50,18,18,14,21,11,0,11,-0.1,0.86
BASELINE_MOST_FREQUENT,50,20,30,0,11,15,4,19,-1.06,1.06
BASELINE_STRATIFIED_RANDOM,50,13,21,16,17,20,0,20,-0.18,1.14
