condition,label,precision,recall,f1,support
A_LOGISTIC_REGRESSION,1,0.6428571428571429,0.45,0.5294117647058824,20
A_LOGISTIC_REGRESSION,2,0.2857142857142857,0.36363636363636365,0.32,11
A_LOGISTIC_REGRESSION,3,0.375,0.4,0.3870967741935484,15
A_LOGISTIC_REGRESSION,4,0.0,0.0,0.0,4
A_RIDGE,1,0.5,0.45,0.47368421052631576,20
A_RIDGE,2,0.3125,0.45454545454545453,0.37037037037037035,11
A_RIDGE,3,0.5333333333333333,0.5333333333333333,0.5333333333333333,15
A_RIDGE,4,0.0,0.0,0.0,4
A_COMPLEMENT_NB,1,0.43333333333333335,0.65,0.52,20
A_COMPLEMENT_NB,2,0.25,0.09090909090909091,0.13333333333333333,11
A_COMPLEMENT_NB,3,0.5,0.5333333333333333,0.5161290322580645,15
A_COMPLEMENT_NB,4,0.0,0.0,0.0,4
A_DECISION_TREE,1,0.4146341463414634,0.85,0.5573770491803278,20
A_DECISION_TREE,2,0.3333333333333333,0.09090909090909091,0.14285714285714285,11
A_DECISION_TREE,3,0.0,0.0,0.0,15
A_DECISION_TREE,4,0.0,0.0,0.0,4
B_LOGISTIC_REGRESSION,1,0.5,0.4,0.4444444444444444,20
B_LOGISTIC_REGRESSION,2,0.3125,0.45454545454545453,0.37037037037037035,11
B_LOGISTIC_REGRESSION,3,0.26666666666666666,0.26666666666666666,0.26666666666666666,15
B_LOGISTIC_REGRESSION,4,0.0,0.0,0.0,4
B_RIDGE,1,0.5555555555555556,0.25,0.3448275862068966,20
B_RIDGE,2,0.26666666666666666,0.36363636363636365,0.3076923076923077,11
B_RIDGE,3,0.29411764705882354,0.3333333333333333,0.3125,15
B_RIDGE,4,0.0,0.0,0.0,4
B_COMPLEMENT_NB,1,0.5,0.45,0.47368421052631576,20
B_COMPLEMENT_NB,2,0.18181818181818182,0.18181818181818182,0.18181818181818182,11
B_COMPLEMENT_NB,3,0.4,0.5333333333333333,0.45714285714285713,15
B_COMPLEMENT_NB,4,0.0,0.0,0.0,4
B_DECISION_TREE,1,0.42857142857142855,0.9,0.5806451612903226,20
B_DECISION_TREE,2,0.3333333333333333,0.09090909090909091,0.14285714285714285,11
B_DECISION_TREE,3,0.0,0.0,0.0,15
B_DECISION_TREE,4,0.0,0.0,0.0,4
C_LOGISTIC_REGRESSION,1,0.5,0.45,0.47368421052631576,20
C_LOGISTIC_REGRESSION,2,0.3076923076923077,0.36363636363636365,0.3333333333333333,11
C_LOGISTIC_REGRESSION,3,0.47058823529411764,0.5333333333333333,0.5,15
C_LOGISTIC_REGRESSION,4,0.0,0.0,0.0,4
C_RIDGE,1,0.5,0.4,0.4444444444444444,20
C_RIDGE,2,0.3333333333333333,0.45454545454545453,0.38461538461538464,11
C_RIDGE,3,0.4117647058823529,0.4666666666666667,0.4375,15
C_RIDGE,4,0.0,0.0,0.0,4
C_COMPLEMENT_NB,1,0.5,0.45,0.47368421052631576,20
C_COMPLEMENT_NB,2,0.18181818181818182,0.18181818181818182,0.18181818181818182,11
C_COMPLEMENT_NB,3,0.42857142857142855,0.6,0.5,15
C_COMPLEMENT_NB,4,0.0,0.0,0.0,4
C_DECISION_TREE,1,1.0,0.05,0.09523809523809523,20
C_DECISION_TREE,2,0.17073170731707318,0.6363636363636364,0.2692307692307692,11
C_DECISION_TREE,3,0.0,0.0,0.0,15
C_DECISION_TREE,4,0.0,0.0,0.0,4
D_FROZEN_MINILM,1,0.5,0.35,0.4117647058823529,20
D_FROZEN_MINILM,2,0.3125,0.45454545454545453,0.37037037037037035,11
D_FROZEN_MINILM,3,0.42105263157894735,0.5333333333333333,0.47058823529411764,15
D_FROZEN_MINILM,4,0.0,0.0,0.0,4
E_FINETUNED_BERT,1,0.5,0.55,0.5238095238095238,20
E_FINETUNED_BERT,2,0.125,0.09090909090909091,0.10526315789473684,11
E_FINETUNED_BERT,3,0.3,0.4,0.34285714285714286,15
E_FINETUNED_BERT,4,0.0,0.0,0.0,4
BASELINE_MOST_FREQUENT,1,0.4,1.0,0.5714285714285714,20
BASELINE_MOST_FREQUENT,2,0.0,0.0,0.0,11
BASELINE_MOST_FREQUENT,3,0.0,0.0,0.0,15
BASELINE_MOST_FREQUENT,4,0.0,0.0,0.0,4
BASELINE_STRATIFIED_RANDOM,1,0.3333333333333333,0.4,0.36363636363636365,20
BASELINE_STRATIFIED_RANDOM,2,0.2222222222222222,0.18181818181818182,0.2,11
BASELINE_STRATIFIED_RANDOM,3,0.1875,0.2,0.1935483870967742,15
BASELINE_STRATIFIED_RANDOM,4,0.0,0.0,0.0,4
