condition,configuration,model_family,feature_set,experimental_condition,quadratic_weighted_kappa,accuracy,weighted_f1,mean_absolute_error,quadratic_weighted_kappa_rank,accuracy_rank,weighted_f1_rank,mean_absolute_error_rank
A_LOGISTIC_REGRESSION,A,LOGISTIC_REGRESSION,A,True,0.3708865660085172,0.38,0.39829373814041746,0.82,1,8,3,4
A_RIDGE,A,RIDGE,A,True,0.22832501134816163,0.44,0.43095516569200776,0.8,7,1,1,1
A_COMPLEMENT_NB,A,COMPLEMENT_NB,A,True,0.21970004053506276,0.44,0.3921720430107527,0.86,8,1,5,8
A_DECISION_TREE,A,DECISION_TREE,A,True,-0.14315863524446004,0.36,0.25437939110070257,1.2,16,11,13,16
B_LOGISTIC_REGRESSION,B,LOGISTIC_REGRESSION,B,True,0.1862955032119914,0.34,0.33925925925925926,0.92,10,13,9,10
B_RIDGE,B,RIDGE,B,True,0.13542045868219876,0.28,0.29937334217506634,1.06,11,14,11,12
B_COMPLEMENT_NB,B,COMPLEMENT_NB,B,True,0.3406830955469088,0.38,0.36661654135338345,0.82,2,8,8,4
B_DECISION_TREE,B,DECISION_TREE,B,True,-0.08930500540151254,0.38,0.2636866359447005,1.14,15,8,12,14
C_LOGISTIC_REGRESSION,C,LOGISTIC_REGRESSION,C,True,0.295173002990175,0.42,0.41280701754385957,0.8,5,3,2,1
C_RIDGE,C,RIDGE,C,True,0.23413566739606118,0.4,0.3936431623931624,0.84,6,4,4,6
C_COMPLEMENT_NB,C,COMPLEMENT_NB,C,True,0.33065595716198126,0.4,0.3794736842105263,0.8,3,4,7,1
C_DECISION_TREE,C,DECISION_TREE,C,True,0.10489157841654051,0.16,0.09732600732600732,1.02,12,16,16,11
D_FROZEN_MINILM,D,FROZEN_MINILM,,True,0.19687930243230833,0.4,0.3873638344226579,0.84,9,4,6,6
E_FINETUNED_BERT,E,FINETUNED_BERT,,True,0.30287430287430295,0.36,0.33553884711779447,0.86,4,11,10,8
BASELINE_MOST_FREQUENT,baseline,MOST_FREQUENT,,False,0.0,0.4,0.22857142857142854,1.06,13,4,15,12
BASELINE_STRATIFIED_RANDOM,baseline,STRATIFIED_RANDOM,,False,-0.013372335979941585,0.26,0.2475190615835777,1.14,14,15,14,14
